Date,Symbol,Adj Close,High,Low,Open,Volume
2017-01-13,FTS,3.38,3.52,3.38,3.38,166550
2017-01-16,FTS,3.15,3.15,3.15,3.15,10030
2017-01-17,FTS,2.96,3.05,2.94,2.94,694980
2017-01-18,FTS,3.03,3.05,2.82,2.82,222960
2017-01-19,FTS,2.94,3.03,2.94,3.03,59170
2017-01-20,FTS,3.06,3.1,2.94,2.96,123330
2017-01-23,FTS,2.97,3.06,2.85,3.06,39700
2017-01-24,FTS,3.03,3.04,2.97,3.01,86250
2017-01-25,FTS,3.08,3.09,3.03,3.05,46230
2017-02-02,FTS,3.04,3.1,3.03,3.1,79300
2017-02-03,FTS,3.04,3.05,3.01,3.03,212360
2017-02-06,FTS,3.06,3.06,3.01,3.01,32990
2017-02-07,FTS,3.04,3.08,3.03,3.08,25790
2017-02-08,FTS,3.05,3.05,3.01,3.01,38560
2017-02-09,FTS,3.04,3.04,3.01,3.03,48610
2017-02-10,FTS,3.05,3.05,2.99,3.04,69740
2017-02-13,FTS,3.02,3.05,3.02,3.05,21090
2017-02-14,FTS,2.98,3.03,2.98,3.03,56450
2017-02-15,FTS,3.04,3.04,2.98,3.01,34830
2017-02-16,FTS,3.04,3.05,3.03,3.04,76540
2017-02-17,FTS,3.05,3.05,3.02,3.03,37130
2017-02-20,FTS,3.24,3.26,3.08,3.08,205700
2017-02-21,FTS,3.19,3.29,3.19,3.26,50710
2017-02-22,FTS,3.21,3.24,3.21,3.24,34540
2017-02-23,FTS,3.1,3.15,3.09,3.1,64840
2017-02-24,FTS,3.05,3.1,3.05,3.08,55620
2017-02-27,FTS,3.17,3.24,3.03,3.05,45430
2017-02-28,FTS,3.05,3.17,3.05,3.05,23570
2017-03-01,FTS,3.13,3.13,3.1,3.1,20000
2017-03-02,FTS,3.08,3.15,3.06,3.15,3550
2017-03-03,FTS,3.15,3.17,3.05,3.05,72190
2017-03-06,FTS,3.17,3.21,3.16,3.21,45000
2017-03-07,FTS,3.15,3.16,3.15,3.15,21170
2017-03-08,FTS,3.15,3.15,3.15,3.15,5510
2017-03-09,FTS,3.15,3.15,3.05,3.05,17230
2017-03-10,FTS,3.06,3.08,3.06,3.08,10980
2017-03-13,FTS,3.1,3.1,3.06,3.06,8030
