Date,Symbol,Adj Close,High,Low,Open,Volume
2015-01-05,GMD,9.15,9.34,9.15,9.25,150040
2015-01-06,GMD,9.41,9.44,8.93,8.93,278890
2015-01-07,GMD,9.53,9.69,9.41,9.41,281560
2015-01-08,GMD,9.6,9.76,9.44,9.47,351060
2015-01-09,GMD,9.73,9.85,9.63,9.63,222210
2015-01-12,GMD,9.47,9.76,9.47,9.73,148200
2015-01-13,GMD,9.63,9.79,9.41,9.41,244100
2015-01-14,GMD,9.5,9.63,9.47,9.6,192400
2015-01-15,GMD,9.6,9.66,9.5,9.6,177640
2015-01-16,GMD,9.5,9.69,9.5,9.6,211150
2015-01-19,GMD,9.5,9.53,9.41,9.5,168910
2015-01-20,GMD,9.44,9.5,9.34,9.5,69040
2015-01-21,GMD,9.44,9.53,9.41,9.5,96040
2015-01-22,GMD,9.44,9.5,9.41,9.47,197140
2015-01-23,GMD,9.5,9.57,9.44,9.44,195730
2015-01-26,GMD,9.53,9.6,9.41,9.41,331120
2015-01-27,GMD,9.69,9.79,9.53,9.6,802450
2015-01-28,GMD,9.53,9.69,9.53,9.69,180230
2015-01-29,GMD,9.5,9.53,9.37,9.53,234150
2015-01-30,GMD,9.37,9.47,9.28,9.47,263060
2015-02-02,GMD,9.09,9.37,9.09,9.34,152930
2015-02-03,GMD,8.96,9.18,8.96,9.18,119950
2015-02-04,GMD,8.93,9.09,8.89,8.93,114710
2015-02-05,GMD,8.96,9.05,8.89,9.02,58330
2015-02-06,GMD,8.96,9.02,8.89,8.96,52490
2015-02-09,GMD,8.83,8.99,8.8,8.99,77450
2015-02-10,GMD,8.89,8.93,8.8,8.83,43340
2015-02-11,GMD,9.02,9.05,8.89,9.05,77470
2015-02-12,GMD,9.05,9.09,8.96,9.09,66810
2015-02-13,GMD,9.09,9.09,9.02,9.05,63080
2015-02-24,GMD,9.09,9.15,8.99,9.15,88100
2015-02-25,GMD,9.09,9.28,9.09,9.09,138980
2015-02-26,GMD,9.09,9.21,9.02,9.21,89980
2015-02-27,GMD,9.09,9.18,9.02,9.18,93370
2015-03-02,GMD,9.12,9.12,9.02,9.12,51490
2015-03-03,GMD,9.21,9.21,9.05,9.05,229060
2015-03-04,GMD,9.44,9.44,9.21,9.21,450750
2015-03-05,GMD,9.47,9.6,9.44,9.5,328970
2015-03-06,GMD,9.44,9.5,9.41,9.5,130410
2015-03-09,GMD,9.21,9.44,9.21,9.44,125840
2015-03-10,GMD,9.18,9.21,9.12,9.18,158070
2015-03-11,GMD,9.15,9.21,9.12,9.12,117020
2015-03-12,GMD,9.18,9.18,9.09,9.18,130680
2015-03-13,GMD,9.12,9.18,9.12,9.15,79060
2015-03-16,GMD,9.09,9.15,9.09,9.09,127050
2015-03-17,GMD,9.12,9.15,9.09,9.09,107110
2015-03-18,GMD,9.25,9.28,9.12,9.12,170110
2015-03-19,GMD,9.18,9.34,9.15,9.18,50350
2015-03-20,GMD,9.21,9.21,9.15,9.15,44790
2015-03-23,GMD,9.09,9.25,9.09,9.21,92550
2015-03-24,GMD,9.09,9.12,9.02,9.09,122000
2015-03-25,GMD,8.99,9.09,8.99,9.09,65150
2015-03-26,GMD,8.8,9.02,8.8,8.96,195020
2015-03-27,GMD,8.67,8.89,8.67,8.8,166570
2015-03-30,GMD,8.51,8.77,8.51,8.73,165670
2015-03-31,GMD,8.7,8.7,8.54,8.57,68180
2015-04-01,GMD,8.51,8.77,8.51,8.7,232430
2015-04-02,GMD,8.64,8.64,8.51,8.54,49480
2015-04-03,GMD,8.77,8.8,8.64,8.8,44170
2015-04-06,GMD,8.64,8.77,8.64,8.77,14380
2015-04-07,GMD,8.77,8.77,8.57,8.64,59850
2015-04-08,GMD,8.67,8.8,8.64,8.77,24420
2015-04-09,GMD,8.77,8.83,8.67,8.67,79020
2015-04-10,GMD,8.77,8.89,8.77,8.77,49170
2015-04-13,GMD,8.83,8.83,8.77,8.8,84980
2015-04-14,GMD,8.73,8.83,8.73,8.83,47260
2015-04-15,GMD,8.77,8.8,8.7,8.8,27880
2015-04-16,GMD,8.89,8.89,8.77,8.77,134580
2015-04-17,GMD,9.5,9.5,8.89,8.89,620300
2015-04-20,GMD,9.41,9.6,9.34,9.6,284540
2015-04-21,GMD,9.18,9.41,9.18,9.37,197480
2015-04-22,GMD,9.34,9.53,9.18,9.28,238630
2015-04-23,GMD,9.47,9.5,9.18,9.34,220460
2015-04-24,GMD,9.44,9.53,9.41,9.44,166910
2015-04-27,GMD,9.44,9.47,9.37,9.44,73820
2015-05-04,GMD,8.96,9.44,8.89,9.44,386280
2015-05-05,GMD,9.21,9.21,8.89,8.99,261450
2015-05-06,GMD,9.34,9.41,9.12,9.21,350850
2015-05-07,GMD,9.79,9.89,9.34,9.34,650870
2015-05-08,GMD,9.89,10.14,9.76,9.76,467660
2015-05-11,GMD,9.69,9.85,9.66,9.66,161930
2015-05-12,GMD,9.85,10.05,9.76,9.79,639670
2015-05-13,GMD,9.89,10.01,9.85,9.85,249670
2015-05-14,GMD,9.95,9.95,9.76,9.89,211390
2015-05-15,GMD,9.76,9.92,9.76,9.89,134890
2015-05-18,GMD,9.28,9.73,9.28,9.73,215890
2015-05-19,GMD,9.41,9.5,9.25,9.28,152310
