Date,Symbol,Adj Close,High,Low,Open,Volume
2015-03-11,HAH,7.73,7.81,7.66,7.81,123290
2015-03-12,HAH,7.19,7.81,7.19,7.19,179720
2015-03-13,HAH,6.7,7.19,6.7,7.19,19490
2015-03-16,HAH,6.25,6.39,6.25,6.28,39280
2015-03-17,HAH,5.82,5.89,5.82,5.82,50240
2015-03-18,HAH,6.02,6.02,5.71,5.71,40090
2015-03-19,HAH,6.02,6.07,6.02,6.02,340
2015-03-20,HAH,6.02,6.02,5.63,5.86,14970
2015-03-23,HAH,5.66,6.02,5.66,6.02,11730
2015-03-24,HAH,5.71,5.71,5.66,5.66,5670
2015-03-25,HAH,5.53,5.66,5.53,5.66,8350
2015-03-26,HAH,5.45,5.55,5.45,5.53,18890
2015-03-27,HAH,5.82,5.82,5.45,5.45,57030
2015-03-30,HAH,5.69,5.84,5.69,5.82,6550
2015-03-31,HAH,5.82,5.82,5.69,5.69,6190
2015-04-01,HAH,5.53,5.74,5.53,5.74,16090
2015-04-02,HAH,5.53,5.53,5.37,5.53,43080
2015-04-03,HAH,5.64,5.69,5.38,5.38,7360
2015-04-06,HAH,5.53,5.69,5.53,5.69,1050
2015-04-07,HAH,5.51,5.53,5.48,5.51,5270
2015-04-08,HAH,5.53,5.53,5.48,5.53,4040
2015-04-09,HAH,5.58,5.6,5.51,5.51,13610
2015-04-10,HAH,5.58,5.58,5.53,5.53,29320
2015-04-13,HAH,5.86,5.86,5.45,5.47,1690
2015-04-14,HAH,5.76,5.82,5.76,5.81,5510
2015-04-15,HAH,5.73,5.73,5.73,5.73,200
2015-04-16,HAH,5.61,6.1,5.53,6.1,8390
2015-04-17,HAH,5.61,5.82,5.61,5.82,14830
2015-04-20,HAH,5.45,5.99,5.45,5.53,27600
2015-04-21,HAH,5.77,5.77,5.45,5.69,9300
2015-04-22,HAH,5.77,5.77,5.61,5.69,4020
2015-04-23,HAH,5.94,6.02,5.69,5.77,30720
2015-04-24,HAH,5.92,5.94,5.77,5.92,17710
2015-04-27,HAH,5.86,5.86,5.86,5.86,1510
2015-05-04,HAH,5.69,5.86,5.61,5.84,8840
2015-05-05,HAH,5.69,5.69,5.63,5.64,7100
2015-05-06,HAH,5.53,5.69,5.53,5.69,16940
2015-05-07,HAH,5.76,5.76,5.76,5.76,10
2015-05-08,HAH,5.77,5.77,5.77,5.77,500
