Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,AST,53.69,53.97,53.69,53.78,17904
2024-03-11,AST,53.13,53.69,53.04,53.69,23090
2024-03-12,AST,53.04,53.32,52.85,53.22,28200
2024-03-13,AST,53.69,53.87,52.66,53.69,6010
2024-03-14,AST,53.69,53.69,53.22,53.69,19600
2024-03-15,AST,53.5,53.97,53.5,53.69,25900
2024-03-18,AST,52.94,53.5,52.94,53.13,41860
2024-03-19,AST,53.78,53.97,52.94,53.04,14920
2024-03-20,AST,53.78,53.78,53.78,53.78,10109
2024-03-21,AST,53.78,53.97,53.59,53.78,27150
2024-03-22,AST,53.69,53.97,53.59,53.78,26535
2024-03-25,AST,53.5,53.78,53.5,53.69,18515
2024-03-26,AST,53.22,53.5,53.13,53.5,19325
2024-03-27,AST,53.5,53.5,53.22,53.22,14280
2024-03-28,AST,53.22,53.59,53.22,53.59,13500
2024-03-29,AST,53.13,53.32,53.13,53.22,15622
2024-04-01,AST,53.04,53.5,53.04,53.13,30900
2024-04-02,AST,53.41,53.5,52.76,53.04,14719
2024-04-03,AST,52.94,53.41,52.66,53.41,29000
2024-04-04,AST,52.2,52.94,51.27,52.94,39812
2024-04-05,AST,52.85,52.94,51.18,52.2,41785
2024-04-08,AST,52.38,52.85,52.11,52.85,21805
2024-04-09,AST,52.94,53.32,52.11,52.38,29010
2024-04-10,AST,52.85,52.94,52.11,52.48,27006
2024-04-11,AST,52.57,52.76,51.27,51.27,10200
2024-04-12,AST,52.2,52.76,51.92,52.76,26217
2024-04-15,AST,52.29,52.57,52.2,52.2,27400
2024-04-16,AST,51.92,52.29,51.64,52.2,36701
2024-04-17,AST,51.92,52.11,51.92,52.01,7300
2024-04-19,AST,51.18,51.92,50.24,51.92,69678
2024-04-22,AST,51.36,51.45,51.18,51.18,17210
2024-04-23,AST,50.43,51.36,50.34,51.36,14500
2024-04-24,AST,50.8,51.08,50.24,50.43,6900
