Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,BSI,47.6,49.51,47.6,49.51,1104730
2024-03-11,BSI,47.6,48.76,46.7,47.6,806655
2024-03-12,BSI,48.43,49.51,47.19,47.77,981787
2024-03-13,BSI,50.74,51.24,48.43,48.43,902395
2024-03-14,BSI,49.59,51.16,49.09,50.74,801935
2024-03-15,BSI,50.41,50.83,48.43,49.59,936980
2024-03-18,BSI,47.93,50.83,46.94,50.83,1631210
2024-03-19,BSI,47.52,48.6,45.87,48.6,475886
2024-03-20,BSI,48.6,48.6,47.52,47.52,400618
2024-03-21,BSI,48.76,49.59,48.6,49.59,608086
2024-03-22,BSI,51.65,52.15,48.76,49.17,1926328
2024-03-25,BSI,50.66,52.48,50.58,52.4,479259
2024-03-26,BSI,51.24,52.07,50.17,50.17,323614
2024-03-27,BSI,51.32,51.98,51.08,51.98,392152
2024-03-28,BSI,52.89,53.72,51.41,52.07,574886
2024-03-29,BSI,52.23,52.89,51.9,52.89,242453
2024-04-01,BSI,52.4,52.56,50.99,52.23,516838
2024-04-02,BSI,52.48,52.48,51.57,52.4,381665
2024-04-03,BSI,52.89,55.62,52.89,52.98,970986
2024-04-04,BSI,53.31,53.72,52.48,53.64,491240
2024-04-05,BSI,51.57,52.65,51.08,51.24,705964
2024-04-08,BSI,48.84,51.49,48.84,50.91,977319
2024-04-09,BSI,50.33,50.5,48.51,48.84,597012
2024-04-10,BSI,49.59,50.58,49.59,50.41,281810
2024-04-11,BSI,50.41,50.74,48.35,48.43,396437
2024-04-12,BSI,51.9,52.15,50.17,50.74,583927
2024-04-15,BSI,48.35,52.48,48.35,51.41,934875
2024-04-16,BSI,47.11,48.35,45.12,48.35,1562522
2024-04-17,BSI,44.22,48.1,44.22,48.1,872080
2024-04-19,BSI,41.16,43.97,41.16,42.15,2874131
2024-04-22,BSI,43.55,43.97,41.32,42.56,926988
2024-04-23,BSI,41.9,43.97,41.28,43.55,990847
2024-04-24,BSI,43.55,43.97,42.4,42.4,928407
2024-04-25,BSI,42.81,43.39,42.31,43.31,776892
2024-04-26,BSI,42.31,43.22,41.65,41.65,1001415
2024-05-02,BSI,41.82,42.98,41.49,42.73,618832
2024-05-03,BSI,42.15,43.39,42.07,42.98,855071
2024-05-06,BSI,45.04,45.04,42.4,43.06,1644938
2024-05-07,BSI,45.95,46.28,44.71,46.28,833392
2024-05-08,BSI,45.95,46.86,45.04,45.29,1018990
2024-05-09,BSI,45.12,46.61,44.88,46.28,1270300
2024-05-10,BSI,45.87,46.03,43.97,45.46,1171765
2024-05-13,BSI,45.79,46.53,45.04,45.87,831617
2024-05-14,BSI,46.03,46.45,45.12,45.79,650835
2024-05-15,BSI,47.36,48.84,46.03,46.36,1671032
2024-05-16,BSI,47.6,48.6,47.52,48.6,839107
2024-05-17,BSI,48.1,49.09,47.27,48.18,832006
2024-05-20,BSI,47.93,48.76,47.93,48.6,836117
2024-05-21,BSI,48.6,48.6,47.44,47.6,767525
2024-05-22,BSI,49.26,50.33,48.76,48.76,1366496
2024-05-23,BSI,49.51,49.51,47.93,48.84,851561
2024-05-24,BSI,47.19,49.42,46.28,49.42,1717642
2024-05-27,BSI,47.44,47.93,46.28,47.93,574324
2024-05-28,BSI,48.35,49.17,47.52,47.52,588629
2024-05-29,BSI,48.18,48.93,47.93,48.35,807406
2024-05-30,BSI,47.69,47.93,46.36,47.85,752267
2024-05-31,BSI,47.93,48.35,47.44,47.44,497444
2024-06-03,BSI,49.09,49.17,48.35,48.51,833664
2024-06-04,BSI,48.93,50.17,48.51,49.59,982470
2024-06-05,BSI,48.93,49.92,48.51,49.42,756807
2024-06-06,BSI,48.27,49.26,48.1,48.76,660697
2024-06-07,BSI,48.18,48.68,47.85,48.6,378242
2024-06-10,BSI,48.51,49.17,47.93,47.93,576847
2024-06-11,BSI,49.92,49.92,48.27,48.6,1262830
2024-06-12,BSI,50.25,51.41,50.0,50.08,806382
2024-06-13,BSI,49.75,50.66,49.59,50.66,597297
2024-06-14,BSI,47.93,50.58,47.93,50.25,1225687
2024-06-17,BSI,47.36,47.93,47.19,47.77,693529
2024-06-18,BSI,47.52,47.85,47.11,47.85,395513
2024-06-19,BSI,47.44,48.35,47.19,47.52,397103
2024-06-20,BSI,46.94,47.85,46.86,47.44,446445
2024-06-21,BSI,46.53,47.11,46.36,46.7,633015
2024-06-24,BSI,43.31,46.86,43.31,46.61,1654223
2024-06-25,BSI,43.72,44.13,43.31,43.31,364805
2024-06-26,BSI,43.47,44.05,42.81,43.64,379344
2024-06-27,BSI,42.98,43.47,42.81,43.31,329091
2024-06-28,BSI,41.98,43.14,40.17,43.06,556732
2024-07-01,BSI,42.98,42.98,41.74,41.98,361058
2024-07-02,BSI,43.39,43.8,43.14,43.31,263517
2024-07-03,BSI,43.55,43.72,43.14,43.39,245310
2024-07-04,BSI,43.72,44.13,43.39,44.13,380313
2024-07-05,BSI,43.22,43.89,43.14,43.47,344524
2024-07-08,BSI,43.31,43.8,42.98,43.8,576751
2024-07-09,BSI,45.0,45.23,43.5,43.5,697984
2024-07-10,BSI,44.23,45.09,44.09,45.09,386090
2024-07-11,BSI,44.45,44.82,44.05,44.82,364360
2024-07-12,BSI,44.05,44.55,44.05,44.55,293383
2024-07-15,BSI,43.91,44.59,43.73,44.05,155942
2024-07-16,BSI,43.82,44.55,43.82,44.18,320467
2024-07-17,BSI,42.09,44.32,42.09,44.09,645893
2024-07-18,BSI,43.18,43.18,41.82,41.91,343187
2024-07-19,BSI,42.14,43.36,42.0,42.73,354312
2024-07-22,BSI,40.05,41.91,39.55,41.68,762623
2024-07-23,BSI,37.27,40.45,37.27,40.45,592708
2024-07-24,BSI,38.18,38.18,36.36,36.36,667134
2024-07-25,BSI,39.09,39.14,37.55,38.18,272444
2024-07-26,BSI,38.95,39.86,38.45,39.0,277981
2024-07-29,BSI,39.36,39.59,39.0,39.09,309936
2024-07-30,BSI,38.77,39.36,38.23,38.55,231895
2024-07-31,BSI,39.09,39.36,38.45,38.77,340112
2024-08-01,BSI,36.64,39.09,36.45,39.09,603439
2024-08-02,BSI,39.18,39.18,36.18,36.36,778907
2024-08-05,BSI,39.36,41.05,37.95,38.0,1406669
2024-08-06,BSI,42.09,42.09,39.55,40.91,1515676
2024-08-07,BSI,42.73,42.73,41.36,42.64,808785
2024-08-08,BSI,41.64,42.73,40.91,42.27,895775
2024-08-09,BSI,44.14,44.18,42.0,42.45,1508011
2024-08-12,BSI,44.09,44.45,43.32,44.45,639698
2024-08-13,BSI,43.55,44.09,42.82,44.09,719280
2024-08-14,BSI,42.36,43.86,42.36,43.68,741124
2024-08-15,BSI,42.59,43.09,41.86,41.91,777659
2024-08-16,BSI,45.55,45.55,42.68,43.09,2047860
2024-08-19,BSI,45.32,45.82,44.96,45.55,627747
2024-08-20,BSI,45.27,47.09,44.64,45.27,1364307
2024-08-21,BSI,45.09,45.64,44.68,45.0,541265
2024-08-22,BSI,45.55,46.27,45.09,45.27,603125
2024-08-23,BSI,45.82,46.55,45.05,45.55,980394
2024-08-26,BSI,45.32,46.55,45.32,46.27,815949
2024-08-27,BSI,45.0,45.46,44.82,45.41,471937
2024-08-28,BSI,44.36,45.46,43.73,45.09,764400
2024-08-29,BSI,44.59,45.46,44.36,44.36,618357
2024-08-30,BSI,44.68,45.27,44.59,44.64,516907
2024-09-04,BSI,44.77,45.0,43.82,43.86,583029
2024-09-05,BSI,44.36,45.82,44.18,44.96,920302
2024-09-06,BSI,44.18,44.82,43.73,44.36,434701
2024-09-09,BSI,43.45,44.41,43.45,43.68,415204
2024-09-10,BSI,42.32,43.95,42.05,43.64,1042583
2024-09-11,BSI,42.73,43.36,41.86,42.32,475975
2024-09-12,BSI,42.73,43.45,42.73,43.09,238089
2024-09-13,BSI,43.14,43.55,42.55,42.55,577663
2024-09-16,BSI,42.45,43.36,42.45,43.14,332038
2024-09-17,BSI,43.36,43.36,42.41,42.41,407174
2024-09-18,BSI,44.0,44.64,43.41,43.77,714784
2024-09-19,BSI,44.5,44.5,43.91,44.0,442827
2024-09-20,BSI,44.0,45.36,44.0,45.36,711619
2024-09-23,BSI,44.41,44.77,43.64,44.0,572534
2024-09-24,BSI,44.73,44.86,44.09,44.55,393184
2024-09-25,BSI,45.23,46.0,45.09,45.46,1281828
2024-09-26,BSI,44.91,45.46,44.77,45.23,841951
2024-09-27,BSI,44.73,45.05,44.59,45.0,616154
2024-09-30,BSI,45.18,45.55,44.55,44.73,627555
2024-10-01,BSI,47.27,47.64,45.32,45.55,2412456
2024-10-02,BSI,46.91,47.46,46.73,46.82,976944
