Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,CMG,35.86,36.31,35.59,36.31,185186
2024-03-11,CMG,35.32,35.86,34.28,35.86,464222
2024-03-12,CMG,36.58,36.89,34.28,35.14,529211
2024-03-13,CMG,37.79,38.56,36.8,36.89,387480
2024-03-14,CMG,37.52,37.79,36.49,37.79,247783
2024-03-15,CMG,37.39,37.52,36.04,37.52,220250
2024-03-18,CMG,36.89,37.34,35.77,37.34,205589
2024-03-19,CMG,35.77,36.67,35.72,36.67,187953
2024-03-20,CMG,36.08,36.08,35.32,35.86,139485
2024-03-21,CMG,35.86,36.04,34.32,36.04,1094140
2024-03-22,CMG,36.04,36.4,34.68,35.68,292859
2024-03-25,CMG,35.41,36.4,35.32,36.04,112011
2024-03-26,CMG,36.17,36.58,35.05,35.41,1049669
2024-03-27,CMG,36.17,36.26,35.68,36.17,170110
2024-03-28,CMG,36.44,36.44,36.04,36.04,195428
2024-03-29,CMG,35.99,36.44,35.68,36.44,134125
2024-04-01,CMG,36.22,36.22,35.59,35.99,335230
2024-04-02,CMG,36.17,36.26,35.86,36.22,216259
2024-04-03,CMG,38.69,38.69,36.04,36.13,988936
2024-04-04,CMG,41.4,41.4,40.41,40.54,1959830
2024-04-05,CMG,42.61,44.14,40.99,40.99,853277
2024-04-08,CMG,40.59,44.59,39.64,41.89,1097462
2024-04-09,CMG,43.24,43.42,40.59,40.59,582054
2024-04-10,CMG,44.05,44.14,42.7,43.69,720928
2024-04-11,CMG,43.33,43.69,42.84,43.69,334578
2024-04-12,CMG,44.41,44.41,42.52,43.69,601060
2024-04-15,CMG,41.31,44.59,41.31,44.59,1205314
2024-04-16,CMG,41.31,41.31,38.56,40.99,866363
2024-04-17,CMG,39.77,41.71,39.55,41.26,683767
2024-04-19,CMG,37.43,39.01,37.03,38.96,1721046
2024-04-22,CMG,38.15,38.51,37.61,38.2,263056
2024-04-23,CMG,38.56,40.54,35.5,38.2,2046883
2024-04-24,CMG,40.81,40.81,39.28,39.28,744473
2024-04-25,CMG,40.18,42.34,40.18,40.81,1276589
2024-04-26,CMG,40.23,40.63,39.59,39.91,503321
2024-05-02,CMG,41.58,41.98,40.0,40.9,1140169
2024-05-03,CMG,40.63,41.98,40.63,41.62,954514
2024-05-06,CMG,42.21,42.34,40.09,40.9,1301009
2024-05-07,CMG,43.65,44.55,42.34,42.79,952065
2024-05-08,CMG,46.67,46.67,42.84,43.65,1001969
2024-05-09,CMG,49.91,49.91,48.83,49.91,1356270
2024-05-10,CMG,53.06,53.33,51.44,53.15,3003530
2024-05-13,CMG,52.61,54.05,51.17,54.05,1460901
2024-05-14,CMG,56.22,56.22,52.61,52.61,1474094
2024-05-15,CMG,56.76,59.37,56.76,58.47,1958231
2024-05-16,CMG,54.59,57.39,54.41,57.12,3486211
2024-05-17,CMG,55.23,55.86,54.41,54.95,2850473
2024-05-20,CMG,53.15,55.86,52.79,55.86,3966350
2024-05-21,CMG,55.41,56.58,52.88,53.96,1961731
2024-05-22,CMG,55.14,57.21,54.23,55.95,1586510
2024-05-23,CMG,57.3,58.02,55.04,55.14,3067313
2024-05-24,CMG,53.78,57.3,53.6,56.76,2642511
2024-05-27,CMG,53.15,55.04,51.35,54.5,2267777
2024-05-28,CMG,55.95,56.22,53.33,53.87,1480948
2024-05-29,CMG,54.05,57.12,54.05,55.95,2386137
2024-05-30,CMG,53.33,54.14,52.34,53.15,1815197
2024-05-31,CMG,54.86,55.32,53.6,54.05,1018730
2024-06-03,CMG,58.65,58.65,55.5,55.5,4467555
2024-06-04,CMG,61.71,62.7,60.45,60.81,2792742
2024-06-05,CMG,60.54,64.86,60.54,62.52,2544368
2024-06-06,CMG,61.62,62.43,60.72,61.62,2178517
2024-06-07,CMG,61.62,62.79,60.9,62.61,1434807
2024-06-10,CMG,62.61,62.7,61.35,62.61,1238432
2024-06-11,CMG,61.8,63.96,60.63,62.61,2252912
2024-06-12,CMG,62.7,63.51,61.08,61.62,2037503
2024-06-13,CMG,63.06,64.95,63.06,63.96,1469385
2024-06-14,CMG,63.06,67.21,62.25,63.24,3532545
2024-06-17,CMG,61.17,63.96,61.17,63.24,3820311
2024-06-18,CMG,61.62,62.52,61.44,61.98,1394227
2024-06-19,CMG,62.97,63.51,60.72,61.62,2328447
2024-06-20,CMG,62.97,64.59,62.25,63.06,1701406
2024-06-21,CMG,63.6,64.77,62.61,63.51,2023737
2024-06-24,CMG,59.82,63.51,59.19,63.42,3820556
2024-06-25,CMG,57.39,60.36,56.76,59.46,2270775
2024-06-26,CMG,58.38,58.83,56.67,58.47,1166295
2024-06-27,CMG,57.12,58.47,57.12,58.47,1185979
2024-06-28,CMG,54.95,57.48,54.68,57.12,1963164
2024-07-01,CMG,56.13,56.58,54.95,55.04,1150742
2024-07-02,CMG,56.94,57.3,56.13,56.22,1103090
2024-07-03,CMG,56.58,57.03,56.22,57.03,989313
2024-07-04,CMG,58.02,58.02,56.58,56.76,1433365
2024-07-05,CMG,57.84,59.55,57.57,58.56,1415652
2024-07-08,CMG,57.48,58.92,57.21,58.38,1001742
2024-07-09,CMG,58.11,58.11,56.49,57.66,1727027
2024-07-10,CMG,59.64,60.81,58.56,58.56,2534054
2024-07-11,CMG,58.74,60.81,58.47,60.81,1077543
2024-07-12,CMG,57.48,59.01,56.76,58.2,1456347
2024-07-15,CMG,55.95,58.11,55.41,57.48,1590329
2024-07-16,CMG,54.05,56.22,54.05,55.95,1904336
2024-07-17,CMG,50.63,54.5,50.27,53.78,2229208
2024-07-18,CMG,51.53,51.8,50.54,50.63,1354351
2024-07-19,CMG,50.45,52.16,50.18,52.16,1042498
2024-07-22,CMG,48.74,50.36,48.38,49.55,1275148
2024-07-23,CMG,48.74,50.45,48.74,48.92,1059635
2024-07-24,CMG,49.1,49.37,47.21,47.84,811274
2024-07-25,CMG,48.11,49.01,47.39,47.39,730510
2024-07-26,CMG,50.9,50.9,48.56,48.65,1104514
2024-07-29,CMG,50.99,51.89,50.36,51.89,879152
2024-07-30,CMG,49.91,51.17,48.92,50.99,941749
2024-07-31,CMG,49.55,50.09,48.83,49.1,647855
2024-08-01,CMG,46.13,50.27,46.13,50.27,1321000
2024-08-02,CMG,47.12,47.3,45.14,45.14,825356
2024-08-05,CMG,43.83,46.85,43.83,46.04,1539482
2024-08-06,CMG,45.14,45.32,43.6,44.23,688575
2024-08-07,CMG,45.95,46.22,44.59,45.59,586599
2024-08-08,CMG,43.87,46.04,43.74,45.86,928768
2024-08-09,CMG,45.77,45.86,44.41,44.82,1008481
2024-08-12,CMG,46.67,47.12,45.59,45.59,858236
2024-08-13,CMG,46.4,47.66,45.95,46.94,881490
2024-08-14,CMG,45.86,47.12,45.04,47.03,1050721
2024-08-15,CMG,44.82,45.77,44.68,45.77,490698
2024-08-16,CMG,47.03,47.12,45.23,45.23,1347166
2024-08-19,CMG,47.75,48.38,47.12,47.12,778273
2024-08-20,CMG,47.84,48.92,47.66,48.02,787282
2024-08-21,CMG,47.39,48.47,47.3,48.29,943933
2024-08-22,CMG,49.28,49.64,47.66,48.02,1603944
2024-08-23,CMG,48.47,49.19,48.2,49.19,807398
2024-08-26,CMG,47.57,48.92,47.3,48.56,796624
2024-08-27,CMG,47.3,47.57,46.94,47.57,623995
2024-08-28,CMG,47.12,47.84,47.03,47.21,463971
2024-08-29,CMG,48.2,48.47,46.94,47.03,1041828
2024-08-30,CMG,47.57,48.29,47.57,48.2,350203
2024-09-04,CMG,47.75,47.75,46.67,46.67,636296
2024-09-05,CMG,46.94,47.75,46.85,47.75,592904
2024-09-06,CMG,46.67,47.21,46.31,46.85,456139
2024-09-09,CMG,45.95,46.58,45.77,46.4,520183
2024-09-10,CMG,44.59,46.22,44.59,45.86,588765
2024-09-11,CMG,45.32,45.59,44.55,45.04,446870
2024-09-12,CMG,45.77,46.04,45.5,45.95,231618
2024-09-13,CMG,46.04,46.4,45.23,45.95,387792
2024-09-16,CMG,45.41,46.31,45.41,46.04,296024
2024-09-17,CMG,45.86,45.86,45.04,45.23,279953
2024-09-18,CMG,47.3,48.02,45.95,46.04,1328220
2024-09-19,CMG,47.03,47.66,46.49,47.39,493358
2024-09-20,CMG,46.94,48.02,46.94,47.75,651105
2024-09-23,CMG,46.04,47.3,45.95,47.3,615720
2024-09-24,CMG,46.67,46.67,46.04,46.4,280197
2024-09-25,CMG,46.4,47.03,46.31,46.85,515795
2024-09-26,CMG,46.4,46.94,46.04,46.67,577257
2024-09-27,CMG,45.95,46.76,45.77,46.31,458174
2024-09-30,CMG,45.77,46.13,45.77,45.95,291695
2024-10-01,CMG,46.76,47.21,45.95,45.95,883188
2024-10-02,CMG,46.04,46.58,45.95,46.49,293227
2024-10-03,CMG,45.41,46.49,45.41,46.22,533557
2024-10-04,CMG,45.23,45.86,45.23,45.5,340068
2024-10-07,CMG,45.23,45.59,45.14,45.5,220630
2024-10-08,CMG,44.77,45.32,44.68,45.23,402010
2024-10-09,CMG,45.95,46.13,44.82,44.82,352100
2024-10-10,CMG,48.2,48.47,46.13,46.4,2913396
2024-10-11,CMG,47.75,48.38,47.57,48.38,521857
2024-10-14,CMG,47.84,49.37,47.75,48.2,690963
2024-10-15,CMG,46.85,48.11,46.49,47.84,908123
2024-10-16,CMG,46.85,47.39,46.58,46.76,429761
2024-10-17,CMG,47.48,47.66,46.85,47.03,405571
2024-10-18,CMG,46.94,47.75,46.94,47.48,406925
2024-10-21,CMG,48.11,48.11,46.85,46.94,1384379
2024-10-22,CMG,46.58,48.2,44.91,48.11,667674
2024-10-23,CMG,46.31,46.76,46.13,46.67,420397
2024-10-24,CMG,45.59,46.31,45.5,46.31,625751
2024-10-25,CMG,45.68,45.86,45.32,45.68,175868
2024-10-28,CMG,46.22,46.58,45.77,45.86,301337
2024-10-29,CMG,47.57,48.2,46.22,46.22,1046505
2024-10-30,CMG,47.48,48.02,47.12,48.02,306239
2024-10-31,CMG,46.76,47.57,46.76,47.57,410231
2024-11-01,CMG,45.59,46.58,45.59,46.49,996535
2024-11-04,CMG,46.22,46.31,45.04,45.5,671031
2024-11-05,CMG,45.5,46.22,45.5,45.68,594518
2024-11-06,CMG,46.13,46.22,45.77,46.04,525898
2024-11-07,CMG,47.75,49.28,46.31,46.76,4191105
2024-11-08,CMG,48.38,49.73,47.93,48.2,4893843
2024-11-11,CMG,51.71,51.71,49.19,49.19,7480277
2024-11-12,CMG,52.61,52.97,50.9,52.7,2819767
2024-11-13,CMG,52.97,52.97,51.35,51.8,2998159
2024-11-14,CMG,51.35,53.6,50.63,53.15,2626910
2024-11-15,CMG,52.16,52.7,49.28,50.63,4616552
2024-11-18,CMG,51.98,52.25,50.45,52.16,1617836
2024-11-19,CMG,48.38,52.16,48.38,52.16,3053623
2024-11-20,CMG,48.47,48.56,45.5,47.75,2753669
2024-11-21,CMG,48.65,48.65,47.3,48.47,1050319
2024-11-22,CMG,48.02,50.0,47.84,49.01,2130900
2024-11-25,CMG,47.57,48.2,46.49,47.48,2206760
2024-11-26,CMG,48.02,48.29,46.85,47.48,1732674
2024-11-27,CMG,48.65,49.28,47.57,47.93,2366579
2024-11-28,CMG,49.01,50.0,48.47,49.1,2216282
2024-11-29,CMG,51.17,51.8,49.19,49.19,3614653
2024-12-02,CMG,50.72,51.98,50.27,51.98,1718957
2024-12-03,CMG,52.52,53.78,50.63,50.81,4355275
2024-12-04,CMG,50.9,52.52,50.9,52.52,2942026
2024-12-05,CMG,51.35,52.07,50.09,50.99,3681215
2024-12-06,CMG,52.16,53.51,51.71,52.79,2865901
2024-12-09,CMG,51.08,52.7,50.99,52.61,2719333
2024-12-10,CMG,50.99,51.44,50.09,51.08,2966478
2024-12-11,CMG,51.35,52.61,50.99,51.26,2241440
2024-12-12,CMG,50.18,51.89,50.18,51.44,2566762
2024-12-13,CMG,48.83,50.09,48.83,49.82,3119697
2024-12-16,CMG,50.18,50.27,48.83,49.1,1835921
2024-12-17,CMG,49.55,50.36,49.37,50.18,1095523
2024-12-18,CMG,50.09,50.27,49.64,49.64,1391045
2024-12-19,CMG,50.9,51.08,49.1,49.55,2981965
2024-12-20,CMG,50.9,51.62,50.72,51.17,2138958
2024-12-23,CMG,50.27,51.26,50.09,51.08,2383356
2024-12-24,CMG,49.55,50.63,49.28,50.27,2270828
2024-12-25,CMG,50.36,50.99,49.91,50.27,2060886
2024-12-26,CMG,49.91,50.81,49.91,50.81,1404999
2024-12-27,CMG,48.56,49.91,48.47,49.73,3247391
2024-12-30,CMG,49.1,49.5,49.0,49.0,965855
2024-12-31,CMG,49.25,49.85,48.95,49.3,960004
2025-01-02,CMG,49.3,49.5,49.0,49.5,514663
2025-01-03,CMG,49.35,50.4,49.25,49.3,1897073
2025-01-06,CMG,49.0,49.75,48.5,49.4,1151971
2025-01-07,CMG,48.15,49.3,48.0,49.1,1658112
2025-01-08,CMG,47.2,48.25,47.0,48.25,1774870
2025-01-09,CMG,46.0,47.45,46.0,47.3,1647467
2025-01-10,CMG,44.65,46.4,44.65,46.0,1787467
2025-01-13,CMG,44.8,44.9,43.9,44.3,1582000
2025-01-14,CMG,44.8,45.45,44.8,45.3,585600
2025-01-15,CMG,45.1,45.3,45.0,45.2,466800
2025-01-16,CMG,46.1,46.4,45.5,45.8,956900
2025-01-17,CMG,47.45,47.5,46.0,46.1,1356800
2025-01-20,CMG,46.6,47.8,46.6,47.8,674100
2025-01-21,CMG,46.95,47.45,46.65,46.65,670000
2025-01-22,CMG,46.4,47.35,46.4,47.0,544400
2025-01-23,CMG,47.5,48.2,46.8,47.0,882600
2025-01-24,CMG,47.1,47.9,46.9,47.6,730300
2025-02-03,CMG,44.8,45.55,44.3,44.3,1986700
2025-02-04,CMG,45.4,45.5,45.05,45.2,794800
2025-02-05,CMG,45.8,46.0,45.35,45.6,773100
2025-02-06,CMG,45.2,46.1,45.0,46.0,745500
2025-02-07,CMG,44.95,45.3,44.95,45.2,928400
2025-02-10,CMG,44.05,44.95,44.05,44.95,1854100
2025-02-11,CMG,44.65,44.85,44.15,44.3,800400
2025-02-12,CMG,45.35,45.75,44.8,44.8,862700
2025-02-13,CMG,45.25,45.5,45.0,45.5,564500
2025-02-14,CMG,45.0,45.6,45.0,45.6,811200
2025-02-17,CMG,44.55,45.0,44.55,45.0,917400
2025-02-18,CMG,44.6,44.9,44.5,44.6,590500
2025-02-19,CMG,45.25,45.3,44.5,44.65,1060600
2025-02-20,CMG,44.9,45.45,44.85,45.35,676700
2025-02-21,CMG,44.7,45.0,44.55,45.0,880000
2025-02-24,CMG,44.15,44.7,44.0,44.7,1668600
2025-02-25,CMG,44.2,44.6,44.0,44.3,939900
2025-02-26,CMG,44.6,45.0,44.2,44.25,952600
2025-02-27,CMG,44.45,44.9,44.3,44.9,526300
2025-02-28,CMG,44.4,44.65,44.25,44.45,793900
2025-03-03,CMG,44.35,44.8,44.3,44.4,646400
2025-03-04,CMG,44.15,44.25,43.85,44.15,1093200
2025-03-05,CMG,44.0,44.65,44.0,44.15,644900
2025-03-06,CMG,44.6,44.8,44.0,44.15,1053600
2025-03-07,CMG,44.35,44.85,44.3,44.8,596200
2025-03-10,CMG,43.95,44.5,43.9,44.5,910000
2025-03-11,CMG,43.1,43.3,42.95,43.05,1602500
2025-03-12,CMG,42.25,43.35,42.25,43.1,1808600
2025-03-13,CMG,42.45,43.4,42.4,42.5,843900
2025-03-14,CMG,41.5,42.8,41.3,42.8,1205300
2025-03-17,CMG,41.1,41.85,41.05,41.75,585700
2025-03-18,CMG,41.7,41.9,41.05,41.05,563800
2025-03-19,CMG,41.15,41.9,41.1,41.8,572000
2025-03-20,CMG,41.15,41.6,40.65,41.15,574100
2025-03-21,CMG,41.5,41.75,41.15,41.15,476100
2025-03-24,CMG,41.2,41.8,41.05,41.5,358900
2025-03-25,CMG,41.05,41.4,41.05,41.25,447500
2025-03-26,CMG,39.7,41.05,39.4,41.05,1406100
2025-03-27,CMG,39.95,40.2,39.15,39.5,662200
2025-03-28,CMG,39.3,39.95,39.3,39.95,257400
2025-03-31,CMG,38.0,39.0,37.5,39.0,793900
2025-04-01,CMG,38.55,38.7,38.15,38.15,450200
2025-04-02,CMG,38.45,38.9,38.1,38.6,332200
2025-04-03,CMG,35.8,37.8,35.8,35.8,903700
2025-04-04,CMG,33.3,33.8,33.3,33.3,1840500
2025-04-08,CMG,31.0,31.7,31.0,31.0,541200
2025-04-09,CMG,28.85,29.6,28.85,28.85,1992100
2025-04-10,CMG,30.85,30.85,30.85,30.85,823600
2025-04-11,CMG,33.0,33.0,30.7,30.85,1654500
2025-04-14,CMG,33.55,34.7,33.3,34.7,821300
2025-04-15,CMG,32.05,32.75,32.0,32.65,1195300
2025-04-16,CMG,30.3,32.0,30.3,31.8,887100
2025-04-17,CMG,31.3,31.35,30.0,30.0,562600
2025-04-18,CMG,32.5,33.25,31.5,31.5,1034100
2025-04-21,CMG,31.6,32.75,31.55,32.7,457000
2025-04-22,CMG,30.7,31.4,29.4,31.4,1535900
2025-04-23,CMG,31.45,31.7,31.0,31.5,474400
2025-04-24,CMG,32.0,32.75,31.3,31.85,751900
2025-04-25,CMG,31.7,32.65,31.65,32.6,510900
2025-04-28,CMG,31.6,32.25,31.5,31.8,340900
2025-04-29,CMG,31.45,31.8,31.3,31.65,404900
2025-05-05,CMG,32.3,32.3,31.45,31.8,588600
2025-05-06,CMG,33.25,34.0,32.6,32.6,1555200
2025-05-07,CMG,33.25,34.3,33.25,33.4,1545900
2025-05-08,CMG,33.75,34.2,32.9,33.75,1311500
2025-05-09,CMG,33.7,34.2,33.5,33.9,1139400
2025-05-12,CMG,33.9,34.3,33.7,33.8,1040100
2025-05-13,CMG,34.25,34.65,34.1,34.3,1443900
2025-05-14,CMG,36.1,36.15,34.35,34.35,2514400
2025-05-15,CMG,36.2,37.0,35.55,36.9,1477400
2025-05-16,CMG,35.05,36.2,34.95,36.2,1499600
2025-05-19,CMG,34.2,34.95,34.2,34.95,1247000
2025-05-20,CMG,34.95,35.0,34.05,34.5,808700
2025-05-21,CMG,34.25,34.95,34.0,34.9,961700
2025-05-22,CMG,33.2,34.2,33.0,34.2,1635500
