Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,CTS,25.52,26.26,25.1,25.7,3269278
2024-03-11,CTS,25.87,26.22,25.03,25.45,2527353
2024-03-12,CTS,25.77,26.19,25.52,25.87,2165121
2024-03-13,CTS,27.2,27.27,25.63,25.87,2823301
2024-03-14,CTS,26.85,27.62,26.64,27.2,2075464
2024-03-15,CTS,26.57,27.06,26.01,26.85,1957591
2024-03-18,CTS,25.17,26.85,24.72,26.85,4207527
2024-03-19,CTS,25.45,25.94,25.17,25.38,902207
2024-03-20,CTS,26.12,26.12,25.24,25.24,1531756
2024-03-21,CTS,26.12,26.64,26.05,26.54,1780329
2024-03-22,CTS,26.61,27.1,26.08,26.29,2607964
2024-03-25,CTS,26.08,27.2,25.59,27.2,1927760
2024-03-26,CTS,26.33,26.5,25.7,25.94,906144
2024-03-27,CTS,26.26,26.61,26.05,26.43,1010061
2024-03-28,CTS,27.27,27.62,26.47,26.57,2728341
2024-03-29,CTS,26.92,27.27,26.85,27.27,916261
2024-04-01,CTS,26.92,27.06,26.22,26.85,1678490
2024-04-02,CTS,27.62,27.62,26.57,26.57,2274983
2024-04-03,CTS,27.45,28.46,27.06,27.76,2279094
2024-04-04,CTS,26.78,27.45,26.78,27.13,1715096
2024-04-05,CTS,25.17,26.47,25.17,26.19,2724700
2024-04-08,CTS,25.52,26.01,25.03,25.14,1850966
2024-04-09,CTS,26.57,26.57,25.59,25.73,1054028
2024-04-10,CTS,26.15,26.57,26.15,26.57,1119101
2024-04-11,CTS,26.71,26.85,25.45,25.45,1704849
2024-04-12,CTS,28.32,28.32,26.68,26.96,3943317
2024-04-15,CTS,26.36,29.37,26.36,28.32,4542921
2024-04-16,CTS,27.8,27.97,25.91,26.47,4744263
2024-04-17,CTS,26.19,28.39,26.19,28.39,2693759
2024-04-19,CTS,24.37,25.98,24.37,25.17,5836669
2024-04-22,CTS,25.31,25.87,24.55,25.07,2118238
2024-04-23,CTS,23.92,25.52,23.64,25.24,2395968
2024-04-24,CTS,25.17,25.28,24.34,24.41,1828287
2024-04-25,CTS,24.83,25.14,24.55,25.07,1399103
2024-04-26,CTS,24.83,25.35,24.37,24.37,1350876
2024-05-02,CTS,24.41,25.0,23.99,24.86,1686613
2024-05-03,CTS,24.41,25.0,24.2,24.83,1545935
