Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,DPR,32.89,33.47,32.56,33.09,503839
2024-03-11,DPR,33.38,34.34,32.94,32.94,913832
2024-03-12,DPR,35.69,35.69,33.38,33.38,3566284
2024-03-13,DPR,36.94,37.14,36.46,36.65,1746551
2024-03-14,DPR,38.05,38.92,36.94,37.04,2230315
2024-03-15,DPR,39.16,39.55,37.38,38.1,1952078
2024-03-18,DPR,38.1,39.5,36.46,39.5,2405494
2024-03-19,DPR,38.58,39.4,37.72,38.34,1221514
2024-03-20,DPR,38.29,38.63,37.81,38.58,652938
2024-03-21,DPR,39.02,39.45,38.29,38.58,979831
2024-03-22,DPR,38.39,39.07,38.2,39.07,1435807
2024-03-25,DPR,38.15,39.16,37.86,38.49,903507
2024-03-26,DPR,40.8,40.8,38.01,38.2,1844579
2024-03-27,DPR,41.86,41.86,40.85,41.48,915982
2024-03-28,DPR,41.48,42.06,40.95,42.06,687230
2024-03-29,DPR,41.09,41.96,40.9,41.48,867494
2024-04-01,DPR,40.95,41.43,40.42,40.9,987164
2024-04-02,DPR,42.39,42.59,40.51,40.9,1305219
2024-04-03,DPR,41.14,42.35,41.0,42.35,874082
2024-04-04,DPR,41.0,41.72,40.71,41.04,1030776
2024-04-05,DPR,38.15,40.9,38.15,40.46,1925515
2024-04-08,DPR,38.1,39.07,37.76,38.29,869420
2024-04-09,DPR,39.07,39.07,38.1,38.92,632692
2024-04-10,DPR,38.58,39.16,38.54,39.11,607016
2024-04-11,DPR,38.29,38.73,37.86,37.86,570579
2024-04-12,DPR,38.87,38.87,38.2,38.29,381556
2024-04-15,DPR,36.22,39.5,36.17,38.78,1311584
2024-04-16,DPR,36.7,36.7,35.01,36.22,903337
2024-04-17,DPR,35.21,36.8,35.21,36.7,697398
2024-04-19,DPR,34.34,35.69,33.86,34.53,811917
2024-04-22,DPR,35.21,36.65,34.73,36.65,474012
2024-04-23,DPR,34.53,35.45,34.44,35.45,435034
2024-04-24,DPR,36.37,36.46,34.73,34.73,745324
2024-04-25,DPR,35.88,36.46,35.59,36.32,360076
2024-04-26,DPR,35.88,36.37,35.55,35.55,396958
2024-05-02,DPR,36.9,37.19,36.27,36.37,752758
2024-05-03,DPR,37.23,37.38,36.9,37.14,469954
2024-05-06,DPR,37.81,38.49,37.23,37.43,585621
2024-05-07,DPR,37.96,38.39,37.72,37.86,461922
2024-05-08,DPR,38.29,38.78,37.23,37.81,540853
2024-05-09,DPR,37.91,39.36,37.72,38.58,705038
2024-05-10,DPR,38.54,38.54,37.43,38.1,562891
2024-05-13,DPR,38.54,39.07,38.1,39.07,534443
2024-05-14,DPR,38.73,39.36,38.29,38.54,507179
2024-05-15,DPR,39.26,39.45,38.68,38.83,666405
2024-05-16,DPR,39.26,39.93,39.07,39.6,590072
2024-05-17,DPR,39.5,40.13,39.07,39.55,653984
2024-05-20,DPR,39.55,39.98,39.45,39.98,582219
2024-05-21,DPR,39.16,39.74,38.58,39.74,740892
2024-05-22,DPR,39.07,39.84,38.92,39.5,834570
2024-05-23,DPR,39.55,39.55,38.29,38.97,745293
2024-05-24,DPR,39.93,40.71,38.97,39.16,1837486
2024-05-27,DPR,41.77,41.96,39.93,40.03,1849665
2024-05-28,DPR,41.96,42.25,41.43,42.06,787386
2024-05-29,DPR,41.28,43.41,41.28,42.3,1752062
2024-05-30,DPR,41.86,41.86,40.61,40.61,1209732
2024-05-31,DPR,41.0,42.06,41.0,41.91,960014
2024-06-03,DPR,41.24,41.48,41.0,41.24,710261
2024-06-04,DPR,41.96,42.3,41.24,41.28,879800
2024-06-05,DPR,41.38,42.59,41.38,42.44,933943
2024-06-06,DPR,41.09,41.48,40.66,41.48,631624
2024-06-07,DPR,41.43,41.53,41.04,41.24,488760
2024-06-10,DPR,44.32,44.32,41.62,41.62,2317057
2024-06-11,DPR,44.42,45.72,44.42,45.72,861916
2024-06-12,DPR,43.99,44.42,43.41,44.42,561138
2024-06-13,DPR,43.55,44.37,43.55,44.37,577595
2024-06-14,DPR,41.53,44.18,41.53,43.99,1082686
2024-06-17,DPR,41.77,42.3,41.53,41.67,722422
2024-06-18,DPR,42.39,42.73,41.86,41.86,503419
2024-06-19,DPR,42.83,43.6,42.15,42.35,488391
2024-06-20,DPR,41.77,43.26,41.72,43.02,651201
2024-06-21,DPR,41.72,42.25,41.48,41.48,408187
2024-06-24,DPR,39.65,42.2,39.55,42.1,1127227
2024-06-25,DPR,40.32,40.42,39.84,40.13,591951
2024-06-26,DPR,41.86,42.39,40.32,40.32,896614
2024-06-27,DPR,41.48,41.96,41.19,41.86,398244
2024-06-28,DPR,39.45,41.38,38.58,41.09,1079627
