Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,DRC,32.1,32.48,29.95,30.42,4099232
2024-03-11,DRC,31.73,32.29,31.59,32.1,1360602
2024-03-12,DRC,31.31,33.13,31.31,31.59,2603632
2024-03-13,DRC,31.82,32.48,30.47,31.31,4750318
2024-03-14,DRC,31.64,32.38,31.36,32.2,1383196
2024-03-15,DRC,32.06,32.43,31.4,31.64,2946169
2024-03-18,DRC,30.79,32.29,29.86,32.01,2237188
2024-03-19,DRC,30.42,31.12,30.14,30.79,1108429
2024-03-20,DRC,30.56,30.56,29.58,30.28,1489620
2024-03-21,DRC,30.89,30.98,30.33,30.56,940209
2024-03-22,DRC,30.28,31.26,30.19,31.26,1649469
2024-03-25,DRC,29.86,30.37,29.67,30.28,1270583
2024-03-26,DRC,30.7,30.7,29.76,29.9,1285022
2024-03-27,DRC,30.51,30.79,30.37,30.7,1006805
2024-03-28,DRC,30.42,30.79,30.09,30.75,753495
2024-03-29,DRC,31.36,32.29,30.47,30.61,4584203
2024-04-01,DRC,31.36,31.78,31.03,31.17,1071465
2024-04-02,DRC,33.51,33.51,30.93,31.26,5102101
2024-04-03,DRC,32.43,33.6,32.43,33.51,2421816
2024-04-04,DRC,31.92,32.67,31.82,32.57,1968587
2024-04-05,DRC,29.72,31.5,29.72,31.4,6670596
2024-04-08,DRC,28.36,29.53,28.03,29.48,2798941
2024-04-09,DRC,28.97,29.16,28.08,28.36,1434292
2024-04-10,DRC,28.17,29.02,28.17,28.97,918764
2024-04-11,DRC,28.5,28.83,27.14,27.7,1147927
2024-04-12,DRC,28.83,28.83,28.22,28.64,576892
2024-04-15,DRC,26.96,28.73,26.86,28.55,1743614
2024-04-16,DRC,27.75,27.89,26.39,26.96,1880584
2024-04-17,DRC,27.47,28.17,27.33,27.89,692580
2024-04-19,DRC,27.14,27.52,26.25,27.05,1353336
2024-04-22,DRC,27.38,27.61,27.14,27.52,453400
2024-04-23,DRC,27.19,27.42,26.72,27.14,407086
2024-04-24,DRC,28.13,28.17,27.28,27.56,797746
2024-04-25,DRC,27.8,28.27,27.24,28.27,563731
2024-04-26,DRC,27.56,27.94,27.38,27.38,464848
2024-05-02,DRC,28.13,28.36,27.61,28.08,571548
2024-05-03,DRC,28.27,28.69,28.13,28.22,750274
2024-05-06,DRC,29.44,29.67,28.45,28.69,1412116
2024-05-07,DRC,29.95,29.95,29.11,29.48,1080118
2024-05-08,DRC,30.14,30.14,29.25,29.25,1084070
