Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,FCN,15.3,15.65,14.95,15.1,8560159
2024-03-11,FCN,15.45,15.85,15.15,15.3,4698301
2024-03-12,FCN,15.55,15.85,15.25,15.3,5445250
2024-03-13,FCN,15.6,16.15,15.6,15.65,6435918
2024-03-14,FCN,16.25,16.3,15.5,15.65,6249355
2024-03-15,FCN,16.4,16.5,15.9,16.2,4140843
2024-03-18,FCN,15.95,16.5,15.3,16.35,5928405
2024-03-19,FCN,15.5,16.1,15.5,15.95,2345988
2024-03-20,FCN,16.2,16.2,15.5,15.55,2312667
2024-03-21,FCN,16.05,16.4,15.95,16.3,3324714
2024-03-22,FCN,16.25,16.45,15.95,16.3,4418802
2024-03-25,FCN,16.55,16.8,16.1,16.2,5278046
2024-03-26,FCN,16.55,16.6,16.35,16.5,1347977
2024-03-27,FCN,16.6,16.85,16.45,16.75,2063481
2024-03-28,FCN,16.5,16.7,16.4,16.7,1406188
2024-03-29,FCN,16.6,16.65,16.35,16.5,1507294
2024-04-01,FCN,16.9,17.1,16.6,16.65,2732666
2024-04-02,FCN,16.7,16.95,16.6,16.95,1905916
2024-04-03,FCN,16.0,16.9,15.8,16.6,3371706
2024-04-04,FCN,15.6,16.0,15.5,16.0,2355700
2024-04-05,FCN,15.6,16.0,15.25,15.5,1259875
2024-04-08,FCN,15.65,15.95,15.6,15.8,1072468
2024-04-09,FCN,15.75,15.75,15.55,15.75,662717
2024-04-10,FCN,15.75,15.9,15.65,15.75,795052
2024-04-11,FCN,15.75,15.8,15.5,15.5,690958
2024-04-12,FCN,15.7,15.75,15.1,15.1,1407251
2024-04-15,FCN,14.65,15.65,14.65,15.5,1735721
2024-04-16,FCN,13.95,14.6,13.9,14.5,1722523
2024-04-17,FCN,13.75,14.25,13.75,14.1,667696
2024-04-19,FCN,13.05,13.6,13.0,13.6,1595801
2024-04-22,FCN,13.35,13.45,13.2,13.2,585981
2024-04-23,FCN,13.15,13.8,13.15,13.8,574711
2024-04-24,FCN,13.7,13.85,13.2,13.2,898351
2024-04-25,FCN,14.05,14.15,13.65,13.7,1074254
