Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,FOX,35.33,36.41,35.33,36.34,105966
2024-03-11,FOX,35.84,36.28,35.33,35.33,161544
2024-03-12,FOX,35.65,35.9,35.27,35.77,194122
2024-03-13,FOX,36.79,36.91,35.4,35.46,193414
2024-03-14,FOX,36.91,37.36,36.66,37.29,86604
2024-03-15,FOX,36.41,36.98,36.34,36.98,52739
2024-03-18,FOX,36.41,36.53,35.4,36.53,93231
2024-03-19,FOX,36.15,36.53,35.9,35.9,25788
2024-03-20,FOX,36.41,36.47,35.84,36.03,39384
2024-03-21,FOX,36.98,37.23,36.15,36.34,71332
2024-03-22,FOX,36.79,37.42,36.66,37.17,46698
2024-03-25,FOX,36.66,37.48,36.53,37.29,31821
2024-03-26,FOX,37.04,37.04,36.53,36.79,61231
2024-03-27,FOX,36.91,37.1,36.66,37.1,22483
2024-03-28,FOX,37.04,37.04,36.85,37.04,51971
2024-03-29,FOX,36.91,37.04,36.66,37.04,40405
2024-04-01,FOX,36.66,36.98,36.6,36.72,53184
2024-04-02,FOX,36.53,36.72,36.15,36.72,43007
2024-04-03,FOX,36.34,36.66,36.28,36.28,52248
2024-04-04,FOX,36.34,36.53,36.15,36.53,52949
2024-04-05,FOX,36.15,36.34,35.77,36.28,71675
2024-04-08,FOX,35.4,37.29,30.78,37.29,128732
2024-04-09,FOX,35.65,35.77,35.27,35.4,63220
2024-04-10,FOX,35.65,35.77,35.4,35.59,38343
2024-04-11,FOX,35.46,35.71,34.83,34.83,20542
2024-04-12,FOX,35.71,36.15,35.27,35.27,14176
2024-04-15,FOX,35.59,35.71,35.08,35.65,80320
2024-04-16,FOX,35.21,35.59,34.76,35.4,37439
2024-04-17,FOX,35.27,35.71,35.27,35.27,34025
2024-04-19,FOX,34.76,35.4,34.51,35.27,33146
2024-04-22,FOX,35.27,35.33,34.7,34.7,36673
2024-04-23,FOX,36.66,36.66,34.7,34.95,70060
2024-04-24,FOX,36.28,36.6,35.52,36.6,41390
2024-04-25,FOX,39.12,39.76,36.28,36.28,516457
2024-04-26,FOX,39.44,39.88,38.87,39.19,172093
2024-05-02,FOX,41.78,42.1,39.5,40.01,466204
2024-05-03,FOX,45.82,47.22,41.72,41.78,567888
2024-05-06,FOX,46.08,48.48,45.82,45.82,364852
2024-05-07,FOX,47.22,49.3,46.08,46.77,361116
2024-05-08,FOX,46.71,47.72,46.2,47.15,212046
2024-05-09,FOX,49.3,51.83,46.77,46.77,308747
2024-05-10,FOX,49.36,51.32,48.35,49.43,251026
2024-05-13,FOX,48.48,49.93,47.72,49.43,289534
2024-05-14,FOX,48.67,49.93,48.29,48.48,218578
2024-05-15,FOX,49.49,50.57,48.92,48.92,355758
2024-05-16,FOX,51.45,52.4,49.93,49.93,282824
2024-05-17,FOX,51.77,53.73,49.74,51.45,293689
2024-05-20,FOX,50.31,52.15,50.19,51.83,255679
2024-05-21,FOX,49.3,50.57,43.99,49.3,367634
2024-05-22,FOX,49.43,50.88,48.67,49.81,202275
2024-05-23,FOX,49.43,50.0,48.61,49.74,174852
2024-05-24,FOX,50.19,51.83,49.11,49.17,453339
2024-05-27,FOX,49.24,50.5,48.67,50.31,154784
2024-05-28,FOX,50.25,50.57,49.24,49.93,217436
2024-05-29,FOX,50.25,51.26,49.62,50.57,193663
2024-05-30,FOX,49.74,50.31,48.67,50.31,250687
2024-05-31,FOX,50.82,51.83,49.55,49.62,265601
2024-06-03,FOX,58.47,58.47,50.82,50.82,675809
2024-06-04,FOX,63.97,63.97,57.08,58.47,422141
2024-06-05,FOX,66.37,71.42,63.97,64.15,808364
2024-06-06,FOX,65.42,69.4,64.98,67.63,493255
2024-06-07,FOX,67.57,70.16,65.42,65.42,333014
2024-06-10,FOX,66.56,69.21,66.24,67.63,283060
2024-06-11,FOX,64.91,67.0,64.47,67.0,367739
2024-06-12,FOX,66.62,68.9,63.21,64.91,397608
2024-06-13,FOX,66.37,67.88,66.11,66.68,230647
2024-06-14,FOX,68.83,72.69,65.92,66.81,725402
2024-06-17,FOX,72.06,74.58,69.4,70.79,471951
2024-06-18,FOX,69.21,74.58,68.9,72.06,587219
2024-06-19,FOX,69.21,70.48,67.19,68.9,344150
2024-06-20,FOX,68.77,70.79,68.14,69.53,315145
2024-06-21,FOX,69.72,71.17,68.26,68.9,308074
2024-06-24,FOX,67.88,71.42,67.63,69.84,535069
2024-06-25,FOX,66.24,68.96,65.1,68.58,330920
2024-06-26,FOX,67.95,68.58,66.37,66.87,188198
2024-06-27,FOX,68.9,70.79,67.06,67.63,230799
2024-06-28,FOX,68.39,70.73,67.32,67.32,321154
2024-07-01,FOX,62.13,68.39,58.91,67.63,594905
2024-07-02,FOX,61.94,63.21,60.24,62.38,321444
2024-07-03,FOX,62.51,62.64,61.31,61.94,221299
2024-07-04,FOX,62.83,63.21,61.94,62.64,210414
2024-07-05,FOX,64.53,65.86,62.2,62.57,207556
2024-07-08,FOX,64.47,65.8,64.15,64.98,206436
2024-07-09,FOX,64.22,65.1,62.38,64.47,283885
2024-07-10,FOX,64.53,64.6,62.83,63.33,194353
2024-07-11,FOX,64.91,66.68,64.34,64.47,120610
2024-07-12,FOX,63.9,65.04,63.84,65.04,89606
2024-07-15,FOX,63.21,64.15,63.21,64.15,97044
2024-07-16,FOX,60.68,63.71,60.36,63.21,286893
2024-07-17,FOX,58.4,61.37,56.25,61.37,331750
2024-07-18,FOX,57.83,58.02,54.36,57.83,193410
2024-07-19,FOX,55.62,57.52,55.62,57.52,61065
2024-07-22,FOX,57.33,57.33,53.73,55.69,140419
2024-07-23,FOX,56.06,58.15,55.62,56.25,107455
2024-07-24,FOX,56.32,57.2,53.73,56.06,102601
2024-07-25,FOX,56.89,56.89,54.36,55.31,82184
2024-07-26,FOX,58.47,58.59,55.81,57.2,119763
2024-07-29,FOX,61.25,61.31,58.4,58.72,181841
2024-07-30,FOX,59.67,62.26,59.54,62.26,58407
2024-07-31,FOX,60.24,60.43,58.91,60.43,88027
2024-08-01,FOX,59.92,60.93,56.89,59.41,209400
2024-08-02,FOX,60.05,60.05,57.9,59.92,62484
2024-08-05,FOX,54.42,58.02,54.42,57.96,123056
2024-08-06,FOX,56.25,57.52,54.36,54.42,125975
2024-08-07,FOX,55.75,56.25,55.31,56.25,15605
2024-08-08,FOX,54.67,55.62,53.73,55.31,52471
2024-08-09,FOX,56.7,56.82,55.18,55.31,56053
2024-08-12,FOX,57.9,57.96,56.32,56.32,85346
2024-08-13,FOX,58.02,58.85,57.52,57.52,62400
2024-08-14,FOX,58.09,59.03,58.09,58.15,54911
2024-08-15,FOX,57.14,57.64,56.13,57.2,57125
2024-08-16,FOX,59.48,59.48,57.08,57.08,122770
2024-08-19,FOX,60.05,60.36,59.41,59.41,87587
2024-08-20,FOX,59.6,60.05,59.41,60.05,61556
2024-08-21,FOX,59.98,60.36,59.54,59.73,81949
2024-08-22,FOX,59.35,59.98,59.35,59.98,68755
2024-08-23,FOX,59.41,59.41,57.9,59.41,137482
2024-08-26,FOX,58.15,59.41,58.15,59.41,39590
