Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,FTS,37.7,39.1,37.25,38.97,2623570
2024-03-11,FTS,38.71,39.54,38.14,38.65,2613939
2024-03-12,FTS,39.1,39.92,38.65,38.71,2018059
2024-03-13,FTS,39.92,40.11,39.03,39.22,2605930
2024-03-14,FTS,39.1,40.05,38.84,40.05,2943349
2024-03-15,FTS,40.68,40.68,38.46,39.03,4854859
2024-03-18,FTS,38.46,40.62,37.89,40.62,3849397
2024-03-19,FTS,38.14,39.35,38.14,38.52,910653
2024-03-20,FTS,38.52,38.71,37.57,38.4,1561996
2024-03-21,FTS,38.59,39.16,38.52,39.16,1270913
2024-03-22,FTS,39.16,39.92,38.52,38.78,2349891
2024-03-25,FTS,38.78,39.73,38.46,39.16,1210390
2024-03-26,FTS,39.48,39.73,38.46,38.78,1282137
2024-03-27,FTS,39.41,39.99,39.16,39.99,928773
2024-03-28,FTS,40.3,40.62,39.41,39.92,2919543
2024-03-29,FTS,39.54,40.3,39.48,40.3,1235960
2024-04-01,FTS,39.86,40.11,39.03,39.54,1367562
2024-04-02,FTS,40.43,40.43,39.41,39.92,2084204
2024-04-03,FTS,40.62,41.83,40.05,40.68,3085550
2024-04-04,FTS,39.67,40.62,39.54,40.11,1530201
2024-04-05,FTS,37.0,39.22,37.0,39.03,2445210
2024-04-08,FTS,36.23,37.76,36.04,37.0,2107479
2024-04-09,FTS,37.82,37.82,36.23,36.43,1433125
2024-04-10,FTS,37.82,38.27,37.7,37.89,901430
2024-04-11,FTS,38.27,38.46,36.87,37.51,1227533
2024-04-12,FTS,39.1,39.22,38.01,38.78,1328314
2024-04-15,FTS,36.36,39.6,36.36,38.78,2693793
2024-04-16,FTS,36.23,36.68,34.33,36.23,2567686
2024-04-17,FTS,33.76,36.87,33.76,36.87,1646677
2024-04-19,FTS,31.78,34.2,31.47,32.17,4705805
2024-04-22,FTS,34.01,34.01,32.55,32.74,2195519
2024-04-23,FTS,33.44,34.65,32.8,34.2,1814231
2024-04-24,FTS,35.28,35.6,33.82,33.88,2241547
2024-04-25,FTS,34.9,35.22,34.07,35.09,1568071
2024-04-26,FTS,34.65,35.92,34.01,34.01,2189875
2024-05-02,FTS,34.65,35.34,34.07,35.34,1344231
2024-05-03,FTS,34.65,35.92,34.45,35.09,1722347
2024-05-06,FTS,37.06,37.06,35.03,35.47,3168592
2024-05-07,FTS,37.51,37.57,36.93,37.57,1345515
2024-05-08,FTS,38.08,38.52,36.93,37.19,2158100
2024-05-09,FTS,37.95,38.65,37.63,38.46,1560636
2024-05-10,FTS,38.27,38.46,37.38,38.14,2461696
2024-05-13,FTS,38.14,39.03,37.38,38.78,2097126
2024-05-14,FTS,37.82,38.78,37.7,38.33,2270474
2024-05-15,FTS,40.48,40.48,39.04,40.48,5013880
2024-05-16,FTS,41.24,42.09,41.02,42.0,2415773
2024-05-17,FTS,41.37,41.73,41.06,41.24,2220972
2024-05-20,FTS,40.97,41.73,40.84,41.37,2854355
2024-05-21,FTS,41.55,41.55,40.61,40.97,3279834
2024-05-22,FTS,42.0,43.62,41.55,41.69,3281034
2024-05-23,FTS,42.18,42.18,41.11,41.82,1645617
2024-05-24,FTS,40.75,42.09,39.49,41.46,3737621
2024-05-27,FTS,40.7,41.28,40.43,40.79,1084930
2024-05-28,FTS,41.6,41.82,40.75,41.11,2133642
2024-05-29,FTS,41.11,42.14,40.93,42.14,1560428
2024-05-30,FTS,40.79,40.84,39.71,40.48,2587805
2024-05-31,FTS,40.84,41.69,40.79,41.37,1072722
2024-06-03,FTS,41.28,41.64,41.15,41.28,2020427
2024-06-04,FTS,41.28,41.73,41.24,41.42,2109772
2024-06-05,FTS,42.27,42.9,41.28,41.55,4414378
2024-06-06,FTS,42.18,42.9,42.09,42.45,2488663
2024-06-07,FTS,42.27,42.81,42.0,42.54,1523619
2024-06-10,FTS,42.23,42.95,42.05,42.36,2068756
2024-06-11,FTS,42.63,42.63,42.0,42.36,2178407
2024-06-12,FTS,43.17,43.53,42.77,42.81,2558980
2024-06-13,FTS,42.63,43.75,42.63,43.75,1849316
2024-06-14,FTS,40.39,43.08,39.94,42.72,3799848
2024-06-17,FTS,40.84,41.15,40.39,40.39,1781843
2024-06-18,FTS,40.84,41.37,40.75,41.2,1075414
2024-06-19,FTS,40.84,41.2,40.48,40.84,1310701
2024-06-20,FTS,40.39,40.97,39.98,40.88,1610002
2024-06-21,FTS,39.85,40.79,39.85,40.39,2127289
2024-06-24,FTS,37.34,40.12,37.25,39.49,4141354
2024-06-25,FTS,37.78,37.96,37.11,37.96,1064124
2024-06-26,FTS,37.7,38.05,37.25,37.87,1008367
2024-06-27,FTS,37.38,37.96,37.25,37.52,920237
2024-06-28,FTS,36.35,37.83,36.08,37.7,1865242
2024-07-01,FTS,37.74,37.74,36.35,36.8,1173865
2024-07-02,FTS,38.86,39.22,37.87,37.87,1657943
2024-07-03,FTS,38.41,39.04,38.28,39.04,1024577
2024-07-04,FTS,38.41,39.0,38.19,38.41,920276
2024-07-05,FTS,38.14,38.55,37.7,37.78,2188362
2024-07-08,FTS,38.05,38.59,37.83,38.59,1896965
2024-07-09,FTS,39.27,39.4,37.74,38.19,3557413
2024-07-10,FTS,38.64,39.53,38.64,39.49,1579538
2024-07-11,FTS,38.91,39.31,38.5,38.68,1914484
2024-07-12,FTS,38.46,39.04,38.37,38.46,1247159
2024-07-15,FTS,38.23,39.13,38.05,39.13,1064236
2024-07-16,FTS,38.14,38.68,37.96,38.23,1468833
2024-07-17,FTS,36.35,38.32,35.9,38.1,2518671
2024-07-18,FTS,36.62,36.75,35.27,36.35,2407445
2024-07-19,FTS,35.41,36.8,35.41,36.66,1944834
2024-07-22,FTS,34.42,35.81,34.1,35.41,3208860
2024-07-23,FTS,32.76,34.96,32.76,34.55,1941782
2024-07-24,FTS,34.37,34.55,32.31,32.31,2955569
2024-07-25,FTS,34.37,34.64,33.52,34.1,1483050
2024-07-26,FTS,34.19,34.64,34.06,34.37,942023
2024-07-29,FTS,34.24,34.6,34.1,34.19,1375413
2024-07-30,FTS,33.34,34.19,33.21,33.97,1519046
2024-07-31,FTS,33.39,34.1,32.98,33.84,1268453
2024-08-01,FTS,31.1,33.66,31.05,33.66,3129063
2024-08-02,FTS,33.25,33.25,30.29,30.56,3465137
2024-08-05,FTS,33.3,34.51,32.31,32.76,4522454
2024-08-06,FTS,35.54,35.59,33.25,34.1,5083943
2024-08-07,FTS,35.54,35.72,34.64,35.72,2529736
2024-08-08,FTS,34.46,35.54,33.75,35.0,3605828
2024-08-09,FTS,36.84,36.84,34.73,34.96,5531546
2024-08-12,FTS,37.16,37.43,36.35,36.62,2237513
2024-08-13,FTS,36.48,37.16,36.08,37.16,2806090
2024-08-14,FTS,35.9,36.98,35.9,36.98,2221800
2024-08-15,FTS,36.44,36.8,35.54,35.72,3580118
2024-08-16,FTS,38.95,38.95,36.48,36.75,7239142
2024-08-19,FTS,38.82,39.31,38.46,39.31,2732734
2024-08-20,FTS,38.59,40.21,38.28,38.59,4674509
2024-08-21,FTS,38.82,38.95,38.32,38.59,2755278
2024-08-22,FTS,39.13,39.49,38.5,38.86,2517938
2024-08-23,FTS,39.71,40.03,38.82,39.13,3778368
2024-08-26,FTS,39.18,40.07,39.13,40.03,3144548
2024-08-27,FTS,39.18,39.58,39.04,39.13,2008568
2024-08-28,FTS,38.5,39.4,38.14,39.31,4056703
2024-08-29,FTS,38.5,39.04,38.32,38.55,1908367
2024-08-30,FTS,39.22,39.45,38.46,38.5,2524396
2024-09-04,FTS,39.67,39.89,38.46,38.59,3612847
2024-09-05,FTS,38.95,40.57,38.73,39.85,4070110
2024-09-06,FTS,38.86,39.18,38.23,38.82,2320383
2024-09-09,FTS,38.86,39.09,38.46,38.5,1469568
2024-09-10,FTS,37.78,39.13,37.78,39.13,3346160
2024-09-11,FTS,38.59,39.0,37.29,37.74,3262687
2024-09-12,FTS,38.59,39.0,38.5,38.95,1454394
2024-09-13,FTS,39.49,39.94,38.59,38.59,4553759
2024-09-16,FTS,38.77,39.58,38.77,39.58,1976248
2024-09-17,FTS,40.03,40.03,38.77,39.13,3510836
2024-09-18,FTS,40.21,40.97,39.85,40.21,4274982
2024-09-19,FTS,40.12,40.75,39.89,40.75,2495277
2024-09-20,FTS,40.21,40.66,39.94,40.66,4560814
2024-09-23,FTS,39.94,40.66,39.49,40.21,2083711
2024-09-24,FTS,40.39,40.39,39.89,40.03,1713513
2024-09-25,FTS,41.02,41.46,40.52,40.52,3998782
2024-09-26,FTS,40.66,41.24,40.66,41.11,2746658
2024-09-27,FTS,40.84,41.02,40.39,40.75,2243530
2024-09-30,FTS,41.28,41.46,40.57,40.84,2449526
2024-10-01,FTS,41.28,42.36,41.15,41.64,3736065
2024-10-02,FTS,40.61,41.24,40.57,41.02,2717124
2024-10-03,FTS,39.8,40.93,39.04,40.61,4010041
2024-10-04,FTS,39.67,40.3,39.49,39.85,2077838
2024-10-07,FTS,40.57,40.57,39.67,39.89,1589523
2024-10-08,FTS,39.85,40.75,39.67,40.66,2608646
2024-10-09,FTS,39.85,40.25,39.49,39.94,1869371
2024-10-10,FTS,39.76,40.43,39.76,39.94,1584149
2024-10-11,FTS,40.12,40.21,39.67,39.67,1158841
2024-10-14,FTS,40.03,40.57,40.03,40.57,1295744
2024-10-15,FTS,39.49,40.43,39.49,39.67,1460407
2024-10-16,FTS,39.13,39.71,39.09,39.71,1431407
2024-10-17,FTS,39.4,39.67,38.28,39.31,2286517
2024-10-18,FTS,39.22,39.67,39.13,39.13,1194539
2024-10-21,FTS,38.14,39.04,38.14,38.82,2540314
2024-10-22,FTS,37.25,38.28,36.35,38.01,2942683
2024-10-23,FTS,37.61,37.78,36.98,36.98,1472794
2024-10-24,FTS,36.44,37.7,36.44,37.7,1286418
2024-10-25,FTS,36.66,36.93,36.66,36.8,1303003
2024-10-28,FTS,37.43,37.65,36.66,36.66,1076552
2024-10-29,FTS,37.34,37.65,37.29,37.38,1031786
2024-10-30,FTS,37.25,37.52,37.07,37.52,965369
2024-10-31,FTS,37.52,37.7,37.2,37.25,931376
2024-11-01,FTS,37.02,37.52,36.75,37.34,1234444
2024-11-04,FTS,38.5,38.77,36.53,37.02,2470821
2024-11-05,FTS,38.19,38.59,37.96,38.41,723729
2024-11-06,FTS,38.68,38.73,38.19,38.55,1793795
2024-11-07,FTS,38.37,39.04,38.32,39.0,1138510
2024-11-08,FTS,38.5,39.04,38.1,38.37,1800738
2024-11-11,FTS,38.86,38.86,37.87,38.5,1871258
2024-11-12,FTS,38.55,39.67,38.5,39.0,1998067
2024-11-13,FTS,38.37,38.5,37.65,38.14,1758334
2024-11-14,FTS,37.25,39.0,37.25,38.05,2436042
2024-11-15,FTS,36.35,37.2,35.9,36.8,2858761
2024-11-18,FTS,37.11,38.01,36.17,36.17,2573992
2024-11-19,FTS,36.35,37.38,36.35,37.11,1089694
2024-11-20,FTS,37.11,38.05,35.14,36.3,3277072
2024-11-21,FTS,37.61,37.7,37.02,37.25,965869
2024-11-22,FTS,37.02,37.52,36.93,37.43,1292259
2024-11-25,FTS,37.34,37.56,36.57,37.07,1436945
2024-11-26,FTS,37.83,38.32,37.34,37.34,1952130
2024-11-27,FTS,37.52,38.01,37.43,37.52,1161164
2024-11-28,FTS,37.43,38.01,37.43,37.87,1502534
2024-11-29,FTS,37.7,37.87,37.29,37.43,1501808
2024-12-02,FTS,37.56,38.1,37.52,38.1,867235
2024-12-03,FTS,37.52,38.14,37.38,37.56,1699999
2024-12-04,FTS,36.75,37.7,36.44,37.47,2307354
2024-12-05,FTS,39.31,39.31,35.94,36.75,5867142
2024-12-06,FTS,39.22,39.67,38.91,39.67,2283612
2024-12-09,FTS,39.49,39.58,39.09,39.27,2127569
2024-12-10,FTS,39.49,39.62,39.04,39.36,1569899
2024-12-11,FTS,39.4,39.89,39.18,39.58,2250529
2024-12-12,FTS,39.04,39.76,39.04,39.45,1762142
2024-12-13,FTS,38.95,39.4,38.86,39.04,1513002
2024-12-16,FTS,39.09,39.27,38.59,38.95,985041
2024-12-17,FTS,38.46,39.31,38.46,39.27,1505374
2024-12-18,FTS,39.04,39.04,38.23,38.59,1303388
2024-12-19,FTS,38.55,38.68,38.14,38.23,2181402
2024-12-20,FTS,38.23,38.77,38.23,38.77,1043856
2024-12-23,FTS,38.32,38.68,38.32,38.41,812129
2024-12-24,FTS,37.74,38.41,37.7,38.23,1752135
2024-12-25,FTS,38.46,39.31,37.87,38.01,1964398
2024-12-26,FTS,38.37,38.77,38.37,38.46,610358
2024-12-27,FTS,38.41,38.68,38.14,38.59,1141173
2024-12-30,FTS,38.41,38.95,38.41,38.41,1054935
2024-12-31,FTS,37.87,38.41,37.87,38.19,1086643
2025-01-02,FTS,37.96,38.23,37.74,37.96,857588
2025-01-03,FTS,36.98,37.96,36.98,37.87,2513843
2025-01-06,FTS,36.26,37.29,35.86,36.89,1881408
2025-01-07,FTS,36.26,36.75,35.94,36.44,1324761
2025-01-08,FTS,36.71,36.89,36.08,36.08,1037441
2025-01-09,FTS,36.26,36.89,36.26,36.89,755455
2025-01-10,FTS,35.45,36.57,35.45,36.26,1476943
2025-01-13,FTS,36.66,36.71,35.27,35.41,1639058
2025-01-14,FTS,36.17,36.71,36.17,36.66,697085
2025-01-15,FTS,36.62,36.89,36.21,36.44,877503
2025-01-16,FTS,36.84,37.92,36.71,37.07,1766327
2025-01-17,FTS,36.71,36.93,36.62,36.75,937610
2025-01-20,FTS,36.66,37.43,36.66,37.43,927633
2025-01-21,FTS,36.66,37.16,36.62,36.8,824614
2025-01-22,FTS,36.53,36.89,36.53,36.84,924498
2025-01-23,FTS,37.34,37.7,36.57,36.8,1914858
2025-01-24,FTS,37.16,37.43,37.02,37.34,1117641
2025-02-03,FTS,36.71,37.16,36.62,36.75,866273
2025-02-04,FTS,37.43,37.65,36.84,37.11,1462888
2025-02-05,FTS,37.16,37.61,37.16,37.61,968631
2025-02-06,FTS,37.11,37.7,37.11,37.34,1264569
2025-02-07,FTS,36.93,37.2,36.93,37.11,1053800
2025-02-10,FTS,36.84,37.34,36.53,36.89,1659535
2025-02-11,FTS,36.8,37.16,36.62,36.89,839756
2025-02-12,FTS,36.62,37.34,36.57,36.8,1079820
2025-02-13,FTS,36.71,36.75,36.53,36.53,648910
2025-02-14,FTS,36.98,37.65,36.71,37.25,2138956
2025-02-17,FTS,37.74,38.28,36.8,37.02,2880399
2025-02-18,FTS,37.65,38.01,37.52,37.7,1377404
2025-02-19,FTS,38.14,38.19,37.61,37.96,1679806
2025-02-20,FTS,38.19,38.95,38.19,38.55,2441412
2025-02-21,FTS,37.87,38.28,37.7,38.19,1520108
2025-02-24,FTS,40.39,40.39,37.78,37.83,5350642
2025-02-25,FTS,40.66,41.33,40.12,40.52,4859802
2025-02-26,FTS,42.27,43.04,40.52,40.84,6413375
