Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,GIL,21.76,22.72,21.65,22.65,1300396
2024-03-11,GIL,21.62,22.03,21.24,21.69,690326
2024-03-12,GIL,22.31,22.38,21.07,21.62,1436823
2024-03-13,GIL,23.86,23.86,22.38,22.48,3255049
2024-03-14,GIL,25.03,25.51,24.1,24.1,2136110
2024-03-15,GIL,26.37,26.37,24.44,24.82,2272543
2024-03-18,GIL,26.16,26.89,24.55,26.51,2858057
2024-03-19,GIL,25.47,26.16,25.16,25.96,1512093
2024-03-20,GIL,25.89,25.99,24.92,25.16,1073633
2024-03-21,GIL,26.27,26.3,25.72,26.09,1931888
2024-03-22,GIL,26.16,26.61,25.89,26.58,1186095
2024-03-25,GIL,24.96,26.27,24.75,26.27,1508067
2024-03-26,GIL,25.47,25.72,24.92,24.96,796602
2024-03-27,GIL,26.16,26.3,25.34,25.47,1235780
2024-03-28,GIL,27.2,27.2,25.82,26.16,1764464
2024-03-29,GIL,26.54,27.2,26.44,27.2,1219948
2024-04-01,GIL,25.99,26.44,25.58,26.44,1275345
2024-04-02,GIL,26.47,26.47,25.54,25.82,1005261
2024-04-03,GIL,25.82,26.47,25.78,26.47,1441586
2024-04-04,GIL,25.75,25.82,25.13,25.82,1021740
2024-04-05,GIL,24.92,25.61,24.89,25.47,919355
2024-04-08,GIL,23.2,24.99,23.2,24.92,2560325
2024-04-09,GIL,23.79,23.86,23.0,23.1,1065082
2024-04-10,GIL,23.0,23.82,23.0,23.82,571311
2024-04-11,GIL,23.48,23.51,22.55,22.72,852413
2024-04-12,GIL,23.89,23.96,23.27,23.68,879921
2024-04-15,GIL,22.24,23.82,22.24,23.82,1099851
2024-04-16,GIL,22.03,22.31,21.07,22.31,1170261
2024-04-17,GIL,21.34,22.45,21.34,22.1,484460
2024-04-19,GIL,20.24,21.34,20.07,20.72,1047922
2024-04-22,GIL,21.07,21.34,20.52,20.66,407370
2024-04-23,GIL,21.0,21.24,20.66,21.07,360257
2024-04-24,GIL,22.14,22.38,21.34,21.34,775792
2024-04-25,GIL,22.03,22.17,21.45,22.03,455073
2024-04-26,GIL,22.17,22.24,21.41,21.41,715373
2024-05-02,GIL,22.24,22.24,21.69,22.17,514907
2024-05-03,GIL,22.03,22.93,21.89,22.58,637450
2024-05-06,GIL,23.06,23.27,22.03,22.38,893307
2024-05-07,GIL,23.0,23.06,22.55,23.06,662384
2024-05-08,GIL,23.37,24.1,22.45,22.58,1032051
2024-05-09,GIL,23.1,23.75,22.86,23.72,642104
2024-05-10,GIL,22.72,23.13,22.62,23.13,526661
2024-05-13,GIL,22.86,23.34,22.72,23.0,475016
2024-05-14,GIL,22.69,22.89,22.48,22.89,577023
2024-05-15,GIL,23.93,24.1,22.69,22.69,1607024
2024-05-16,GIL,23.82,24.37,23.62,24.37,898607
2024-05-17,GIL,24.3,24.65,23.68,23.96,1375351
2024-05-20,GIL,24.1,25.13,23.96,25.13,1430114
2024-05-21,GIL,24.85,25.1,23.86,24.1,1639947
2024-05-22,GIL,24.1,25.06,24.1,25.06,1116749
2024-05-23,GIL,24.44,24.58,23.82,24.1,1262959
2024-05-24,GIL,23.58,24.55,23.06,24.34,1450223
2024-05-27,GIL,23.27,23.58,23.1,23.27,534344
2024-05-28,GIL,24.1,24.1,23.41,23.65,582869
2024-05-29,GIL,24.1,24.61,23.89,24.1,1271100
2024-05-30,GIL,23.89,24.06,23.41,23.89,780832
2024-05-31,GIL,25.27,25.47,23.48,23.93,2482612
2024-06-03,GIL,25.16,25.61,25.06,25.61,779881
2024-06-04,GIL,24.92,25.47,24.82,25.16,1017353
2024-06-05,GIL,24.58,25.27,24.55,25.13,1129219
2024-06-06,GIL,24.92,25.2,24.51,24.79,1103328
2024-06-07,GIL,24.68,25.16,24.44,25.06,706267
2024-06-10,GIL,25.13,25.61,24.79,24.79,1171394
2024-06-11,GIL,24.79,25.34,24.65,25.34,818815
2024-06-12,GIL,25.27,25.3,24.55,24.85,899796
2024-06-13,GIL,25.58,26.09,25.13,25.47,1460508
2024-06-14,GIL,24.1,25.61,24.1,25.61,1243194
2024-06-17,GIL,23.93,24.37,23.82,24.17,766986
2024-06-18,GIL,23.96,24.17,23.79,24.03,577771
2024-06-19,GIL,24.13,24.24,23.89,24.1,512218
2024-06-20,GIL,23.75,24.3,23.68,24.24,576011
2024-06-21,GIL,23.89,24.24,23.75,23.75,695693
2024-06-24,GIL,22.31,23.89,22.24,23.79,1564535
2024-06-25,GIL,22.45,22.51,22.17,22.51,367601
2024-06-26,GIL,22.72,22.79,22.41,22.41,392778
2024-06-27,GIL,22.75,23.1,22.69,22.72,390984
2024-06-28,GIL,22.38,22.93,22.38,22.93,428066
2024-07-01,GIL,22.62,22.89,22.38,22.38,204384
2024-07-02,GIL,22.69,22.89,22.62,22.72,249282
2024-07-03,GIL,23.03,23.2,22.69,22.69,270214
2024-07-04,GIL,22.93,23.24,22.86,23.2,245837
2024-07-05,GIL,23.13,23.62,23.0,23.06,507049
2024-07-08,GIL,23.06,23.37,22.93,22.93,358641
