Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,GMD,62.85,64.78,62.77,64.21,2474412
2024-03-11,GMD,62.29,63.17,60.84,63.01,2381204
2024-03-12,GMD,62.93,64.13,61.81,62.29,1870355
2024-03-13,GMD,64.7,66.06,63.25,63.65,2527605
2024-03-14,GMD,64.7,65.98,64.37,65.58,1815606
2024-03-15,GMD,64.21,64.62,63.65,64.46,1794924
2024-03-18,GMD,62.53,63.97,59.96,63.97,3036602
2024-03-19,GMD,61.81,62.61,61.0,61.89,1983479
2024-03-20,GMD,62.61,63.09,61.24,61.81,2052338
2024-03-21,GMD,62.93,63.89,62.29,63.89,1022710
2024-03-22,GMD,63.09,63.57,62.37,63.41,1198833
2024-03-25,GMD,62.69,63.89,62.29,63.33,1315130
2024-03-26,GMD,63.33,63.41,62.37,62.61,824745
2024-03-27,GMD,64.21,65.02,62.93,63.65,1633544
2024-03-28,GMD,64.21,64.94,63.49,64.94,806204
2024-03-29,GMD,63.97,64.37,63.65,64.37,671317
2024-04-01,GMD,63.81,65.02,63.41,63.81,1179727
2024-04-02,GMD,64.37,64.37,63.49,64.37,836548
2024-04-03,GMD,64.62,66.86,63.89,64.37,2769758
2024-04-04,GMD,64.05,65.02,63.65,65.02,742470
2024-04-05,GMD,62.61,63.89,62.61,63.65,1263113
2024-04-08,GMD,62.21,63.17,61.81,62.69,909669
2024-04-09,GMD,63.09,63.09,62.13,62.85,650121
2024-04-10,GMD,63.41,64.13,62.85,63.17,902206
2024-04-11,GMD,63.65,63.65,62.21,62.21,644525
2024-04-12,GMD,65.58,66.14,63.81,64.29,2691067
2024-04-15,GMD,62.85,66.06,61.81,65.1,1962697
2024-04-16,GMD,62.93,63.41,61.49,62.85,2020997
2024-04-17,GMD,64.62,65.26,63.33,63.41,3456860
2024-04-19,GMD,64.21,64.86,62.93,64.21,1665237
2024-04-22,GMD,64.05,65.02,63.81,65.02,865182
2024-04-23,GMD,63.41,64.62,62.37,64.62,1653204
2024-04-24,GMD,65.26,65.26,63.01,63.65,2056701
2024-04-25,GMD,65.34,65.42,64.29,65.42,1285414
2024-04-26,GMD,67.59,69.43,64.86,65.34,5626362
2024-05-02,GMD,67.59,68.07,66.86,68.07,1654622
2024-05-03,GMD,68.63,68.63,66.22,68.23,4047102
2024-05-06,GMD,67.59,68.47,67.18,68.47,1675786
2024-05-07,GMD,67.99,70.23,66.86,67.67,2710611
2024-05-08,GMD,68.15,68.95,67.02,67.43,1889590
2024-05-09,GMD,67.67,69.27,67.67,68.15,2113540
2024-05-10,GMD,67.1,68.63,66.94,68.63,1528567
2024-05-13,GMD,65.9,67.59,65.42,67.59,2525433
2024-05-14,GMD,66.06,66.94,65.58,66.14,1191163
2024-05-15,GMD,66.62,67.18,65.98,66.54,1561475
2024-05-16,GMD,67.75,68.47,66.94,67.18,2154207
2024-05-17,GMD,68.07,68.55,67.51,67.99,1475789
2024-05-20,GMD,67.34,68.63,67.34,68.47,1643147
2024-05-21,GMD,68.47,68.47,66.7,67.26,1674276
2024-05-22,GMD,67.43,69.27,67.02,69.03,1683327
2024-05-23,GMD,68.63,68.63,67.02,67.26,1531563
2024-05-24,GMD,67.02,68.31,65.42,68.23,2197368
2024-05-27,GMD,66.54,67.02,66.22,67.02,925649
2024-05-28,GMD,66.78,67.43,66.38,66.62,1617831
2024-05-29,GMD,66.3,67.83,65.82,66.78,1487371
2024-05-30,GMD,66.54,67.83,65.82,65.9,2862506
2024-05-31,GMD,67.26,67.67,66.86,66.86,1135573
2024-06-03,GMD,66.86,67.83,66.62,67.83,1670389
2024-06-04,GMD,67.83,68.63,66.78,67.26,2562207
2024-06-05,GMD,67.43,68.39,67.43,68.23,1703617
2024-06-06,GMD,67.43,68.15,65.9,68.15,1852780
2024-06-07,GMD,66.94,68.23,66.54,67.43,2037578
2024-06-10,GMD,69.75,70.48,67.43,67.43,3775627
2024-06-11,GMD,69.03,70.07,68.31,69.83,1905910
2024-06-12,GMD,68.79,68.95,67.67,68.63,1713241
2024-06-13,GMD,68.23,68.87,67.99,68.87,1023015
2024-06-14,GMD,66.62,68.87,66.62,68.07,2065658
2024-06-17,GMD,67.26,68.15,66.62,66.7,1105696
2024-06-18,GMD,67.1,67.51,67.1,67.43,857542
2024-06-19,GMD,67.02,68.23,66.94,67.1,1355685
2024-06-20,GMD,66.78,67.34,66.7,67.02,1000353
2024-06-21,GMD,66.94,67.83,66.86,67.02,977476
2024-06-24,GMD,65.82,67.18,65.74,66.7,1929978
2024-06-25,GMD,66.62,67.59,65.66,65.82,1089789
2024-06-26,GMD,67.43,67.83,65.82,66.62,2136632
2024-06-27,GMD,66.94,67.02,66.22,67.02,986959
2024-06-28,GMD,66.62,67.59,66.22,67.1,1658955
2024-07-01,GMD,65.82,66.62,65.66,66.62,1184150
2024-07-02,GMD,65.42,66.7,65.42,65.9,1464706
2024-07-03,GMD,65.98,66.14,65.34,65.5,1200162
2024-07-04,GMD,65.82,66.46,65.82,66.38,726692
2024-07-05,GMD,67.1,67.1,65.82,66.46,1862264
2024-07-08,GMD,67.43,67.67,65.98,67.43,1650458
2024-07-09,GMD,68.23,68.55,66.7,67.51,2351193
2024-07-10,GMD,67.51,68.39,67.43,68.31,1232526
2024-07-11,GMD,67.18,67.99,67.18,67.59,782318
2024-07-12,GMD,67.43,67.67,66.78,67.26,1043875
2024-07-15,GMD,67.01,68.0,66.93,68.0,850503
2024-07-16,GMD,67.01,67.34,66.77,67.1,817117
2024-07-17,GMD,66.77,67.18,62.48,67.18,2021665
2024-07-18,GMD,65.86,66.77,64.79,65.94,1351321
2024-07-19,GMD,64.95,66.11,63.96,65.37,1300910
2024-07-22,GMD,64.29,64.46,62.81,64.46,1766523
2024-07-23,GMD,63.14,64.29,62.97,64.29,955281
2024-07-24,GMD,64.21,64.46,61.57,61.57,1359170
2024-07-25,GMD,64.05,64.05,63.39,63.47,415025
2024-07-26,GMD,65.12,65.12,63.8,64.05,643651
2024-07-29,GMD,65.12,65.53,64.87,65.2,272095
