Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,HAH,36.83,37.39,36.18,36.61,3730420
2024-03-11,HAH,36.74,37.57,36.31,36.83,3763622
2024-03-12,HAH,37.96,38.26,36.52,36.74,7591060
2024-03-13,HAH,38.44,39.05,37.78,38.18,3419612
2024-03-14,HAH,39.13,39.96,38.26,38.52,5020112
2024-03-15,HAH,38.44,38.91,37.87,38.78,3805292
2024-03-18,HAH,36.7,38.44,35.83,38.39,5849254
2024-03-19,HAH,36.7,37.57,36.52,36.78,1187885
2024-03-20,HAH,37.31,37.35,36.44,36.78,1392215
2024-03-21,HAH,37.48,37.7,37.26,37.39,1988989
2024-03-22,HAH,37.39,38.13,37.22,37.74,2651777
2024-03-25,HAH,36.91,37.48,36.7,37.22,2772905
2024-03-26,HAH,37.18,37.39,36.52,36.7,1454565
2024-03-27,HAH,37.87,38.13,37.18,37.48,2656406
2024-03-28,HAH,37.87,38.22,37.57,38.22,1563408
2024-03-29,HAH,37.31,37.87,37.18,37.83,1769198
2024-04-01,HAH,37.13,37.39,36.87,36.96,1486188
2024-04-02,HAH,37.74,37.74,36.74,36.96,1966419
2024-04-03,HAH,37.57,38.61,37.57,37.57,4289234
2024-04-04,HAH,37.04,37.65,36.96,37.48,1720588
2024-04-05,HAH,36.09,36.91,36.09,36.52,2444590
2024-04-08,HAH,35.57,36.44,35.57,36.09,1967850
2024-04-09,HAH,36.04,36.09,35.26,35.65,1169076
2024-04-10,HAH,35.78,36.52,35.78,36.52,726868
2024-04-11,HAH,35.65,35.65,35.26,35.39,1345587
2024-04-12,HAH,36.22,36.39,35.65,36.0,1155191
2024-04-15,HAH,33.7,36.26,33.7,36.18,2557595
2024-04-16,HAH,33.26,33.74,32.26,33.7,2876353
2024-04-17,HAH,33.35,33.83,33.18,33.39,1603087
2024-04-19,HAH,33.09,33.65,32.61,32.96,2187269
2024-04-22,HAH,34.39,34.39,33.39,33.48,1735405
2024-04-23,HAH,34.48,34.7,33.96,34.39,1474377
2024-04-24,HAH,35.48,35.57,34.48,34.48,1230165
2024-04-25,HAH,35.48,35.52,34.91,35.22,844137
2024-04-26,HAH,35.83,36.04,34.87,35.09,1637504
2024-05-02,HAH,35.26,35.83,34.78,35.83,852721
2024-05-03,HAH,34.87,35.57,34.78,35.26,1307892
2024-05-06,HAH,36.96,36.96,35.13,35.48,3110597
2024-05-07,HAH,36.87,37.39,36.7,37.04,1944670
2024-05-08,HAH,37.0,37.78,36.44,36.83,2916665
2024-05-09,HAH,37.35,37.83,36.7,36.96,3971262
2024-05-10,HAH,36.78,37.48,36.61,37.35,2028850
2024-05-13,HAH,36.18,37.09,35.48,36.91,5519043
2024-05-14,HAH,35.87,36.48,35.7,36.18,2853083
2024-05-15,HAH,36.39,36.83,35.83,36.0,4834102
2024-05-16,HAH,36.44,36.83,36.39,36.61,3013163
2024-05-17,HAH,37.48,37.65,36.31,36.44,6189265
2024-05-20,HAH,38.26,38.83,37.7,37.74,5987852
2024-05-21,HAH,38.39,38.39,37.35,38.09,4990923
2024-05-22,HAH,37.52,39.09,37.26,39.09,7224922
2024-05-23,HAH,37.09,37.61,36.78,37.52,6654308
2024-05-24,HAH,35.96,37.7,35.18,36.83,9055413
2024-05-27,HAH,36.31,36.39,35.96,36.0,1963627
2024-05-28,HAH,36.52,36.65,36.22,36.39,3364434
2024-05-29,HAH,36.78,37.52,36.48,36.52,5666404
2024-05-30,HAH,36.74,36.78,36.09,36.44,3324730
2024-05-31,HAH,37.09,37.48,36.83,36.91,3629169
2024-06-03,HAH,37.22,37.96,37.04,37.48,4586845
2024-06-04,HAH,37.31,37.91,37.26,37.61,4886158
2024-06-05,HAH,36.78,37.78,36.78,37.57,3744281
2024-06-06,HAH,37.09,37.65,36.78,36.96,3680616
2024-06-07,HAH,38.48,39.05,37.04,37.31,12615666
2024-06-10,HAH,41.13,41.13,39.35,39.39,11121503
2024-06-11,HAH,42.22,42.61,41.35,41.96,8427622
2024-06-12,HAH,42.31,42.44,41.65,42.31,4348411
2024-06-13,HAH,42.61,43.48,42.05,42.61,4172726
2024-06-14,HAH,41.74,44.87,41.74,42.61,8813021
2024-06-17,HAH,43.65,44.44,42.39,42.61,7842671
2024-06-18,HAH,42.87,44.44,42.7,43.65,5442712
2024-06-19,HAH,43.09,43.74,42.91,43.22,5461449
2024-06-20,HAH,42.31,43.44,41.74,43.09,8831596
2024-06-21,HAH,43.4,44.1,43.0,43.4,4045043
2024-06-24,HAH,41.35,43.6,41.25,43.4,7311538
2024-06-25,HAH,44.2,44.2,41.2,41.8,6665604
2024-06-26,HAH,45.0,45.9,44.4,44.4,5958567
2024-06-27,HAH,44.4,45.45,43.75,45.1,3588870
2024-06-28,HAH,45.25,46.5,44.45,44.5,7545667
2024-07-01,HAH,45.4,45.8,43.75,45.35,4490953
2024-07-02,HAH,45.0,45.4,44.15,45.4,4080236
2024-07-03,HAH,44.5,46.1,44.45,45.1,5766092
2024-07-04,HAH,44.85,44.95,44.25,44.6,3050973
2024-07-05,HAH,45.7,46.35,45.05,45.15,6314763
2024-07-08,HAH,46.25,47.15,45.7,46.4,4894081
2024-07-09,HAH,45.8,46.75,45.25,46.75,6792752
2024-07-10,HAH,44.9,45.7,44.8,45.6,5783330
2024-07-11,HAH,44.5,45.4,44.4,44.9,4022001
2024-07-12,HAH,44.85,45.3,44.7,44.95,3386759
2024-07-15,HAH,45.15,45.9,44.85,44.9,2273355
2024-07-16,HAH,44.35,45.45,44.3,45.35,2872588
2024-07-17,HAH,42.5,44.8,41.3,44.4,7408810
2024-07-18,HAH,43.95,43.95,42.2,42.35,2407773
2024-07-19,HAH,43.0,43.8,42.75,43.8,1673302
2024-07-22,HAH,42.05,43.0,41.8,42.95,2702295
2024-07-23,HAH,42.0,43.5,42.0,42.8,3826661
2024-07-24,HAH,42.3,42.6,40.5,41.9,5661581
2024-07-25,HAH,43.0,43.7,41.5,41.95,3661499
2024-07-26,HAH,43.1,43.75,42.7,42.95,2585300
2024-07-29,HAH,43.35,43.4,42.3,43.2,4654500
2024-07-30,HAH,43.35,44.65,43.05,43.9,5708400
2024-07-31,HAH,42.45,43.7,42.0,43.7,3555100
2024-08-01,HAH,39.5,42.5,39.5,42.45,10568500
2024-08-02,HAH,39.5,40.0,38.2,39.1,4020100
2024-08-05,HAH,37.8,40.3,37.8,38.55,4268000
2024-08-06,HAH,38.9,39.2,37.85,38.6,2764300
2024-08-07,HAH,39.5,39.85,38.85,39.3,3145200
2024-08-08,HAH,39.55,40.35,39.1,39.1,3615100
2024-08-09,HAH,40.15,40.3,39.75,40.0,3056500
2024-08-12,HAH,40.9,41.2,39.9,40.2,3136200
2024-08-13,HAH,40.65,41.2,40.5,41.0,2199100
2024-08-14,HAH,40.2,41.3,40.1,41.0,1867000
