Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,HCM,20.93,21.71,20.93,21.6,11272618
2024-03-11,HCM,20.56,20.97,20.34,20.97,8421299
2024-03-12,HCM,20.75,20.82,20.34,20.56,7018659
2024-03-13,HCM,21.49,21.52,20.64,20.82,10747061
2024-03-14,HCM,21.19,21.71,21.01,21.63,12702406
2024-03-15,HCM,20.93,21.15,20.71,21.08,10767587
2024-03-18,HCM,20.04,21.04,19.6,20.97,16190321
2024-03-19,HCM,20.27,20.38,20.01,20.08,3957289
2024-03-20,HCM,20.67,20.67,20.08,20.3,6136297
2024-03-21,HCM,20.89,21.23,20.82,20.97,9362539
2024-03-22,HCM,21.15,21.41,20.93,21.04,11757621
2024-03-25,HCM,20.78,21.34,20.71,21.23,8079340
2024-03-26,HCM,20.93,21.15,20.49,20.64,6668830
2024-03-27,HCM,21.45,21.45,20.93,21.15,7478030
2024-03-28,HCM,22.23,22.23,21.75,21.82,17341807
2024-03-29,HCM,21.82,22.23,21.82,22.19,7328654
2024-04-01,HCM,22.0,22.19,21.45,21.82,9569680
2024-04-02,HCM,22.12,22.12,21.45,21.89,6653310
2024-04-03,HCM,21.63,22.34,21.6,22.15,8329561
2024-04-04,HCM,21.67,21.93,21.38,21.6,8166931
2024-04-05,HCM,20.86,21.71,20.86,21.45,10633561
2024-04-08,HCM,20.75,21.08,20.71,20.86,5610828
2024-04-09,HCM,21.34,21.45,20.75,20.82,8112495
2024-04-10,HCM,21.08,21.38,21.08,21.34,4222414
2024-04-11,HCM,21.3,21.34,20.86,20.86,5211655
2024-04-12,HCM,21.82,21.82,21.23,21.41,8267038
2024-04-15,HCM,20.3,21.86,20.3,21.67,11802494
2024-04-16,HCM,20.23,20.34,19.3,20.27,10417160
2024-04-17,HCM,19.3,20.41,19.3,20.41,5983079
2024-04-19,HCM,18.38,19.38,18.34,18.93,12001280
2024-04-22,HCM,19.6,19.64,18.79,19.01,6760646
2024-04-23,HCM,19.49,19.9,19.05,19.64,7317722
2024-04-24,HCM,20.45,20.45,19.67,19.82,6964945
2024-04-25,HCM,20.19,20.38,19.97,20.38,3332207
2024-04-26,HCM,20.01,20.04,19.67,19.82,6449119
2024-05-02,HCM,19.49,20.04,19.38,20.01,4283681
2024-05-03,HCM,19.56,19.97,19.49,19.9,3873678
2024-05-06,HCM,20.45,20.86,19.67,19.82,11120189
2024-05-07,HCM,20.6,20.71,20.41,20.64,4932379
2024-05-08,HCM,20.82,21.01,20.3,20.34,7408736
2024-05-09,HCM,20.93,21.23,20.75,21.01,9692375
2024-05-10,HCM,21.08,21.23,20.6,20.93,5865825
2024-05-13,HCM,20.93,21.38,20.75,21.3,6605800
2024-05-14,HCM,21.08,21.38,20.93,21.08,4581227
2024-05-15,HCM,21.45,22.12,21.01,21.12,10779484
2024-05-16,HCM,21.67,22.08,21.56,21.71,7162364
2024-05-17,HCM,21.82,22.08,21.52,21.67,7598836
2024-05-20,HCM,21.78,22.12,21.75,22.08,8586882
2024-05-21,HCM,21.97,21.97,21.49,21.71,6833940
2024-05-22,HCM,22.56,23.11,22.19,22.19,17072285
2024-05-23,HCM,22.67,22.67,22.04,22.56,6496779
2024-05-24,HCM,21.52,22.67,21.15,22.41,16388505
2024-05-27,HCM,21.49,21.63,21.15,21.52,6356598
2024-05-28,HCM,22.0,22.04,21.49,21.6,7393461
2024-05-29,HCM,21.67,22.12,21.6,22.0,4811550
2024-05-30,HCM,21.41,21.52,21.01,21.3,9610555
2024-05-31,HCM,21.34,21.6,21.23,21.52,2790247
2024-06-03,HCM,21.82,22.08,21.6,21.6,7114143
2024-06-04,HCM,21.71,22.08,21.67,21.97,8147205
2024-06-05,HCM,21.63,21.93,21.6,21.86,8007445
2024-06-06,HCM,21.3,21.78,21.26,21.71,7300351
2024-06-07,HCM,21.23,21.56,21.23,21.38,5069416
2024-06-10,HCM,21.45,21.78,21.3,21.3,4768868
2024-06-11,HCM,21.75,21.78,21.3,21.56,8708571
2024-06-12,HCM,22.12,22.12,21.75,21.75,8470379
2024-06-13,HCM,21.86,22.34,21.86,22.34,4978815
2024-06-14,HCM,21.38,22.67,21.38,22.04,14978075
2024-06-17,HCM,21.04,21.38,20.86,21.23,18141110
2024-06-18,HCM,20.93,21.26,20.93,21.15,9558241
2024-06-19,HCM,20.97,21.3,20.75,21.08,7360338
2024-06-20,HCM,20.78,21.15,20.71,21.15,6586606
2024-06-21,HCM,20.82,21.01,20.71,20.89,5751660
2024-06-24,HCM,19.64,20.89,19.64,20.86,16533956
2024-06-25,HCM,19.86,19.97,19.6,19.86,6290744
2024-06-26,HCM,19.71,19.97,19.38,19.86,4958362
2024-06-27,HCM,19.71,19.86,19.53,19.86,3055669
2024-06-28,HCM,19.38,19.97,19.27,19.71,5962533
2024-07-01,HCM,19.67,19.79,19.3,19.53,4328378
2024-07-02,HCM,20.04,20.12,19.86,19.93,3351368
2024-07-03,HCM,20.19,20.27,20.08,20.16,4124576
2024-07-04,HCM,20.34,20.41,20.08,20.19,4082542
2024-07-05,HCM,20.19,20.45,20.12,20.34,2912010
2024-07-08,HCM,20.23,20.49,20.19,20.34,3179477
2024-07-09,HCM,20.71,20.78,20.19,20.27,7557677
2024-07-10,HCM,20.56,20.86,20.49,20.86,4190232
2024-07-11,HCM,20.86,20.93,20.6,20.67,7070338
2024-07-12,HCM,20.56,20.97,20.34,20.89,4513530
2024-07-15,HCM,20.47,20.78,20.31,20.78,3352923
2024-07-16,HCM,20.47,20.78,20.47,20.51,3768053
2024-07-17,HCM,20.0,20.66,19.54,20.62,6928420
2024-07-18,HCM,20.16,20.24,19.85,20.16,5164634
2024-07-19,HCM,20.08,20.47,19.93,20.16,4544739
2024-07-22,HCM,20.47,20.7,20.16,20.16,9683441
2024-07-23,HCM,19.73,20.66,19.7,20.66,6560992
2024-07-24,HCM,19.73,20.0,18.92,19.62,7822292
2024-07-25,HCM,19.35,19.62,19.16,19.31,3555928
2024-07-26,HCM,19.62,19.66,19.35,19.46,2429560
2024-07-29,HCM,19.81,20.0,19.7,19.77,3383508
2024-07-30,HCM,19.77,20.0,19.58,19.73,3292932
2024-07-31,HCM,19.58,19.97,19.5,19.85,2893633
2024-08-01,HCM,18.73,19.7,18.54,19.7,8137115
2024-08-02,HCM,18.96,19.27,18.15,18.54,7982964
2024-08-05,HCM,17.76,18.81,17.76,18.69,9282307
2024-08-06,HCM,18.77,18.81,17.84,18.23,6849367
2024-08-07,HCM,18.88,18.92,18.46,18.85,3600644
2024-08-08,HCM,18.77,19.19,18.65,18.73,5064325
2024-08-09,HCM,19.66,19.73,18.96,19.12,8514971
2024-08-12,HCM,20.0,20.0,19.54,19.54,4970038
2024-08-13,HCM,20.08,20.16,19.54,20.0,7244993
2024-08-14,HCM,20.0,20.31,19.73,20.16,5423649
2024-08-15,HCM,19.7,20.08,19.58,19.93,4531923
2024-08-16,HCM,21.01,21.01,19.81,19.89,18820790
2024-08-19,HCM,20.97,21.32,20.82,21.24,6541176
2024-08-20,HCM,21.16,21.43,20.82,20.97,11768014
2024-08-21,HCM,21.24,21.32,21.01,21.16,8754738
2024-08-22,HCM,21.63,21.63,21.09,21.32,9274605
2024-08-23,HCM,22.21,22.36,21.36,21.63,21124564
2024-08-26,HCM,22.94,23.13,22.21,22.48,22848552
2024-08-27,HCM,22.55,22.98,22.4,22.71,9105060
2024-08-28,HCM,22.75,23.02,22.36,22.71,14932285
2024-08-29,HCM,22.55,22.86,22.44,22.67,6159761
2024-08-30,HCM,22.63,22.82,22.36,22.55,8102157
2024-09-04,HCM,22.52,22.59,22.13,22.13,9687360
2024-09-05,HCM,22.52,23.02,22.24,22.63,14360274
2024-09-06,HCM,22.63,22.71,22.13,22.4,9331469
2024-09-09,HCM,22.52,22.75,22.21,22.44,7052378
2024-09-10,HCM,22.28,22.67,21.9,22.63,11807555
2024-09-11,HCM,22.4,22.63,21.9,22.17,9908053
2024-09-12,HCM,22.28,22.63,22.28,22.63,5211511
2024-09-13,HCM,22.55,22.94,22.32,22.32,13785620
2024-09-16,HCM,21.78,22.67,21.78,22.55,15533407
2024-09-17,HCM,22.4,22.4,21.67,21.78,9249365
2024-09-18,HCM,23.29,23.79,22.44,22.52,29558375
2024-09-19,HCM,23.56,23.71,23.21,23.52,11805394
2024-09-20,HCM,23.67,23.91,23.56,23.87,10919410
2024-09-23,HCM,23.52,23.87,23.52,23.67,9425575
2024-09-24,HCM,23.71,23.79,23.52,23.56,6482754
2024-09-25,HCM,24.1,24.56,23.87,23.91,16088302
2024-09-26,HCM,23.98,24.21,23.79,24.14,13396587
2024-09-27,HCM,23.79,24.18,23.79,24.1,10052675
2024-09-30,HCM,23.91,24.29,23.64,23.79,7166433
2024-10-01,HCM,23.94,24.56,23.91,24.02,11358779
2024-10-02,HCM,23.67,23.98,23.4,23.79,11170217
2024-10-03,HCM,23.44,23.94,23.29,23.71,12027463
2024-10-04,HCM,23.52,23.79,23.36,23.44,7391984
2024-10-07,HCM,24.02,24.02,23.56,23.71,8426508
2024-10-08,HCM,23.64,24.21,23.25,24.18,17119064
2024-10-09,HCM,23.67,23.83,23.33,23.44,8229209
2024-10-10,HCM,23.48,23.98,23.48,23.83,7364168
2024-10-11,HCM,24.1,24.1,23.29,23.52,11695675
2024-10-14,HCM,23.94,24.37,23.94,24.25,7395409
2024-10-15,HCM,23.44,24.18,23.4,23.94,9709404
2024-10-16,HCM,23.4,23.64,23.36,23.44,4867249
2024-10-17,HCM,23.64,23.67,22.86,23.44,10654777
2024-10-18,HCM,23.52,23.94,23.52,23.87,11182259
2024-10-21,HCM,22.82,23.52,22.79,23.4,12907845
2024-10-22,HCM,22.32,22.98,22.05,22.79,13154575
2024-10-23,HCM,22.32,22.67,22.17,22.32,7442934
2024-10-24,HCM,21.78,22.55,21.78,22.36,11030022
2024-10-25,HCM,21.86,21.97,21.78,21.82,6452059
2024-10-28,HCM,22.17,22.4,21.97,22.01,4602237
2024-10-29,HCM,22.13,22.4,22.01,22.32,5349474
2024-10-30,HCM,21.9,22.21,21.78,22.17,5238209
2024-10-31,HCM,22.24,22.32,21.94,22.01,5145844
2024-11-01,HCM,21.94,22.21,21.86,22.21,4414166
2024-11-04,HCM,22.4,22.59,21.78,21.97,9679421
2024-11-05,HCM,22.36,22.59,22.36,22.36,3979736
2024-11-06,HCM,22.75,22.79,22.4,22.55,8448776
2024-11-07,HCM,22.63,22.86,22.63,22.82,5232814
2024-11-08,HCM,22.48,22.75,22.4,22.71,5944147
2024-11-11,HCM,22.09,22.52,21.82,22.48,10674815
2024-11-12,HCM,22.01,22.48,22.01,22.17,4163890
2024-11-13,HCM,21.63,22.05,21.43,21.97,8132694
2024-11-14,HCM,20.93,21.82,20.7,21.74,9899987
2024-11-15,HCM,20.39,20.89,20.16,20.85,12077492
2024-11-18,HCM,21.12,21.47,20.35,20.39,8602154
2024-11-19,HCM,20.85,21.24,20.66,21.16,3788601
2024-11-20,HCM,21.4,21.74,20.62,20.78,11996843
2024-11-21,HCM,21.67,21.78,21.24,21.43,7161585
2024-11-22,HCM,21.4,21.78,21.36,21.67,4717015
2024-11-25,HCM,21.51,21.59,21.32,21.4,3335613
2024-11-26,HCM,21.86,22.21,21.55,21.59,9112781
2024-11-27,HCM,21.74,21.97,21.63,21.9,3881524
2024-11-28,HCM,21.74,22.01,21.55,21.86,5477349
2024-11-29,HCM,21.74,21.94,21.55,21.7,4147076
2024-12-02,HCM,21.67,22.01,21.55,21.94,3085104
2024-12-03,HCM,21.28,21.63,21.24,21.63,8784859
2024-12-04,HCM,20.93,21.28,20.85,21.28,7919519
2024-12-05,HCM,22.36,22.36,20.85,21.01,14903916
2024-12-06,HCM,22.59,23.02,22.52,22.67,15582394
2024-12-09,HCM,22.86,22.98,22.52,22.63,7989668
2024-12-10,HCM,22.82,23.02,22.63,22.79,6641885
2024-12-11,HCM,22.71,23.06,22.55,22.82,5469369
2024-12-12,HCM,22.63,23.17,22.63,22.75,8192935
2024-12-13,HCM,22.71,22.82,22.52,22.59,5268841
2024-12-16,HCM,22.86,22.94,22.67,22.71,5486416
2024-12-17,HCM,22.79,23.09,22.67,22.98,6119837
2024-12-18,HCM,22.98,22.98,22.63,22.79,5233328
2024-12-19,HCM,22.79,22.82,22.4,22.71,10262049
2024-12-20,HCM,22.63,22.82,22.63,22.79,3565447
2024-12-23,HCM,22.55,22.86,22.55,22.79,5105124
2024-12-24,HCM,22.32,22.59,22.13,22.52,9323495
2024-12-25,HCM,22.79,23.36,22.36,22.36,10112661
2024-12-26,HCM,22.63,22.9,22.59,22.86,3740438
2024-12-27,HCM,22.75,22.9,22.59,22.71,7834980
2024-12-30,HCM,22.86,23.33,22.82,22.94,8704708
2024-12-31,HCM,22.71,22.94,22.71,22.75,4041222
2025-01-02,HCM,22.63,22.9,22.55,22.79,4932148
2025-01-03,HCM,22.05,22.67,22.05,22.63,12211602
2025-01-06,HCM,21.74,22.09,21.63,22.01,7288757
2025-01-07,HCM,21.7,22.01,21.63,21.78,5612566
2025-01-08,HCM,21.94,22.05,21.55,21.63,4806054
2025-01-09,HCM,21.63,22.01,21.63,21.94,3331415
2025-01-10,HCM,21.01,21.86,21.01,21.67,11045052
2025-01-13,HCM,21.47,21.59,20.51,21.01,7586691
2025-01-14,HCM,21.28,21.51,21.28,21.47,3459744
2025-01-15,HCM,21.55,21.67,21.32,21.4,4489503
2025-01-16,HCM,21.82,22.36,21.7,21.7,7411056
2025-01-17,HCM,22.01,22.09,21.74,21.82,3916002
2025-01-20,HCM,21.94,22.17,21.94,22.17,3879198
2025-01-21,HCM,22.17,22.32,21.97,22.01,5713664
2025-01-22,HCM,22.21,22.28,22.13,22.17,4538109
2025-01-23,HCM,22.63,22.71,22.24,22.24,7699846
2025-01-24,HCM,22.59,22.71,22.4,22.67,5087972
2025-02-03,HCM,22.44,22.67,22.17,22.36,5709489
2025-02-04,HCM,22.91,22.91,22.48,22.52,7652166
2025-02-05,HCM,22.75,23.03,22.71,22.95,3795687
2025-02-06,HCM,22.63,23.11,22.63,22.87,7150887
