Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,KOS,40.0,40.15,40.0,40.0,376800
2024-03-11,KOS,40.05,40.2,39.9,40.0,412510
2024-03-12,KOS,39.9,40.2,39.9,40.05,378400
2024-03-13,KOS,39.85,39.95,39.85,39.9,336900
2024-03-14,KOS,39.8,39.9,39.75,39.85,275400
2024-03-15,KOS,39.7,39.8,39.1,39.8,364300
2024-03-18,KOS,39.7,40.0,39.4,39.7,481900
2024-03-19,KOS,39.3,39.7,39.2,39.7,350900
2024-03-20,KOS,39.35,39.6,39.3,39.3,370800
2024-03-21,KOS,38.7,39.45,38.65,39.35,382210
2024-03-22,KOS,38.2,38.9,38.1,38.7,291512
2024-03-25,KOS,38.2,38.4,37.45,38.2,349500
2024-03-26,KOS,37.9,38.25,37.7,38.2,341700
2024-03-27,KOS,37.5,37.9,37.35,37.9,304200
2024-03-28,KOS,37.65,37.7,37.5,37.5,370600
2024-03-29,KOS,37.7,37.7,37.5,37.65,293510
2024-04-01,KOS,37.4,37.9,37.3,37.7,288500
2024-04-02,KOS,37.6,37.6,37.4,37.6,322100
2024-04-03,KOS,37.65,37.7,37.1,37.6,341612
2024-04-04,KOS,37.65,37.8,37.4,37.8,337400
2024-04-05,KOS,37.7,37.7,36.8,37.65,715800
2024-04-08,KOS,37.8,37.9,37.7,37.7,350700
2024-04-09,KOS,37.8,38.0,37.8,38.0,340900
2024-04-10,KOS,37.7,38.1,37.5,37.8,305000
2024-04-11,KOS,37.0,37.8,37.0,37.8,332100
2024-04-12,KOS,37.15,37.15,36.8,37.0,302700
2024-04-15,KOS,37.3,37.3,36.5,37.15,318400
2024-04-16,KOS,37.4,37.5,36.6,37.2,315000
2024-04-17,KOS,37.4,37.4,36.0,37.4,345101
2024-04-19,KOS,37.1,37.5,37.0,37.4,303809
2024-04-22,KOS,37.4,37.4,37.1,37.1,314700
2024-04-23,KOS,37.45,37.45,36.95,37.4,437700
2024-04-24,KOS,37.5,37.7,37.1,37.45,337814
2024-04-25,KOS,37.7,37.9,37.5,37.5,342300
2024-04-26,KOS,37.75,38.1,37.7,37.7,301114
2024-05-02,KOS,37.8,38.1,37.2,37.75,339000
2024-05-03,KOS,37.8,38.2,37.7,38.1,319401
2024-05-06,KOS,37.9,38.1,37.8,37.8,298800
2024-05-07,KOS,37.4,37.95,37.4,37.9,323700
2024-05-08,KOS,37.8,37.8,36.5,37.4,310500
2024-05-09,KOS,37.85,37.9,37.8,37.8,300500
2024-05-10,KOS,38.0,38.0,37.85,37.85,313400
2024-05-13,KOS,38.2,38.2,38.0,38.0,311714
2024-05-14,KOS,38.3,38.35,38.2,38.2,329100
2024-05-15,KOS,38.35,38.4,38.2,38.4,375400
2024-05-16,KOS,38.35,38.8,38.35,38.35,345000
2024-05-17,KOS,38.4,38.5,38.25,38.5,303400
2024-05-20,KOS,38.7,38.7,38.3,38.4,327800
2024-05-21,KOS,38.8,38.8,38.7,38.7,308300
2024-05-22,KOS,38.7,38.8,38.6,38.8,299100
2024-05-23,KOS,38.75,38.75,38.55,38.7,295600
2024-05-24,KOS,38.8,38.85,38.6,38.75,316200
2024-05-27,KOS,38.9,39.1,38.8,39.0,404602
2024-05-28,KOS,38.95,39.05,38.9,39.05,356900
2024-05-29,KOS,38.95,39.0,38.95,38.95,310800
2024-05-30,KOS,39.0,39.0,38.85,38.95,316400
2024-05-31,KOS,39.1,39.3,39.0,39.15,304800
2024-06-03,KOS,39.15,39.4,39.1,39.1,305500
2024-06-04,KOS,39.2,39.2,39.15,39.15,329200
2024-06-05,KOS,39.25,39.5,39.2,39.2,305000
2024-06-06,KOS,39.3,39.5,39.25,39.25,325900
2024-06-07,KOS,39.35,39.4,39.3,39.3,298101
2024-06-10,KOS,39.3,39.7,37.4,39.7,375400
2024-06-11,KOS,39.1,39.3,38.5,39.3,309000
2024-06-12,KOS,38.8,39.1,36.6,39.1,375201
2024-06-13,KOS,38.8,38.8,36.3,38.8,396200
2024-06-14,KOS,38.8,38.8,36.25,38.8,503501
2024-06-17,KOS,38.7,38.8,37.5,38.8,314700
2024-06-18,KOS,38.65,38.7,37.8,38.7,408710
2024-06-19,KOS,38.7,38.85,37.9,38.6,304700
2024-06-20,KOS,38.7,38.8,37.25,38.7,315400
2024-06-21,KOS,38.8,39.1,37.3,38.7,330803
2024-06-24,KOS,38.95,39.1,38.6,38.8,326600
2024-06-25,KOS,39.2,39.2,38.5,38.95,325400
2024-06-26,KOS,39.2,39.5,39.2,39.5,307997
2024-06-27,KOS,39.25,39.35,39.05,39.2,368300
2024-06-28,KOS,39.3,39.5,39.25,39.5,333032
2024-07-01,KOS,39.35,39.5,39.2,39.3,290400
2024-07-02,KOS,39.35,39.5,38.6,39.5,304402
2024-07-03,KOS,39.5,39.6,39.25,39.35,318301
2024-07-04,KOS,39.4,39.7,39.4,39.6,299300
2024-07-05,KOS,39.5,39.7,39.45,39.7,324200
2024-07-08,KOS,39.3,39.55,39.0,39.5,331100
2024-07-09,KOS,39.35,39.7,39.1,39.3,327000
2024-07-10,KOS,39.4,39.6,39.35,39.35,356200
2024-07-11,KOS,39.4,39.45,39.3,39.4,304300
2024-07-12,KOS,39.45,39.55,39.4,39.4,350000
2024-07-15,KOS,39.45,39.6,39.45,39.45,312500
2024-07-16,KOS,39.5,39.6,39.45,39.5,330428
2024-07-17,KOS,39.0,39.8,39.0,39.8,314202
2024-07-18,KOS,39.1,39.1,38.95,39.0,298332
2024-07-19,KOS,39.2,39.3,38.9,39.1,310561
2024-07-22,KOS,39.3,39.5,39.25,39.5,309100
2024-07-23,KOS,39.3,39.4,39.3,39.4,309400
2024-07-24,KOS,39.35,39.6,39.3,39.55,301239
2024-07-25,KOS,39.4,39.6,39.2,39.55,342802
2024-07-26,KOS,39.5,39.7,39.45,39.55,340600
2024-07-29,KOS,39.55,39.8,39.5,39.5,334600
2024-07-30,KOS,39.6,39.8,39.55,39.8,334700
2024-07-31,KOS,39.65,39.9,39.1,39.6,320700
2024-08-01,KOS,39.3,39.75,39.1,39.65,283500
2024-08-02,KOS,39.2,39.35,39.2,39.3,345200
2024-08-05,KOS,39.15,39.4,39.15,39.2,331400
2024-08-06,KOS,39.2,39.2,39.15,39.15,342300
2024-08-07,KOS,39.3,39.3,39.2,39.2,318900
2024-08-08,KOS,39.35,39.4,39.3,39.3,305100
2024-08-09,KOS,39.4,39.45,39.35,39.35,313100
2024-08-12,KOS,39.45,39.5,39.4,39.4,375900
2024-08-13,KOS,39.5,39.55,39.45,39.45,314300
2024-08-14,KOS,39.55,39.55,39.5,39.5,906300
2024-08-15,KOS,39.55,39.6,39.55,39.55,302900
2024-08-16,KOS,39.8,39.8,39.55,39.55,286100
