Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,MBS,23.86,24.53,23.77,24.36,7136845
2024-03-11,MBS,23.27,24.02,22.94,23.86,4589757
2024-03-12,MBS,23.27,23.61,22.86,23.36,5371628
2024-03-13,MBS,24.53,24.69,23.19,23.27,6712893
2024-03-14,MBS,24.86,25.28,24.28,24.53,6503159
2024-03-15,MBS,24.78,24.94,24.11,24.86,4655948
2024-03-18,MBS,23.77,24.86,22.52,24.78,9654573
2024-03-19,MBS,23.52,23.86,23.36,23.77,1893063
2024-03-20,MBS,23.94,23.94,23.44,23.61,3174542
2024-03-21,MBS,24.53,24.69,24.02,24.02,5608431
2024-03-22,MBS,24.78,25.03,24.44,25.03,5361484
2024-03-25,MBS,24.19,24.94,23.94,24.78,5901436
2024-03-26,MBS,24.44,24.44,23.86,24.02,3405145
2024-03-27,MBS,24.61,24.86,24.44,24.53,2288120
2024-03-28,MBS,25.69,25.69,24.61,24.61,6563448
2024-03-29,MBS,25.28,25.86,25.28,25.86,2789378
2024-04-01,MBS,25.03,25.44,24.69,25.28,4753195
2024-04-02,MBS,25.36,25.36,24.44,25.11,4660777
2024-04-03,MBS,24.78,25.78,24.78,25.69,6216096
2024-04-04,MBS,24.53,24.86,24.44,24.86,3896641
2024-04-05,MBS,23.61,24.53,23.61,24.36,4659266
2024-04-08,MBS,23.61,23.94,23.36,23.61,3049339
2024-04-09,MBS,24.36,24.44,23.61,23.61,2535578
2024-04-10,MBS,24.02,24.53,24.02,24.53,1643826
2024-04-11,MBS,24.19,24.28,23.19,24.11,3012006
2024-04-12,MBS,24.69,24.78,24.02,24.19,3544810
2024-04-15,MBS,23.27,25.28,22.94,24.94,8200712
2024-04-16,MBS,23.77,23.77,22.52,23.36,5245141
2024-04-17,MBS,22.52,23.94,22.52,23.86,4830573
2024-04-19,MBS,21.36,22.61,20.94,22.52,8296590
2024-04-22,MBS,22.77,23.11,21.61,21.61,3815864
2024-04-23,MBS,22.27,23.11,21.69,22.94,4185200
2024-04-24,MBS,23.27,23.27,20.1,20.1,3784307
2024-04-25,MBS,23.02,23.27,22.61,23.27,2206840
2024-04-26,MBS,22.52,22.86,22.36,22.86,2696093
2024-05-02,MBS,22.36,22.52,21.77,22.52,1728478
2024-05-03,MBS,22.27,22.86,22.19,22.36,2723362
2024-05-06,MBS,23.11,23.36,22.27,22.27,4654622
2024-05-07,MBS,23.19,23.27,22.94,23.19,2192606
2024-05-08,MBS,23.77,23.94,22.86,23.19,5745110
2024-05-09,MBS,23.61,24.02,23.36,23.77,2678046
2024-05-10,MBS,23.86,23.86,23.19,23.61,2788115
2024-05-13,MBS,24.19,24.44,23.61,23.94,5220161
2024-05-14,MBS,24.11,24.36,23.94,24.28,1862734
2024-05-15,MBS,24.94,25.36,24.02,24.19,7823065
2024-05-16,MBS,25.03,25.44,24.78,25.03,3864445
2024-05-17,MBS,26.53,26.94,25.03,25.03,8264068
2024-05-20,MBS,26.69,27.03,26.28,26.53,4196466
2024-05-21,MBS,27.36,27.36,26.28,26.61,6600512
2024-05-22,MBS,27.28,27.86,26.53,27.36,4690661
2024-05-23,MBS,27.7,27.7,26.03,26.03,5019434
2024-05-24,MBS,26.69,27.7,25.86,27.53,7278386
2024-05-27,MBS,27.19,27.53,26.44,26.94,3468910
2024-05-28,MBS,28.53,28.7,27.19,27.19,7603260
2024-05-29,MBS,27.95,28.61,27.7,28.61,3602765
2024-05-30,MBS,28.03,28.28,26.94,27.95,7069558
2024-05-31,MBS,27.53,28.2,27.45,27.45,2613025
2024-06-03,MBS,27.7,28.2,27.61,27.61,3648702
2024-06-04,MBS,27.95,28.45,27.36,27.36,2807497
2024-06-05,MBS,28.2,28.78,27.86,28.03,4649430
2024-06-06,MBS,27.95,28.53,27.86,28.36,2273703
2024-06-07,MBS,27.7,28.28,27.45,28.2,3511439
2024-06-10,MBS,28.03,28.36,27.53,27.86,3286277
2024-06-11,MBS,28.61,28.95,28.03,28.03,4662544
2024-06-12,MBS,29.11,29.2,28.36,28.36,3496148
2024-06-13,MBS,29.28,29.45,28.95,29.11,2416485
2024-06-14,MBS,28.28,29.7,28.28,29.45,5380626
2024-06-17,MBS,28.03,28.36,27.61,28.36,4197484
2024-06-18,MBS,28.53,28.61,27.95,28.03,3729383
2024-06-19,MBS,28.61,28.7,28.11,28.53,2905382
2024-06-20,MBS,28.53,28.86,28.03,28.61,3514892
2024-06-21,MBS,28.95,29.2,28.2,28.53,3211528
2024-06-24,MBS,26.44,28.95,26.36,28.95,8795350
2024-06-25,MBS,26.78,26.94,26.36,26.44,2500120
2024-06-26,MBS,26.69,26.94,26.03,26.86,2873999
2024-06-27,MBS,26.11,26.69,26.11,26.69,2013780
2024-06-28,MBS,25.94,26.69,25.44,26.03,3953504
2024-07-01,MBS,26.53,26.53,25.94,25.94,1903011
2024-07-02,MBS,26.86,26.86,26.44,26.53,2190726
2024-07-03,MBS,26.78,27.11,26.61,27.03,1518494
2024-07-04,MBS,26.78,27.28,26.61,26.78,1960025
2024-07-05,MBS,27.36,27.45,26.44,26.78,3474411
2024-07-08,MBS,28.28,28.36,27.36,27.36,3733053
2024-07-09,MBS,28.36,28.78,28.03,28.45,3499514
2024-07-10,MBS,28.03,28.53,28.03,28.36,2773637
2024-07-11,MBS,29.11,29.28,28.03,28.03,6175248
2024-07-12,MBS,29.28,29.61,29.03,29.11,4308483
2024-07-15,MBS,29.36,29.95,29.11,29.36,2849407
2024-07-16,MBS,28.78,29.78,28.61,29.36,3607324
2024-07-17,MBS,28.61,29.78,27.78,28.86,7243994
2024-07-18,MBS,29.2,29.2,28.61,28.61,2802516
2024-07-19,MBS,29.53,29.86,29.11,29.45,5038827
2024-07-22,MBS,27.53,29.61,27.28,29.53,7082134
2024-07-23,MBS,26.03,28.03,25.86,27.53,6149569
2024-07-24,MBS,26.55,27.07,25.16,26.46,4550010
2024-07-25,MBS,26.46,26.55,25.94,26.55,1886247
2024-07-26,MBS,26.9,26.9,26.2,26.46,1868981
2024-07-29,MBS,26.98,27.33,26.81,26.9,2245307
2024-07-30,MBS,26.38,27.07,26.03,26.98,3049763
2024-07-31,MBS,26.38,26.81,26.11,26.46,2891069
2024-08-01,MBS,24.21,26.64,24.03,26.46,7243217
2024-08-02,MBS,25.68,25.94,21.86,21.86,3976824
2024-08-05,MBS,24.38,25.68,23.69,25.68,3988096
2024-08-06,MBS,25.51,25.85,24.38,24.38,3851464
2024-08-07,MBS,25.25,25.68,24.9,25.51,1767266
2024-08-08,MBS,24.47,25.51,24.12,25.33,2984385
2024-08-09,MBS,25.51,25.77,24.64,24.9,4566874
2024-08-12,MBS,25.68,25.68,25.16,25.59,4306783
2024-08-13,MBS,26.3,27.4,26.0,27.4,3619835
2024-08-14,MBS,25.9,26.8,25.8,26.5,1925828
2024-08-15,MBS,25.4,26.1,25.4,25.9,1895394
2024-08-16,MBS,27.5,27.5,22.9,22.9,6272958
2024-08-19,MBS,27.5,28.1,27.2,28.1,2349831
2024-08-20,MBS,28.0,28.5,27.3,27.7,3618469
2024-08-21,MBS,28.2,28.2,27.6,28.0,2823838
2024-08-22,MBS,28.5,28.7,28.1,28.2,3178550
2024-08-23,MBS,28.7,29.0,28.1,28.4,3129066
2024-08-26,MBS,28.6,29.2,28.6,29.0,2890600
2024-08-27,MBS,28.5,28.7,27.9,28.6,2296400
2024-08-28,MBS,28.2,28.7,27.9,28.5,2997400
2024-08-29,MBS,28.1,28.5,28.1,28.2,1824100
2024-08-30,MBS,28.0,28.2,27.9,27.9,2067400
2024-09-04,MBS,27.5,28.0,27.5,28.0,3023400
2024-09-05,MBS,27.5,28.0,27.3,27.8,1983700
2024-09-06,MBS,27.1,27.6,26.9,27.5,2510200
2024-09-09,MBS,26.7,27.2,26.7,27.0,1941500
2024-09-10,MBS,26.2,27.1,26.1,26.9,2692900
2024-09-11,MBS,27.2,27.3,26.1,26.2,4152600
2024-09-12,MBS,26.8,27.4,26.8,27.3,1867000
2024-09-13,MBS,27.3,27.6,26.8,26.9,2731800
2024-09-16,MBS,26.6,27.4,26.6,27.3,1849200
2024-09-17,MBS,27.5,27.5,26.6,26.7,2591500
2024-09-18,MBS,28.2,28.6,27.4,27.6,5786700
2024-09-19,MBS,28.2,28.6,28.1,28.2,2230200
2024-09-20,MBS,28.4,28.9,28.2,28.5,3690900
2024-09-23,MBS,28.9,29.4,28.2,28.4,6272300
2024-09-24,MBS,29.5,29.6,28.9,28.9,3359300
2024-09-25,MBS,31.2,31.5,29.5,29.6,7574300
2024-09-26,MBS,31.4,31.9,31.0,31.1,4500000
2024-09-27,MBS,31.9,32.3,31.2,31.4,5160200
2024-09-30,MBS,31.9,32.0,31.3,31.9,3199100
2024-10-01,MBS,31.6,32.5,31.4,31.9,4681800
2024-10-02,MBS,32.1,32.2,31.2,31.6,5795500
2024-10-03,MBS,31.7,32.3,31.3,32.1,5092800
2024-10-04,MBS,31.3,31.8,31.3,31.7,3603400
2024-10-07,MBS,31.7,31.7,31.1,31.4,3571000
2024-10-08,MBS,30.0,31.8,30.0,31.8,14027400
2024-10-09,MBS,30.1,30.5,29.5,29.8,4057700
2024-10-10,MBS,29.5,30.4,27.1,27.1,5922500
2024-10-11,MBS,29.7,30.0,29.4,29.5,3006300
2024-10-14,MBS,29.9,30.0,29.6,29.7,2310300
2024-10-15,MBS,29.2,30.0,29.2,29.8,4098200
2024-10-16,MBS,29.3,29.5,29.0,29.2,1602300
2024-10-17,MBS,29.7,29.8,28.6,29.3,3831100
2024-10-18,MBS,29.8,30.2,29.7,29.7,3270500
2024-10-21,MBS,29.2,29.8,29.2,29.8,1799400
2024-10-22,MBS,28.8,29.4,28.3,29.2,2852800
2024-10-23,MBS,29.1,29.1,28.6,29.0,1435100
2024-10-24,MBS,28.4,29.2,28.4,29.1,1792700
2024-10-25,MBS,28.4,28.7,28.2,28.4,1436400
2024-10-28,MBS,28.6,28.8,28.3,28.3,1578600
2024-10-29,MBS,28.7,28.9,28.6,28.9,980000
2024-10-30,MBS,28.3,28.8,28.1,28.7,1804200
2024-10-31,MBS,28.1,28.5,27.9,28.3,1639300
2024-11-01,MBS,27.6,28.2,27.6,28.1,2053900
2024-11-04,MBS,28.2,28.7,27.4,27.6,2941500
2024-11-05,MBS,28.2,28.5,28.2,28.2,1170100
2024-11-06,MBS,29.3,29.3,28.4,28.5,3314700
2024-11-07,MBS,29.1,29.6,29.1,29.4,2101500
2024-11-08,MBS,29.2,29.4,28.8,28.9,2586300
2024-11-11,MBS,28.7,29.2,28.2,28.8,2765400
2024-11-12,MBS,28.6,29.3,28.6,28.7,2277500
2024-11-13,MBS,28.3,28.6,27.9,28.5,2207700
2024-11-14,MBS,27.3,28.5,27.1,28.5,2703100
2024-11-15,MBS,26.5,27.3,26.1,27.1,4422100
2024-11-18,MBS,27.5,27.8,26.2,26.5,3429900
2024-11-19,MBS,26.7,27.5,26.5,27.5,1724800
2024-11-20,MBS,27.2,27.8,25.0,25.0,2882600
2024-11-21,MBS,27.2,27.5,27.0,27.2,1442700
2024-11-22,MBS,27.0,27.4,26.9,26.9,2271300
2024-11-25,MBS,27.2,27.4,25.5,25.5,1492500
2024-11-26,MBS,27.5,27.8,26.3,26.3,2375400
2024-11-27,MBS,27.5,27.7,24.8,24.8,1284000
2024-11-28,MBS,27.4,28.0,27.3,27.5,1872100
2024-11-29,MBS,28.0,28.1,27.3,27.4,3867600
2024-12-02,MBS,28.3,28.5,27.9,28.2,1884700
2024-12-03,MBS,27.9,28.3,27.7,28.3,2170000
2024-12-04,MBS,27.4,27.9,27.2,27.9,3311300
2024-12-05,MBS,30.0,30.1,26.9,27.4,10190900
2024-12-06,MBS,29.8,30.2,29.6,30.0,3244500
2024-12-09,MBS,29.7,30.0,29.4,29.8,4207700
2024-12-10,MBS,29.6,29.8,29.3,29.7,2970300
2024-12-11,MBS,29.3,29.8,27.5,27.5,3533300
2024-12-12,MBS,29.1,29.7,29.1,29.3,2878200
2024-12-13,MBS,28.8,29.1,28.6,28.9,3683400
2024-12-16,MBS,29.0,29.0,26.8,26.8,1524000
