Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,NAF,13.73,13.91,13.68,13.86,87050
2024-03-11,NAF,13.73,13.82,13.64,13.73,103182
2024-03-12,NAF,13.68,13.77,13.64,13.73,38143
2024-03-13,NAF,13.73,13.73,13.59,13.68,82846
2024-03-14,NAF,14.05,14.05,13.73,13.82,229144
2024-03-15,NAF,15.0,15.0,14.05,14.05,698059
2024-03-18,NAF,14.95,15.45,14.68,15.41,624432
2024-03-19,NAF,14.91,15.14,14.86,14.91,430478
2024-03-20,NAF,14.91,14.91,14.73,14.91,240839
2024-03-21,NAF,15.09,15.23,14.82,15.23,213726
2024-03-22,NAF,15.27,15.41,14.91,15.41,256560
2024-03-25,NAF,14.77,15.27,14.55,14.95,209950
2024-03-26,NAF,15.18,15.27,14.68,14.77,130830
2024-03-27,NAF,15.14,15.18,15.0,15.18,90405
2024-03-28,NAF,15.27,15.27,15.0,15.14,190901
2024-03-29,NAF,15.0,15.27,14.91,15.18,155250
2024-04-01,NAF,15.68,15.73,15.0,15.09,312274
2024-04-02,NAF,15.59,15.64,15.45,15.64,121059
2024-04-03,NAF,15.45,15.91,15.45,15.59,216735
2024-04-04,NAF,15.86,16.0,15.45,15.45,294512
2024-04-05,NAF,15.77,15.95,15.73,15.82,266610
2024-04-08,NAF,16.0,16.27,15.82,16.0,412134
2024-04-09,NAF,15.91,16.18,15.68,16.0,205698
2024-04-10,NAF,15.73,15.95,15.68,15.77,187005
2024-04-11,NAF,15.36,15.5,14.68,15.36,284175
2024-04-12,NAF,15.77,16.09,15.36,15.36,131605
2024-04-15,NAF,14.73,15.77,14.73,15.41,168514
2024-04-16,NAF,15.09,15.09,14.64,14.64,132078
2024-04-17,NAF,15.36,15.36,14.82,15.09,57333
2024-04-19,NAF,14.91,15.32,14.77,15.32,254657
2024-04-22,NAF,15.55,15.73,14.86,14.91,85601
2024-04-23,NAF,15.36,15.91,15.36,15.91,131734
2024-04-24,NAF,15.55,15.64,15.36,15.36,176103
2024-04-25,NAF,15.55,15.73,15.18,15.45,210239
2024-04-26,NAF,15.64,15.73,15.41,15.55,135983
2024-05-02,NAF,15.59,15.73,15.45,15.59,181200
2024-05-03,NAF,15.95,16.0,15.59,15.59,186125
2024-05-06,NAF,17.05,17.05,16.27,16.27,948193
2024-05-07,NAF,17.09,17.64,17.0,17.36,245610
2024-05-08,NAF,16.91,17.41,16.86,16.95,376887
2024-05-09,NAF,16.64,17.18,16.64,17.09,333691
2024-05-10,NAF,16.68,16.82,16.55,16.55,152230
2024-05-13,NAF,16.68,17.09,16.64,16.68,187254
2024-05-14,NAF,16.91,16.91,16.59,16.73,146632
2024-05-15,NAF,16.95,17.09,16.86,16.91,158900
2024-05-16,NAF,16.73,17.27,16.68,17.23,233577
2024-05-17,NAF,16.68,17.05,16.59,17.05,153100
2024-05-20,NAF,16.27,16.77,16.27,16.68,251401
2024-05-21,NAF,17.41,17.41,16.27,16.36,669300
2024-05-22,NAF,17.09,17.91,17.09,17.45,340617
2024-05-23,NAF,17.27,17.36,16.91,17.09,227624
2024-05-24,NAF,16.64,17.27,16.36,16.91,291310
2024-05-27,NAF,17.14,17.14,16.64,16.64,113859
2024-05-28,NAF,17.27,17.27,16.95,17.14,112647
2024-05-29,NAF,16.91,17.36,16.91,17.27,132769
2024-05-30,NAF,17.09,17.18,16.68,16.82,118363
2024-05-31,NAF,17.09,17.36,17.09,17.09,194821
2024-06-03,NAF,17.36,17.5,17.14,17.14,116330
2024-06-04,NAF,17.36,17.5,17.23,17.27,202113
2024-06-05,NAF,17.36,17.55,17.27,17.36,197485
2024-06-06,NAF,17.36,18.18,17.27,17.27,176682
2024-06-07,NAF,17.32,17.73,17.32,17.73,133500
2024-06-10,NAF,17.36,17.5,17.27,17.32,194833
2024-06-11,NAF,17.09,17.36,16.91,17.27,294938
2024-06-12,NAF,17.14,17.27,17.0,17.09,122772
2024-06-13,NAF,17.05,17.18,17.0,17.14,121810
2024-06-14,NAF,17.05,17.41,16.95,17.05,113707
2024-06-17,NAF,17.05,17.09,16.91,17.05,90706
2024-06-18,NAF,17.14,17.32,17.05,17.32,39701
2024-06-19,NAF,17.14,17.18,17.05,17.05,107700
2024-06-20,NAF,17.14,17.18,16.59,17.18,153020
2024-06-21,NAF,17.14,17.27,17.05,17.14,88600
2024-06-24,NAF,16.91,17.14,16.73,17.14,136301
2024-06-25,NAF,16.95,17.18,16.55,16.55,34900
2024-06-26,NAF,16.95,16.95,16.68,16.68,59100
2024-06-27,NAF,17.41,17.73,16.95,17.18,187700
2024-06-28,NAF,17.14,17.73,17.14,17.73,37310
2024-07-01,NAF,17.14,17.64,17.05,17.64,100100
2024-07-02,NAF,17.14,17.18,17.0,17.0,68600
2024-07-03,NAF,17.23,17.45,17.05,17.14,91760
2024-07-04,NAF,17.23,17.41,17.14,17.41,74813
2024-07-05,NAF,17.18,17.23,16.95,17.14,94700
2024-07-08,NAF,17.14,17.27,16.95,17.27,73462
2024-07-09,NAF,17.09,17.18,16.95,17.18,73410
2024-07-10,NAF,17.09,17.14,16.91,17.14,106950
2024-07-11,NAF,17.0,17.09,16.91,17.09,144725
2024-07-12,NAF,17.05,17.09,16.77,17.05,150070
2024-07-15,NAF,16.91,17.0,16.91,17.0,28100
2024-07-16,NAF,16.91,17.05,16.64,17.05,119401
2024-07-17,NAF,16.5,16.77,15.73,16.77,87000
2024-07-18,NAF,16.45,17.23,16.0,16.5,42204
2024-07-19,NAF,16.36,16.5,16.18,16.36,231900
2024-07-22,NAF,16.23,16.32,15.91,16.27,63638
