Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,NTP,32.73,33.23,32.66,32.87,93910
2024-03-11,NTP,32.58,33.16,32.37,32.73,105113
2024-03-12,NTP,32.58,32.94,32.3,32.37,93608
2024-03-13,NTP,32.8,33.23,31.22,31.22,134684
2024-03-14,NTP,32.87,33.59,32.66,32.8,122179
2024-03-15,NTP,32.37,32.87,29.64,29.64,42613
2024-03-18,NTP,31.08,32.44,30.79,32.44,114905
2024-03-19,NTP,30.93,31.65,30.86,31.01,53333
2024-03-20,NTP,31.22,31.22,30.86,30.86,17408
2024-03-21,NTP,31.15,31.58,30.93,30.93,113765
2024-03-22,NTP,31.22,31.22,31.01,31.22,47407
2024-03-25,NTP,30.72,31.44,30.65,31.44,89193
2024-03-26,NTP,31.22,31.22,30.36,30.5,48080
2024-03-27,NTP,31.15,31.29,31.08,31.22,46182
2024-03-28,NTP,31.08,31.36,31.01,31.29,69420
2024-03-29,NTP,30.86,31.08,30.58,31.01,44321
2024-04-01,NTP,30.65,30.86,30.29,30.86,46739
2024-04-02,NTP,30.58,31.22,30.07,30.36,52193
2024-04-03,NTP,31.08,31.51,30.58,30.58,115592
2024-04-04,NTP,31.44,31.51,30.93,31.08,74562
2024-04-05,NTP,30.65,31.22,30.58,31.22,79436
2024-04-08,NTP,30.0,30.65,29.86,30.65,143443
2024-04-09,NTP,30.14,30.29,29.93,30.0,31658
2024-04-10,NTP,29.86,30.14,29.86,30.14,70450
2024-04-11,NTP,29.71,29.79,29.07,29.71,84257
2024-04-12,NTP,30.14,30.72,29.28,29.43,76668
2024-04-15,NTP,29.07,30.22,29.07,30.22,46205
2024-04-16,NTP,28.49,28.92,27.99,28.92,95856
2024-04-17,NTP,28.06,28.49,28.06,28.49,53559
2024-04-19,NTP,27.35,28.06,27.2,27.99,72267
2024-04-22,NTP,27.63,28.71,27.27,27.27,43200
2024-04-23,NTP,28.13,29.0,27.99,27.99,66432
2024-04-24,NTP,28.64,28.64,27.99,28.13,220681
2024-04-25,NTP,28.71,29.07,28.64,28.71,167365
2024-04-26,NTP,29.28,29.28,28.49,28.71,174607
2024-05-02,NTP,29.64,29.79,29.28,29.28,43022
2024-05-03,NTP,29.93,30.0,29.57,29.64,36985
2024-05-06,NTP,30.0,30.14,29.79,29.79,47242
2024-05-07,NTP,30.36,30.36,30.0,30.0,50365
2024-05-08,NTP,30.29,30.36,29.93,29.93,52668
2024-05-09,NTP,30.14,30.5,30.14,30.5,37398
2024-05-10,NTP,30.29,30.36,30.14,30.14,29503
2024-05-13,NTP,30.36,30.43,30.29,30.29,93001
2024-05-14,NTP,30.36,30.36,30.14,30.36,25047
2024-05-15,NTP,30.5,30.58,30.29,30.5,43612
2024-05-16,NTP,30.65,30.65,30.5,30.5,12702
2024-05-17,NTP,30.72,30.72,30.43,30.65,32259
2024-05-20,NTP,33.73,33.73,30.93,30.93,185504
2024-05-21,NTP,35.17,36.6,34.45,34.45,303282
2024-05-22,NTP,38.69,38.69,35.17,35.24,541230
2024-05-23,NTP,42.49,42.49,38.76,40.05,758477
