Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,PAN,24.24,24.38,22.96,23.31,5758997
2024-03-11,PAN,23.16,24.19,23.01,24.14,3997841
2024-03-12,PAN,23.26,23.26,22.87,23.01,3219972
2024-03-13,PAN,23.8,23.89,23.11,23.11,3345052
2024-03-14,PAN,23.41,24.14,23.31,23.85,3659447
2024-03-15,PAN,24.14,24.38,23.16,23.45,3523018
2024-03-18,PAN,23.5,24.34,22.57,24.14,4151107
2024-03-19,PAN,23.06,23.55,22.82,23.5,2028217
2024-03-20,PAN,23.41,23.5,22.67,23.06,2036359
2024-03-21,PAN,23.5,23.7,23.31,23.5,1547294
2024-03-22,PAN,23.55,23.8,23.36,23.6,1786699
2024-03-25,PAN,23.45,23.89,23.26,23.5,1755805
2024-03-26,PAN,23.36,23.5,23.06,23.45,1296171
2024-03-27,PAN,23.55,24.04,23.45,23.5,1369407
2024-03-28,PAN,24.58,24.73,23.55,23.8,4240569
2024-03-29,PAN,24.34,24.63,24.19,24.58,1262423
2024-04-01,PAN,24.38,24.38,23.85,24.34,1840135
2024-04-02,PAN,24.63,24.63,23.85,23.94,2737730
2024-04-03,PAN,23.89,24.58,23.75,24.48,1954536
2024-04-04,PAN,24.09,24.24,23.6,23.8,1723498
2024-04-05,PAN,23.41,23.8,23.11,23.65,2053126
2024-04-08,PAN,23.41,23.75,23.11,23.31,1790374
2024-04-09,PAN,23.5,23.5,23.06,23.31,814801
2024-04-10,PAN,23.26,23.6,23.26,23.6,864440
2024-04-11,PAN,22.87,23.16,22.77,22.96,1863089
2024-04-12,PAN,23.16,23.16,22.87,23.01,822269
2024-04-15,PAN,21.54,23.16,21.54,22.92,2040676
2024-04-16,PAN,21.15,21.54,20.71,21.54,1982195
2024-04-17,PAN,21.1,21.4,20.91,21.25,1425039
2024-04-19,PAN,20.03,20.91,20.03,20.91,1744766
2024-04-22,PAN,20.71,20.76,20.22,20.42,767567
2024-04-23,PAN,20.17,20.86,20.17,20.86,802004
2024-04-24,PAN,20.86,20.96,20.27,20.52,989750
2024-04-25,PAN,20.86,21.15,20.61,20.66,679108
2024-04-26,PAN,20.86,21.05,20.47,20.47,699606
2024-05-02,PAN,21.35,21.35,20.96,20.96,1035360
2024-05-03,PAN,21.4,21.74,21.15,21.74,652871
2024-05-06,PAN,21.89,21.99,21.35,21.64,1283513
2024-05-07,PAN,21.84,22.38,21.84,21.94,1363610
2024-05-08,PAN,21.94,22.13,21.35,21.59,1117447
2024-05-09,PAN,21.94,22.43,21.89,21.94,1104497
2024-05-10,PAN,21.94,22.23,21.69,21.99,924737
2024-05-13,PAN,22.82,23.01,21.99,22.08,1847242
2024-05-14,PAN,22.82,22.96,22.52,22.96,586936
2024-05-15,PAN,22.72,23.11,22.67,22.72,1033748
2024-05-16,PAN,22.82,22.96,22.67,22.92,945086
2024-05-17,PAN,23.11,23.36,22.82,22.82,1189201
2024-05-20,PAN,23.06,23.41,23.01,23.31,1350766
2024-05-21,PAN,22.92,23.11,22.67,23.06,1233347
2024-05-22,PAN,23.01,23.31,22.82,22.92,1424333
2024-05-23,PAN,23.01,23.06,22.43,22.82,1406361
2024-05-24,PAN,23.36,23.36,22.52,23.01,3551349
2024-05-27,PAN,23.41,23.89,23.31,23.5,1797786
2024-05-28,PAN,23.36,23.89,23.36,23.5,1561245
2024-05-29,PAN,23.31,23.75,23.01,23.36,1523377
2024-05-30,PAN,22.92,23.06,22.57,23.01,2127502
2024-05-31,PAN,22.96,23.16,22.87,23.06,912033
2024-06-03,PAN,23.5,23.8,23.21,23.31,2014457
2024-06-04,PAN,23.45,23.7,23.41,23.7,803424
2024-06-05,PAN,23.55,23.85,23.45,23.5,1814271
2024-06-06,PAN,23.94,24.24,23.55,23.6,2564523
