Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,PHP,21.73,22.02,21.53,22.02,1400
2024-03-11,PHP,21.63,21.63,21.53,21.63,2408
2024-03-12,PHP,22.02,22.02,21.14,21.14,13500
2024-03-13,PHP,21.73,21.73,21.43,21.43,2200
2024-03-14,PHP,21.92,22.02,21.63,21.63,26200
2024-03-15,PHP,22.02,22.02,21.63,21.63,2150
2024-03-18,PHP,21.63,22.02,21.63,21.92,10610
2024-03-19,PHP,21.92,21.92,21.63,21.73,2900
2024-03-20,PHP,22.02,22.02,21.82,22.02,26948
2024-03-21,PHP,21.92,22.02,21.53,22.02,12100
2024-03-22,PHP,22.41,22.51,21.82,21.82,5000
2024-03-25,PHP,22.12,22.51,22.12,22.51,24710
2024-03-26,PHP,22.41,22.61,22.12,22.51,32015
2024-03-27,PHP,22.41,22.41,22.22,22.32,4600
2024-03-28,PHP,22.32,22.32,21.82,21.92,5331
2024-03-29,PHP,22.41,22.91,21.92,21.92,5620
2024-04-01,PHP,22.12,22.61,22.12,22.61,2402
2024-04-02,PHP,22.22,22.22,21.92,22.12,2100
2024-04-03,PHP,22.02,22.12,22.02,22.02,11820
2024-04-04,PHP,21.92,22.02,21.82,22.02,4400
2024-04-05,PHP,21.63,21.92,21.63,21.92,9800
2024-04-08,PHP,21.63,21.63,21.43,21.63,4000
2024-04-09,PHP,21.53,21.53,21.53,21.53,500
2024-04-10,PHP,21.53,21.53,21.43,21.43,1400
2024-04-11,PHP,21.23,21.53,21.23,21.53,817
2024-04-12,PHP,22.51,22.51,21.33,21.33,2500
2024-04-15,PHP,21.14,22.51,21.14,22.51,6400
2024-04-16,PHP,20.94,20.94,20.94,20.94,4700
2024-04-17,PHP,20.74,21.43,18.78,21.43,5800
2024-04-19,PHP,20.55,20.74,20.55,20.74,5500
2024-04-22,PHP,20.94,21.04,20.84,20.94,9500
2024-04-23,PHP,20.15,21.14,20.06,20.94,10210
2024-04-24,PHP,20.55,21.14,20.55,21.14,4407
2024-04-25,PHP,21.43,21.43,20.74,21.04,15200
2024-04-26,PHP,21.43,21.43,20.74,20.74,3700
2024-05-02,PHP,21.33,21.33,21.33,21.33,300
2024-05-03,PHP,21.92,22.32,21.53,22.32,2106
2024-05-06,PHP,21.92,21.92,21.14,21.14,700
2024-05-07,PHP,21.23,21.23,21.23,21.23,1200
2024-05-08,PHP,21.33,22.02,20.94,22.02,1690
2024-05-09,PHP,21.63,21.63,21.43,21.43,2300
2024-05-10,PHP,21.23,21.53,21.23,21.53,10100
2024-05-13,PHP,21.43,21.53,21.43,21.43,4200
2024-05-14,PHP,21.53,21.53,20.15,21.23,1804
2024-05-15,PHP,21.53,21.63,21.14,21.14,2118
2024-05-16,PHP,21.63,21.63,21.33,21.33,10412
2024-05-17,PHP,21.73,21.73,21.33,21.43,14400
2024-05-20,PHP,21.63,22.02,21.43,21.43,24100
2024-05-21,PHP,22.22,22.22,21.82,21.82,19701
2024-05-22,PHP,22.12,22.91,22.12,22.22,95200
2024-05-23,PHP,22.41,23.1,22.12,22.41,29302
2024-05-24,PHP,21.73,22.32,21.63,22.32,14600
2024-05-27,PHP,21.63,21.63,20.65,20.65,45300
2024-05-28,PHP,21.73,22.51,21.53,21.53,16200
2024-05-29,PHP,22.12,22.32,21.73,21.73,21100
2024-05-30,PHP,21.82,22.12,21.73,21.73,13705
2024-05-31,PHP,21.53,22.12,21.43,21.92,17800
2024-06-03,PHP,21.82,21.92,21.63,21.63,16600
2024-06-04,PHP,21.82,22.32,21.63,21.73,18600
2024-06-05,PHP,22.12,22.51,22.02,22.02,35000
2024-06-06,PHP,24.18,24.18,22.22,22.22,687143
2024-06-07,PHP,26.0,26.2,24.5,24.6,242418
2024-06-10,PHP,27.6,28.5,26.0,26.0,386150
2024-06-11,PHP,26.4,28.2,26.0,28.0,171638
2024-06-12,PHP,26.4,26.5,25.5,26.4,189364
2024-06-13,PHP,26.6,27.4,26.0,26.4,134000
2024-06-14,PHP,26.0,27.2,26.0,27.0,178646
2024-06-17,PHP,28.2,28.2,26.4,26.4,190223
2024-06-18,PHP,29.2,29.9,27.8,27.8,160671
2024-06-19,PHP,29.1,29.9,28.3,29.7,92096
2024-06-20,PHP,30.0,30.0,28.9,29.0,281151
2024-06-21,PHP,31.6,31.8,29.4,29.4,195514
2024-06-24,PHP,28.9,31.7,28.9,31.7,227792
2024-06-25,PHP,29.1,30.0,28.4,28.8,137352
2024-06-26,PHP,30.2,30.9,29.4,29.5,95583
2024-06-27,PHP,30.6,31.7,30.0,30.0,197527
2024-06-28,PHP,30.1,31.0,29.4,31.0,152850
2024-07-01,PHP,28.3,30.9,28.2,30.3,164450
2024-07-02,PHP,28.1,29.0,28.0,28.8,163834
2024-07-03,PHP,28.5,29.2,28.0,28.5,127012
2024-07-04,PHP,29.5,29.8,28.7,28.7,193170
2024-07-05,PHP,29.5,30.5,29.1,29.1,213319
2024-07-08,PHP,29.6,30.9,29.5,29.7,192426
2024-07-09,PHP,29.0,30.1,29.0,29.8,265746
2024-07-10,PHP,29.4,30.3,29.2,29.4,355480
2024-07-11,PHP,29.3,30.1,29.3,29.7,145854
2024-07-12,PHP,30.0,30.0,29.5,29.5,156839
2024-07-15,PHP,29.5,30.0,29.5,30.0,152000
2024-07-16,PHP,28.5,30.0,28.4,29.8,249240
2024-07-17,PHP,26.9,29.0,25.6,28.8,577637
2024-07-18,PHP,27.0,27.0,26.1,27.0,275488
2024-07-19,PHP,26.4,28.0,26.2,26.6,168994
2024-07-22,PHP,26.3,26.7,26.3,26.3,218011
2024-07-23,PHP,26.0,26.9,26.0,26.6,41523
2024-07-24,PHP,26.6,26.8,25.7,25.8,300745
2024-07-25,PHP,27.1,27.6,26.6,26.9,215033
2024-07-26,PHP,27.4,27.4,26.6,27.1,124200
2024-07-29,PHP,27.0,28.0,27.0,27.5,109500
2024-07-30,PHP,26.8,27.2,26.7,27.1,307400
2024-07-31,PHP,26.6,27.1,26.6,26.7,74000
2024-08-01,PHP,25.8,27.0,25.7,26.8,228600
2024-08-02,PHP,26.1,26.1,25.2,25.8,240500
2024-08-05,PHP,25.0,26.0,25.0,25.8,160300
2024-08-06,PHP,25.3,25.5,25.0,25.0,41100
2024-08-07,PHP,25.4,25.7,25.4,25.4,25800
2024-08-08,PHP,25.7,26.9,25.1,26.9,104600
2024-08-09,PHP,25.6,26.3,25.2,26.3,57900
2024-08-12,PHP,26.1,26.1,25.5,25.6,66100
2024-08-13,PHP,26.0,26.4,25.8,26.0,61100
2024-08-14,PHP,25.2,26.2,25.2,26.1,55400
2024-08-15,PHP,25.8,25.8,25.3,25.5,121500
2024-08-16,PHP,26.7,26.7,25.6,25.6,98100
2024-08-19,PHP,28.0,28.0,26.4,26.4,130900
2024-08-20,PHP,27.7,28.4,27.4,28.0,53600
2024-08-21,PHP,27.8,28.4,27.2,28.2,51600
2024-08-22,PHP,28.8,30.0,27.9,27.9,548200
2024-08-23,PHP,28.3,29.0,28.3,29.0,102200
2024-08-26,PHP,27.8,28.5,27.8,28.3,128300
2024-08-27,PHP,28.7,29.3,27.7,28.2,176500
2024-08-28,PHP,28.6,28.8,28.4,28.8,101700
2024-08-29,PHP,28.0,28.6,27.9,28.5,117500
2024-08-30,PHP,27.7,28.3,27.7,28.3,84900
2024-09-04,PHP,27.5,27.8,27.1,27.8,88500
2024-09-05,PHP,27.4,28.4,27.4,28.4,29100
2024-09-06,PHP,27.6,28.0,27.2,28.0,51000
2024-09-09,PHP,27.1,27.7,27.0,27.5,72000
2024-09-10,PHP,26.9,27.4,26.8,27.4,43600
2024-09-11,PHP,26.6,27.1,26.4,27.1,55400
2024-09-12,PHP,26.8,27.0,26.8,26.9,12200
