Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,PHR,53.33,53.71,52.01,52.67,835530
2024-03-11,PHR,55.8,57.03,53.33,53.33,1827998
2024-03-12,PHR,57.22,58.65,55.23,55.8,1027112
2024-03-13,PHR,56.94,58.08,56.66,57.03,1074927
2024-03-14,PHR,55.9,57.13,55.61,56.75,1396198
2024-03-15,PHR,58.17,59.6,55.9,55.9,1319038
2024-03-18,PHR,57.41,59.03,55.04,58.93,1485094
2024-03-19,PHR,61.21,61.21,56.94,57.51,1791350
2024-03-20,PHR,60.74,61.21,59.22,61.21,601838
2024-03-21,PHR,60.64,60.93,59.5,60.83,746661
2024-03-22,PHR,60.74,61.21,59.31,60.26,1322036
2024-03-25,PHR,59.31,61.5,59.03,60.26,430141
2024-03-26,PHR,60.83,61.5,59.12,59.79,671078
2024-03-27,PHR,60.83,61.21,59.88,60.83,327649
2024-03-28,PHR,60.36,61.12,60.26,60.83,550471
2024-03-29,PHR,60.64,62.54,60.55,60.74,952947
2024-04-01,PHR,60.26,60.74,59.69,60.26,685504
2024-04-02,PHR,61.12,61.31,59.03,60.17,878032
2024-04-03,PHR,60.55,61.02,59.88,61.02,737170
2024-04-04,PHR,59.41,60.55,59.41,59.5,507357
2024-04-05,PHR,57.41,59.31,57.41,59.31,806740
2024-04-08,PHR,56.75,57.41,56.56,57.13,384399
2024-04-09,PHR,57.22,57.22,55.99,56.75,901144
2024-04-10,PHR,56.37,57.51,56.37,57.51,234498
2024-04-11,PHR,55.9,57.13,55.14,55.23,600438
2024-04-12,PHR,56.94,57.03,55.8,56.75,353930
2024-04-15,PHR,53.14,57.51,52.95,56.37,702759
2024-04-16,PHR,53.14,53.33,51.25,53.14,760055
2024-04-17,PHR,51.53,53.81,51.53,53.81,298586
2024-04-19,PHR,52.29,52.57,50.01,50.3,553971
2024-04-22,PHR,51.44,52.38,51.25,51.72,460134
2024-04-23,PHR,50.68,51.72,50.49,50.87,180826
2024-04-24,PHR,53.14,53.52,50.77,50.77,478983
2024-04-25,PHR,54.09,54.09,51.82,52.29,589351
2024-04-26,PHR,53.62,54.85,52.95,53.24,424521
2024-05-02,PHR,55.04,55.04,53.62,54.09,257090
2024-05-03,PHR,54.85,55.52,54.47,55.52,395652
2024-05-06,PHR,55.61,56.28,54.85,54.85,415892
2024-05-07,PHR,56.28,56.85,55.61,55.61,314562
2024-05-08,PHR,55.9,56.28,54.66,56.09,425741
2024-05-09,PHR,55.9,56.85,55.04,56.47,276421
2024-05-10,PHR,56.37,56.37,55.14,55.8,178884
2024-05-13,PHR,55.52,56.47,55.04,56.37,225673
2024-05-14,PHR,57.13,57.22,55.52,55.52,597480
2024-05-15,PHR,57.51,57.89,57.13,57.51,407912
2024-05-16,PHR,57.89,58.27,57.51,57.6,418457
2024-05-17,PHR,57.32,58.36,57.13,57.89,528517
2024-05-20,PHR,56.94,58.17,56.85,58.08,439888
2024-05-21,PHR,57.7,57.7,56.75,56.85,360977
2024-05-22,PHR,56.75,58.17,56.66,57.89,351973
2024-05-23,PHR,57.03,57.03,56.09,56.09,472891
2024-05-24,PHR,57.13,58.27,56.28,56.85,694947
2024-05-27,PHR,58.65,59.22,56.94,56.94,1016744
2024-05-28,PHR,59.03,59.31,58.46,58.84,597435
2024-05-29,PHR,58.08,60.07,57.89,59.03,1027138
2024-05-30,PHR,59.03,59.03,56.94,57.79,632512
2024-05-31,PHR,58.93,59.03,58.65,59.03,464001
2024-06-03,PHR,59.88,60.45,58.84,59.31,1029230
2024-06-04,PHR,59.31,60.64,59.31,59.69,492458
2024-06-05,PHR,59.31,60.36,59.03,59.98,413357
2024-06-06,PHR,58.36,59.41,57.89,59.41,248466
2024-06-07,PHR,59.03,59.98,58.36,58.36,276825
2024-06-10,PHR,60.74,61.5,59.31,59.98,755644
2024-06-11,PHR,59.79,61.21,59.69,60.74,226937
2024-06-12,PHR,59.22,59.79,58.84,59.69,239379
2024-06-13,PHR,59.22,59.79,58.84,59.79,275199
2024-06-14,PHR,57.89,59.88,57.89,59.22,332511
2024-06-17,PHR,56.37,58.08,56.37,58.08,453001
2024-06-18,PHR,57.79,58.17,56.47,56.85,367762
2024-06-19,PHR,57.6,58.08,57.51,57.79,138452
2024-06-20,PHR,57.6,58.08,57.22,57.89,149715
2024-06-21,PHR,57.79,58.36,57.41,57.6,179638
2024-06-24,PHR,55.99,58.17,55.99,58.17,302442
2024-06-25,PHR,55.99,56.56,55.9,55.99,136029
2024-06-26,PHR,57.51,57.6,55.99,55.99,240583
2024-06-27,PHR,57.6,57.89,57.22,57.32,135618
2024-06-28,PHR,57.51,57.51,56.18,57.51,265521
2024-07-01,PHR,57.41,57.51,56.75,57.51,98497
2024-07-02,PHR,57.89,57.89,57.32,57.6,142985
2024-07-03,PHR,58.65,59.12,57.89,57.89,700712
2024-07-04,PHR,58.55,58.84,58.46,58.84,178620
2024-07-05,PHR,58.27,58.84,57.51,58.55,422455
2024-07-08,PHR,59.5,59.6,57.89,58.55,446154
2024-07-09,PHR,60.83,61.5,59.6,60.07,904996
2024-07-10,PHR,59.41,60.64,59.41,60.64,280523
2024-07-11,PHR,57.89,59.5,57.89,59.31,644761
2024-07-12,PHR,58.17,58.74,57.22,57.89,307309
2024-07-15,PHR,58.65,58.65,57.7,58.65,165004
2024-07-16,PHR,58.65,58.93,57.98,58.55,285911
2024-07-17,PHR,55.42,58.84,54.57,58.65,477265
2024-07-18,PHR,56.47,56.47,55.04,55.33,316437
2024-07-19,PHR,55.14,56.66,54.95,56.66,225658
2024-07-22,PHR,54.66,55.04,53.9,54.95,449507
2024-07-23,PHR,53.71,55.04,53.71,55.04,152789
2024-07-24,PHR,53.81,53.9,52.38,52.67,184368
2024-07-25,PHR,53.24,53.81,52.95,53.71,62301
2024-07-26,PHR,54.66,54.66,53.24,53.24,97848
2024-07-29,PHR,55.33,55.33,54.66,54.66,176642
2024-07-30,PHR,54.38,55.33,54.28,55.33,146014
