Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,QNS,42.38,43.09,42.38,43.09,781640
2024-03-11,QNS,41.76,42.56,41.59,42.56,1362623
2024-03-12,QNS,41.94,42.21,41.5,41.5,459836
2024-03-13,QNS,42.29,42.38,41.85,42.03,398279
2024-03-14,QNS,42.82,43.18,42.29,42.29,437723
2024-03-15,QNS,42.47,42.91,42.29,42.82,259614
2024-03-18,QNS,42.12,42.91,41.76,42.47,747842
2024-03-19,QNS,42.74,42.82,42.21,42.29,404629
2024-03-20,QNS,42.74,42.91,42.38,42.82,348057
2024-03-21,QNS,42.56,43.09,42.47,42.82,407711
2024-03-22,QNS,42.38,42.91,42.29,42.91,775913
2024-03-25,QNS,42.38,42.65,42.29,42.38,573724
2024-03-26,QNS,42.47,42.65,42.29,42.38,343577
2024-03-27,QNS,43.71,43.8,42.47,42.56,1358139
2024-03-28,QNS,44.15,44.15,43.71,43.88,684980
2024-03-29,QNS,43.8,44.41,43.8,44.15,552247
2024-04-01,QNS,43.44,43.97,43.18,43.88,371556
2024-04-02,QNS,43.62,43.71,43.27,43.62,384680
2024-04-03,QNS,43.53,44.15,43.44,43.53,403365
2024-04-04,QNS,43.18,43.71,43.09,43.62,659564
2024-04-05,QNS,43.18,43.44,42.82,43.09,468951
2024-04-08,QNS,43.18,43.35,42.91,43.18,266946
2024-04-09,QNS,44.06,44.06,43.18,43.27,537166
2024-04-10,QNS,43.71,44.68,43.53,44.06,395977
2024-04-11,QNS,43.97,43.97,43.35,43.71,261989
2024-04-12,QNS,44.15,45.21,43.97,43.97,1502669
2024-04-15,QNS,43.44,44.41,43.27,44.15,946648
2024-04-16,QNS,42.41,44.89,41.95,44.89,1041182
2024-04-17,QNS,42.32,42.69,42.13,42.59,583867
2024-04-19,QNS,41.86,42.32,41.58,42.32,756078
2024-04-22,QNS,42.23,42.32,41.86,41.95,141498
2024-04-23,QNS,41.86,42.23,41.67,42.23,153151
2024-04-24,QNS,41.95,42.13,41.77,41.86,373413
2024-04-25,QNS,42.04,42.23,41.77,41.95,214144
2024-04-26,QNS,42.32,42.96,42.13,42.13,231980
2024-05-02,QNS,42.87,42.96,42.32,42.5,302905
2024-05-03,QNS,43.24,43.42,42.96,43.05,581971
2024-05-06,QNS,44.8,45.08,43.33,43.33,1400224
2024-05-07,QNS,45.63,46.46,44.71,44.8,2260211
2024-05-08,QNS,45.45,46.0,45.08,46.0,781292
2024-05-09,QNS,44.89,46.64,44.62,45.54,1524049
2024-05-10,QNS,44.89,45.45,44.43,44.99,648498
2024-05-13,QNS,44.53,45.08,44.16,44.89,874364
2024-05-14,QNS,44.89,45.08,44.25,44.53,359973
2024-05-15,QNS,45.08,45.81,44.62,44.99,1184861
2024-05-16,QNS,44.8,45.72,44.53,45.17,947997
2024-05-17,QNS,44.89,44.89,44.43,44.8,723990
2024-05-20,QNS,44.43,45.35,44.34,44.99,829066
2024-05-21,QNS,45.26,45.63,44.43,44.43,1904140
2024-05-22,QNS,45.08,45.54,44.71,45.26,870426
2024-05-23,QNS,47.47,48.02,44.99,45.08,4620273
2024-05-24,QNS,46.0,47.65,45.26,47.47,2124027
2024-05-27,QNS,45.81,47.19,45.26,46.0,1063577
2024-05-28,QNS,46.18,46.46,45.54,45.81,923506
2024-05-29,QNS,45.35,46.46,45.35,46.18,1043171
2024-05-30,QNS,45.45,45.54,45.08,45.45,992131
2024-05-31,QNS,45.72,46.18,45.35,45.45,1068381
2024-06-03,QNS,46.0,46.55,45.72,45.81,757424
