Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,SCS,74.5,75.43,72.54,72.91,200128
2024-03-11,SCS,74.03,74.59,73.01,74.5,210364
2024-03-12,SCS,74.03,74.5,73.85,74.5,168593
2024-03-13,SCS,74.5,74.5,74.03,74.03,160205
2024-03-14,SCS,75.06,75.43,74.5,74.5,58443
2024-03-15,SCS,72.82,75.06,72.54,75.06,267149
2024-03-18,SCS,71.24,72.64,69.84,72.64,159873
2024-03-19,SCS,71.52,72.64,70.87,71.24,46618
2024-03-20,SCS,70.68,71.61,69.93,70.77,163583
2024-03-21,SCS,70.49,70.96,69.84,70.87,299525
2024-03-22,SCS,70.31,71.24,70.21,70.49,44434
2024-03-25,SCS,70.31,70.49,70.21,70.4,85333
2024-03-26,SCS,70.21,70.77,70.03,70.31,48100
2024-03-27,SCS,69.93,70.77,69.84,70.77,54875
2024-03-28,SCS,70.68,71.61,70.21,70.59,151920
2024-03-29,SCS,70.68,71.52,70.68,70.77,152921
2024-04-01,SCS,70.03,70.87,69.93,70.77,64930
2024-04-02,SCS,69.84,70.59,69.38,70.59,61864
2024-04-03,SCS,68.72,69.84,68.54,69.84,165104
2024-04-04,SCS,73.38,73.38,68.82,68.91,598365
2024-04-05,SCS,72.64,75.99,71.8,73.38,165751
2024-04-08,SCS,72.64,74.03,71.8,72.82,93107
2024-04-09,SCS,73.1,73.75,72.64,73.75,120565
2024-04-10,SCS,73.85,74.4,72.73,72.73,68340
2024-04-11,SCS,73.38,73.57,72.17,72.73,56494
2024-04-12,SCS,75.15,75.43,73.38,73.38,88993
2024-04-15,SCS,72.64,75.15,72.54,74.96,251529
2024-04-16,SCS,73.38,73.57,71.61,72.54,106049
2024-04-17,SCS,72.91,73.47,72.36,72.64,121492
2024-04-19,SCS,72.17,72.91,71.7,72.91,242005
2024-04-22,SCS,71.8,72.54,71.7,72.17,118906
2024-04-23,SCS,74.03,74.03,71.52,72.64,236102
2024-04-24,SCS,73.57,74.03,73.19,74.03,78207
2024-04-25,SCS,75.89,76.17,72.64,73.19,194790
2024-04-26,SCS,74.5,75.89,74.5,74.96,102298
2024-05-02,SCS,77.94,78.69,75.24,75.34,249284
2024-05-03,SCS,77.29,78.13,77.1,78.13,73989
2024-05-06,SCS,78.59,79.06,77.38,77.38,138808
2024-05-07,SCS,82.13,82.88,78.5,78.78,485684
2024-05-08,SCS,81.48,81.85,80.55,81.85,115788
2024-05-09,SCS,81.02,82.79,80.46,81.48,273873
2024-05-10,SCS,82.88,82.88,81.11,81.2,119924
2024-05-13,SCS,81.02,83.06,81.02,82.6,108217
2024-05-14,SCS,81.11,82.13,80.64,81.3,187105
2024-05-15,SCS,81.95,82.23,81.02,81.3,118219
2024-05-16,SCS,81.95,83.53,81.2,81.95,113506
2024-05-17,SCS,81.3,82.41,81.02,81.85,330965
2024-05-20,SCS,81.39,81.95,81.3,81.3,110359
2024-05-21,SCS,82.79,84.55,81.02,81.39,510189
2024-05-22,SCS,84.09,84.55,82.51,82.51,241905
2024-05-23,SCS,83.81,85.58,82.97,85.49,139719
2024-05-24,SCS,84.65,85.21,82.23,82.88,530931
2024-05-27,SCS,83.81,84.65,82.79,84.65,59692
2024-05-28,SCS,83.81,84.74,83.16,83.34,109284
2024-05-29,SCS,84.09,85.21,83.81,83.9,121169
2024-05-30,SCS,83.53,84.09,82.41,84.09,82718
2024-05-31,SCS,83.81,84.65,83.34,84.65,62402
2024-06-03,SCS,85.67,87.35,83.9,83.9,202797
2024-06-04,SCS,85.49,86.6,85.3,86.6,70222
2024-06-05,SCS,85.21,86.23,84.93,85.58,94643
2024-06-06,SCS,87.53,88.47,85.67,86.04,258085
2024-06-07,SCS,86.32,88.47,86.14,87.53,83563
2024-06-10,SCS,84.59,86.9,84.31,85.75,233218
2024-06-11,SCS,82.29,84.5,81.52,84.5,550432
2024-06-12,SCS,83.06,83.44,82.0,82.29,276896
2024-06-13,SCS,84.11,84.69,83.06,83.06,104570
2024-06-14,SCS,83.34,84.88,82.77,84.4,202967
