Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,SHS,15.64,16.15,15.56,15.81,39577826
2024-03-11,SHS,15.22,15.73,15.05,15.64,25532536
2024-03-12,SHS,14.97,15.3,14.88,15.22,18900315
2024-03-13,SHS,15.64,15.73,14.63,14.63,32528200
2024-03-14,SHS,16.15,16.4,15.39,15.39,63372543
2024-03-15,SHS,16.15,16.32,15.81,16.15,29220309
2024-03-18,SHS,15.98,16.66,15.3,15.98,49574580
2024-03-19,SHS,15.9,16.4,15.81,16.06,31059601
2024-03-20,SHS,16.23,16.23,15.81,15.9,25392000
2024-03-21,SHS,16.83,17.08,16.32,16.32,58075662
2024-03-22,SHS,16.91,17.25,16.74,16.91,30711453
2024-03-25,SHS,16.99,17.5,16.83,16.91,39879054
2024-03-26,SHS,17.25,17.25,16.74,16.74,22543685
2024-03-27,SHS,17.33,17.59,17.16,17.25,16856877
2024-03-28,SHS,17.42,17.5,17.16,17.42,18639693
2024-03-29,SHS,16.99,17.5,16.99,17.42,18355814
2024-04-01,SHS,17.16,17.33,16.66,16.99,23819742
2024-04-02,SHS,17.92,18.09,16.83,17.16,32148622
2024-04-03,SHS,17.59,18.18,17.25,18.01,23464149
2024-04-04,SHS,17.25,17.67,17.16,17.16,20892897
2024-04-05,SHS,16.74,17.25,16.74,17.16,27480207
2024-04-08,SHS,16.49,16.91,16.49,16.74,15242040
2024-04-09,SHS,17.08,17.08,16.4,16.49,19822622
2024-04-10,SHS,16.74,17.16,16.66,16.99,11612702
2024-04-11,SHS,16.99,17.16,16.4,16.66,19549798
2024-04-12,SHS,17.59,17.67,16.74,16.99,29052672
2024-04-15,SHS,16.06,18.09,16.06,17.59,50495135
2024-04-16,SHS,16.32,16.4,15.73,16.06,38201121
2024-04-17,SHS,15.73,16.57,15.73,16.15,20102153
2024-04-19,SHS,14.71,15.73,14.2,14.2,44790623
2024-04-22,SHS,15.56,15.98,14.88,15.22,24252185
2024-04-23,SHS,15.13,15.73,14.8,15.56,17849311
2024-04-24,SHS,15.73,15.9,13.7,14.8,23529347
