Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,SSI,28.73,29.74,28.73,29.59,35890489
2024-03-11,SSI,28.38,29.0,28.26,28.73,24854489
2024-03-12,SSI,28.34,28.57,28.14,28.38,21933665
2024-03-13,SSI,29.63,29.74,28.34,28.42,35795637
2024-03-14,SSI,29.55,30.45,29.51,29.71,39376627
2024-03-15,SSI,29.51,29.59,28.96,29.51,27984321
2024-03-18,SSI,28.61,29.67,27.79,29.55,48630337
2024-03-19,SSI,28.22,28.89,28.22,28.65,14633252
2024-03-20,SSI,29.04,29.04,28.3,28.42,16369591
2024-03-21,SSI,29.39,29.67,29.28,29.63,27181801
2024-03-22,SSI,29.51,30.02,29.35,29.51,29828270
2024-03-25,SSI,29.28,29.9,29.12,29.55,24351652
2024-03-26,SSI,29.67,29.82,29.0,29.2,19519834
2024-03-27,SSI,30.06,30.06,29.59,29.9,18780855
2024-03-28,SSI,30.56,30.64,30.29,30.45,26426966
2024-03-29,SSI,30.06,30.53,30.06,30.49,17534673
2024-04-01,SSI,30.29,30.6,29.55,30.06,31100494
2024-04-02,SSI,30.37,30.45,29.67,29.9,21155300
2024-04-03,SSI,29.71,30.6,29.67,30.29,25759262
2024-04-04,SSI,29.39,29.82,29.39,29.71,24891684
2024-04-05,SSI,28.73,29.12,28.73,29.0,31254248
2024-04-08,SSI,28.65,28.89,28.61,28.73,12123079
2024-04-09,SSI,29.28,29.28,28.65,28.81,13239735
2024-04-10,SSI,28.85,29.35,28.85,29.35,8530255
2024-04-11,SSI,29.0,29.2,28.53,28.53,11891348
2024-04-12,SSI,29.32,29.51,28.92,29.16,19502433
2024-04-15,SSI,27.29,29.39,27.29,29.12,29945528
2024-04-16,SSI,27.48,27.56,26.62,27.4,32807259
2024-04-17,SSI,26.86,27.71,26.86,27.68,13937441
2024-04-19,SSI,25.92,27.17,25.8,26.5,29572429
2024-04-22,SSI,27.4,27.71,26.5,26.7,19504978
2024-04-23,SSI,26.93,27.56,26.78,27.4,16746317
2024-04-24,SSI,27.83,28.07,27.25,27.32,21331306
