Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,TCM,36.74,36.86,36.33,36.7,892665
2024-03-11,TCM,36.74,36.86,36.25,36.74,881472
2024-03-12,TCM,36.66,36.78,36.09,36.74,846847
2024-03-13,TCM,36.66,36.86,36.13,36.37,1112452
2024-03-14,TCM,37.88,38.21,36.58,36.74,1909913
2024-03-15,TCM,37.97,38.21,37.35,38.01,1096752
2024-03-18,TCM,37.8,38.46,36.09,37.56,1393786
2024-03-19,TCM,37.31,37.72,36.54,37.72,806777
2024-03-20,TCM,37.52,37.72,36.78,37.31,2196256
2024-03-21,TCM,37.68,37.92,37.11,37.52,1528289
2024-03-22,TCM,37.56,37.76,37.11,37.68,1309956
2024-03-25,TCM,37.03,37.48,36.62,37.48,1039354
2024-03-26,TCM,37.39,37.64,36.62,37.07,1076469
2024-03-27,TCM,37.39,37.52,36.82,36.94,1162426
2024-03-28,TCM,37.31,37.52,36.86,37.39,756224
2024-03-29,TCM,37.03,37.31,36.7,37.31,626837
2024-04-01,TCM,36.5,37.03,36.41,37.03,500315
2024-04-02,TCM,36.9,36.99,35.64,36.29,1280836
2024-04-03,TCM,36.7,36.99,36.33,36.9,654911
2024-04-04,TCM,36.5,36.7,35.92,36.66,1113792
2024-04-05,TCM,35.92,36.41,35.64,35.92,629536
2024-04-08,TCM,35.92,36.09,35.31,35.92,903745
2024-04-09,TCM,35.92,36.05,35.35,35.88,1259482
2024-04-10,TCM,35.84,35.92,35.43,35.92,1119488
2024-04-11,TCM,35.48,35.76,35.39,35.43,975308
2024-04-12,TCM,35.52,35.72,35.11,35.56,1062039
2024-04-15,TCM,34.37,35.43,33.15,35.15,758975
2024-04-16,TCM,33.96,34.05,32.94,33.52,1142069
2024-04-17,TCM,33.76,33.96,33.23,33.96,479597
2024-04-19,TCM,36.09,36.09,32.62,33.47,1027213
2024-04-22,TCM,36.09,36.25,34.25,35.6,900281
2024-04-23,TCM,35.52,36.13,35.11,35.76,896895
2024-04-24,TCM,35.56,35.68,34.7,35.52,1291788
2024-04-25,TCM,35.19,35.6,34.78,35.56,966611
2024-04-26,TCM,35.15,35.19,34.7,35.11,843750
2024-05-02,TCM,35.11,35.19,34.37,35.15,1059329
2024-05-03,TCM,34.94,35.19,34.41,35.07,906958
2024-05-06,TCM,35.23,35.31,34.62,34.86,1095571
2024-05-07,TCM,34.99,35.23,34.82,35.23,876474
2024-05-08,TCM,35.92,35.92,34.7,34.7,1619485
2024-05-09,TCM,36.7,37.56,36.25,36.25,1521831
2024-05-10,TCM,36.29,36.74,35.76,36.74,1522724
2024-05-13,TCM,35.84,36.62,35.27,36.5,1186145
2024-05-14,TCM,35.88,36.01,35.19,35.88,1677202
2024-05-15,TCM,36.94,37.15,35.68,35.84,2315315
2024-05-16,TCM,36.7,37.19,35.92,37.19,1258584
2024-05-17,TCM,36.74,36.82,36.21,36.78,2132386
2024-05-20,TCM,38.99,38.99,36.74,37.27,3327559
2024-05-21,TCM,41.64,41.64,39.27,39.27,5988281
