Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,TDT,7.3,7.4,7.2,7.4,47202
2024-03-11,TDT,7.2,7.2,7.1,7.2,53306
2024-03-12,TDT,7.2,7.2,7.1,7.1,46680
2024-03-13,TDT,7.2,7.2,7.1,7.2,55843
2024-03-14,TDT,7.1,7.2,7.1,7.2,46725
2024-03-15,TDT,7.2,7.2,7.0,7.1,46847
2024-03-18,TDT,7.1,7.2,7.0,7.2,36405
2024-03-19,TDT,7.1,7.1,7.0,7.0,61939
2024-03-20,TDT,7.1,7.1,7.0,7.0,54572
2024-03-21,TDT,7.1,7.1,7.0,7.1,53776
2024-03-22,TDT,7.1,7.1,7.0,7.0,57739
2024-03-25,TDT,7.0,7.1,7.0,7.0,34818
2024-03-26,TDT,7.1,7.2,7.0,7.0,129270
2024-03-27,TDT,7.2,7.2,7.0,7.0,58527
2024-03-28,TDT,7.2,7.2,7.1,7.2,36974
2024-03-29,TDT,7.1,7.2,7.1,7.2,62124
2024-04-01,TDT,7.1,7.1,7.0,7.1,35900
2024-04-02,TDT,7.1,7.1,7.0,7.0,42648
2024-04-03,TDT,7.1,7.1,7.0,7.0,36043
2024-04-04,TDT,7.1,7.1,6.9,7.0,37048
2024-04-05,TDT,7.1,7.1,7.0,7.0,47312
2024-04-08,TDT,7.1,7.1,7.0,7.0,29003
2024-04-09,TDT,7.0,7.0,7.0,7.0,26644
2024-04-10,TDT,7.0,7.1,7.0,7.1,27300
2024-04-11,TDT,7.1,7.1,6.9,7.1,33226
2024-04-12,TDT,7.1,7.1,6.9,7.0,37600
2024-04-15,TDT,6.9,7.0,6.9,7.0,36800
2024-04-16,TDT,7.0,7.0,6.8,7.0,50107
2024-04-17,TDT,7.0,7.0,6.9,7.0,35000
2024-04-19,TDT,7.0,7.0,6.8,7.0,37900
2024-04-22,TDT,7.0,7.0,6.9,7.0,37526
2024-04-23,TDT,7.0,7.0,6.9,7.0,37596
2024-04-24,TDT,7.0,7.1,6.9,7.0,49795
2024-04-25,TDT,7.0,7.0,6.9,7.0,64760
2024-04-26,TDT,6.9,6.9,6.9,6.9,82830
2024-05-02,TDT,7.0,7.0,6.9,6.9,57700
2024-05-03,TDT,7.0,7.0,6.9,7.0,62840
2024-05-06,TDT,6.9,7.0,6.9,7.0,44200
2024-05-07,TDT,7.1,7.1,6.9,6.9,69705
2024-05-08,TDT,7.1,7.1,7.0,7.0,44852
2024-05-09,TDT,7.1,7.1,7.0,7.0,43518
2024-05-10,TDT,7.1,7.1,7.0,7.0,57014
2024-05-13,TDT,7.1,7.1,7.0,7.1,30200
2024-05-14,TDT,7.1,7.1,7.0,7.0,103635
2024-05-15,TDT,7.7,7.8,7.0,7.0,582927
2024-05-16,TDT,7.6,7.7,7.3,7.6,50300
2024-05-17,TDT,7.5,7.5,7.3,7.4,105522
2024-05-20,TDT,7.4,7.5,7.2,7.3,90814
2024-05-21,TDT,7.3,7.4,7.1,7.2,107568
2024-05-22,TDT,7.2,7.3,7.1,7.3,97637
2024-05-23,TDT,7.2,7.2,7.0,7.1,60208
2024-05-24,TDT,7.1,7.1,7.0,7.1,65125
2024-05-27,TDT,7.1,7.1,7.0,7.1,49567
2024-05-28,TDT,7.2,7.2,7.0,7.0,59488
2024-05-29,TDT,7.0,7.2,7.0,7.2,406525
2024-05-30,TDT,7.1,7.1,7.0,7.0,36318
2024-05-31,TDT,7.1,7.1,7.0,7.1,45800
2024-06-03,TDT,7.3,7.4,7.1,7.1,208386
2024-06-04,TDT,7.3,7.3,7.1,7.2,68110
2024-06-05,TDT,7.3,7.5,7.2,7.3,175800
2024-06-06,TDT,7.3,7.3,7.2,7.2,43874
2024-06-07,TDT,7.2,7.2,7.1,7.2,70083
2024-06-10,TDT,7.1,7.2,7.0,7.2,105540
2024-06-11,TDT,7.0,7.0,6.9,7.0,436841
2024-06-12,TDT,7.0,7.0,6.9,7.0,42295
2024-06-13,TDT,7.0,7.1,6.9,6.9,61470
2024-06-14,TDT,7.0,7.1,6.9,7.1,55707
2024-06-17,TDT,7.0,7.0,6.9,7.0,51122
2024-06-18,TDT,7.0,7.0,6.9,6.9,37940
2024-06-19,TDT,7.0,7.0,6.9,6.9,52280
2024-06-20,TDT,7.0,7.0,6.9,7.0,41401
2024-06-21,TDT,6.9,6.9,6.9,6.9,68419
2024-06-24,TDT,7.2,7.2,6.8,6.9,82252
2024-06-25,TDT,7.2,7.2,7.1,7.1,69300
2024-06-26,TDT,7.1,7.1,7.0,7.1,53400
2024-06-27,TDT,7.2,7.2,6.9,7.0,51768
2024-06-28,TDT,7.2,7.2,7.0,7.2,24401
2024-07-01,TDT,7.2,7.2,7.0,7.1,72271
2024-07-02,TDT,7.2,7.2,7.0,7.0,53200
2024-07-03,TDT,7.1,7.1,7.0,7.0,30101
2024-07-04,TDT,7.2,7.2,7.0,7.1,108200
2024-07-05,TDT,7.2,7.3,7.1,7.2,100534
2024-07-08,TDT,7.2,7.2,7.1,7.1,49420
2024-07-09,TDT,7.2,7.2,7.0,7.2,90855
2024-07-10,TDT,7.2,7.2,7.0,7.1,103212
2024-07-11,TDT,7.1,7.1,7.1,7.1,42712
2024-07-12,TDT,7.1,7.1,7.0,7.0,31528
2024-07-15,TDT,7.1,7.2,7.0,7.0,44900
2024-07-16,TDT,7.1,7.1,7.0,7.1,28113
2024-07-17,TDT,7.1,7.1,7.0,7.1,55300
2024-07-18,TDT,7.1,7.1,6.9,7.0,25057
2024-07-19,TDT,7.1,7.1,7.0,7.0,32319
2024-07-22,TDT,7.1,7.1,7.0,7.0,96415
2024-07-23,TDT,7.1,7.1,7.0,7.0,24323
2024-07-24,TDT,7.1,7.1,6.9,7.0,68284
2024-07-25,TDT,7.1,7.1,7.0,7.0,47301
2024-07-26,TDT,7.1,7.1,6.9,6.9,58000
2024-07-29,TDT,7.0,7.0,6.9,7.0,41400
2024-07-30,TDT,7.1,7.1,6.9,7.0,44000
2024-07-31,TDT,7.1,7.1,6.9,7.0,55000
2024-08-01,TDT,7.1,7.1,6.9,7.0,47000
2024-08-02,TDT,7.1,7.1,6.9,7.0,73000
2024-08-05,TDT,7.0,7.1,6.4,7.1,65500
2024-08-06,TDT,7.0,7.0,6.5,6.9,53300
2024-08-07,TDT,7.0,7.0,6.8,6.9,93000
2024-08-08,TDT,7.0,7.1,6.9,7.0,79600
2024-08-09,TDT,7.0,7.0,6.9,7.0,20300
2024-08-12,TDT,7.0,7.0,6.9,7.0,22100
2024-08-13,TDT,7.0,7.0,6.9,6.9,105500
2024-08-14,TDT,7.1,7.1,6.9,7.0,128600
2024-08-15,TDT,7.0,7.0,7.0,7.0,103500
2024-08-16,TDT,7.1,7.1,7.0,7.0,48700
2024-08-19,TDT,7.1,7.1,6.9,7.0,62600
2024-08-20,TDT,7.1,7.1,7.0,7.0,47600
2024-08-21,TDT,7.1,7.1,7.0,7.1,43500
2024-08-22,TDT,7.1,7.1,7.0,7.0,57100
2024-08-23,TDT,7.1,7.1,7.0,7.1,47700
2024-08-26,TDT,7.1,7.1,7.0,7.0,40900
2024-08-27,TDT,7.1,7.1,7.0,7.0,82400
2024-08-28,TDT,7.1,7.2,7.0,7.1,74200
2024-08-29,TDT,7.0,7.1,7.0,7.0,59500
2024-08-30,TDT,7.1,7.1,7.0,7.0,39200
2024-09-04,TDT,7.1,7.1,7.0,7.0,69500
2024-09-05,TDT,7.1,7.1,7.0,7.0,36600
2024-09-06,TDT,7.1,7.1,7.0,7.1,63500
2024-09-09,TDT,7.0,7.0,6.9,7.0,100700
2024-09-10,TDT,7.0,7.0,6.8,7.0,32100
2024-09-11,TDT,7.0,7.0,6.8,7.0,16900
2024-09-12,TDT,7.0,7.0,6.9,7.0,46500
2024-09-13,TDT,7.0,7.0,6.9,7.0,11500
2024-09-16,TDT,7.0,7.0,6.9,6.9,42000
2024-09-17,TDT,7.0,7.0,6.8,6.9,98800
2024-09-18,TDT,7.0,7.0,6.9,7.0,55900
2024-09-19,TDT,7.0,7.0,6.9,7.0,59200
2024-09-20,TDT,7.0,7.1,6.9,6.9,57400
2024-09-23,TDT,7.0,7.0,7.0,7.0,40500
2024-09-24,TDT,7.0,7.0,6.9,6.9,38900
2024-09-25,TDT,7.0,7.0,6.8,6.9,85600
2024-09-26,TDT,7.0,7.1,6.8,6.9,61500
2024-09-27,TDT,6.9,7.0,6.9,6.9,58800
2024-09-30,TDT,7.0,7.0,6.9,6.9,129100
2024-10-01,TDT,6.9,7.0,6.8,6.9,48200
2024-10-02,TDT,7.0,7.0,6.8,7.0,41300
2024-10-03,TDT,7.0,7.0,6.8,6.9,44500
2024-10-04,TDT,7.0,7.0,6.8,7.0,65100
2024-10-07,TDT,7.0,7.0,6.8,6.9,50700
