Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,TLG,39.87,40.33,39.57,40.16,133803
2024-03-11,TLG,39.78,39.99,39.61,39.91,182951
2024-03-12,TLG,39.95,39.95,39.52,39.78,90210
2024-03-13,TLG,41.91,42.12,39.99,39.99,570721
2024-03-14,TLG,41.91,42.12,41.57,41.99,174693
2024-03-15,TLG,44.12,44.12,41.91,41.91,342656
2024-03-18,TLG,43.27,44.12,41.99,44.12,382223
2024-03-19,TLG,42.59,43.27,42.25,43.27,95134
2024-03-20,TLG,42.51,42.51,41.74,42.51,96222
2024-03-21,TLG,42.42,43.61,42.34,42.51,130674
2024-03-22,TLG,42.46,42.59,41.91,42.42,91860
2024-03-25,TLG,42.51,42.76,41.95,42.46,84586
2024-03-26,TLG,42.85,42.85,41.99,42.51,40647
2024-03-27,TLG,42.59,42.76,42.29,42.42,50818
2024-03-28,TLG,42.59,42.76,42.25,42.29,68405
2024-03-29,TLG,42.59,42.59,42.21,42.38,60918
2024-04-01,TLG,41.91,42.59,41.91,42.59,99750
2024-04-02,TLG,41.74,41.91,41.06,41.91,85582
2024-04-03,TLG,42.17,42.46,41.74,41.74,115088
2024-04-04,TLG,42.34,42.42,41.91,42.17,96721
2024-04-05,TLG,43.1,44.29,41.95,42.34,151523
2024-04-08,TLG,42.93,43.1,42.34,42.68,70557
2024-04-09,TLG,42.68,42.85,42.34,42.59,70216
2024-04-10,TLG,43.02,43.44,42.42,42.59,146383
2024-04-11,TLG,42.76,42.93,42.29,42.29,54565
2024-04-12,TLG,42.93,43.02,42.42,42.55,40000
2024-04-15,TLG,41.06,42.51,41.06,42.29,108421
2024-04-16,TLG,39.99,41.06,39.82,41.06,136852
2024-04-17,TLG,40.5,41.06,40.08,40.21,75940
2024-04-19,TLG,40.46,40.5,39.87,40.5,73765
2024-04-22,TLG,40.72,40.84,40.12,40.46,31992
2024-04-23,TLG,40.72,40.8,40.38,40.8,32630
2024-04-24,TLG,41.1,41.31,40.59,40.59,59436
2024-04-25,TLG,41.65,41.65,41.06,41.14,176012
2024-04-26,TLG,42.42,42.51,41.4,41.65,51524
2024-05-02,TLG,41.99,42.17,41.78,42.04,21457
2024-05-03,TLG,41.74,42.34,41.57,42.34,31772
2024-05-06,TLG,41.74,41.95,41.48,41.48,47556
2024-05-07,TLG,42.42,42.46,41.65,41.74,96088
2024-05-08,TLG,42.59,42.59,42.04,42.42,96347
2024-05-09,TLG,42.46,43.44,42.25,42.68,37488
2024-05-10,TLG,42.42,42.59,41.95,42.17,39156
2024-05-13,TLG,42.08,42.38,41.87,42.38,19643
2024-05-14,TLG,41.91,42.08,41.65,42.08,80421
2024-05-15,TLG,42.25,42.59,41.95,41.95,81953
2024-05-16,TLG,42.93,43.27,42.46,42.46,111687
2024-05-17,TLG,43.19,43.19,42.59,42.59,106228
2024-05-20,TLG,43.7,43.95,43.02,43.19,95220
2024-05-21,TLG,43.53,43.7,43.02,43.7,78545
2024-05-22,TLG,43.53,43.78,43.02,43.44,61958
2024-05-23,TLG,43.53,43.53,43.02,43.53,41811
2024-05-24,TLG,43.27,44.04,43.1,43.44,134249
2024-05-27,TLG,43.61,43.87,43.27,43.27,67321
2024-05-28,TLG,44.46,44.46,43.61,43.7,97952
2024-05-29,TLG,44.55,45.06,44.21,44.55,54714
2024-05-30,TLG,43.95,44.55,43.27,44.55,56732
2024-05-31,TLG,44.72,44.72,43.61,44.29,56010
2024-06-03,TLG,44.64,44.72,44.29,44.55,30366
2024-06-04,TLG,44.89,45.06,44.46,44.64,158130
2024-06-05,TLG,45.06,45.74,44.72,44.89,79172
2024-06-06,TLG,45.32,45.66,45.06,45.57,53044
2024-06-07,TLG,45.4,45.83,45.06,45.32,72422
2024-06-10,TLG,44.98,45.4,44.29,45.4,25810
2024-06-11,TLG,44.81,46.0,44.55,46.0,28738
2024-06-12,TLG,45.32,45.4,44.29,45.4,38037
2024-06-13,TLG,45.4,45.57,44.46,45.23,36221
2024-06-14,TLG,45.15,45.4,45.06,45.4,61853
2024-06-17,TLG,44.81,45.4,44.55,45.4,30614
2024-06-18,TLG,44.98,45.15,44.46,44.46,78167
2024-06-19,TLG,44.81,45.15,44.64,44.98,15615
2024-06-20,TLG,44.89,45.15,44.64,44.81,65748
2024-06-21,TLG,44.81,45.23,44.72,45.23,24518
2024-06-24,TLG,44.12,45.15,41.7,45.15,158154
2024-06-25,TLG,42.59,44.04,41.06,44.04,171385
2024-06-26,TLG,44.46,44.72,42.76,42.76,93630
2024-06-27,TLG,44.29,44.46,43.61,44.46,22752
2024-06-28,TLG,44.29,44.46,43.36,44.29,94329
2024-07-01,TLG,44.55,44.72,44.04,44.29,171261
2024-07-02,TLG,47.36,47.62,44.81,44.81,433557
2024-07-03,TLG,47.28,48.13,46.85,47.7,36029
2024-07-04,TLG,47.45,47.53,46.68,47.28,230805
2024-07-05,TLG,46.51,47.96,46.51,47.62,90233
2024-07-08,TLG,46.85,46.85,46.0,46.17,53059
2024-07-09,TLG,46.42,46.94,46.0,46.94,80223
2024-07-10,TLG,46.68,46.68,45.66,46.42,52023
2024-07-11,TLG,46.25,46.68,45.83,46.68,73641
2024-07-12,TLG,45.91,46.25,45.74,45.74,46037
2024-07-15,TLG,46.68,47.7,46.08,46.08,165592
2024-07-16,TLG,47.02,47.62,46.76,46.76,165344
2024-07-17,TLG,47.28,47.53,46.17,47.11,190639
2024-07-18,TLG,47.11,47.28,46.34,47.28,61228
2024-07-19,TLG,46.85,47.11,46.34,47.02,51948
2024-07-22,TLG,46.59,46.59,45.49,46.51,61375
2024-07-23,TLG,46.0,46.59,43.44,46.59,111272
2024-07-24,TLG,45.91,46.0,43.87,45.15,57622
2024-07-25,TLG,45.83,46.0,44.89,45.15,83104
2024-07-26,TLG,45.83,46.34,45.49,45.83,4417
2024-07-29,TLG,45.23,45.83,45.15,45.83,52200
2024-07-30,TLG,45.32,45.83,44.81,45.83,32502
2024-07-31,TLG,46.25,48.13,45.32,48.04,1143410
2024-08-01,TLG,46.0,46.85,45.74,46.59,126977
2024-08-02,TLG,45.74,46.17,44.72,45.57,149600
2024-08-05,TLG,42.55,45.06,42.55,44.72,356954
2024-08-06,TLG,43.44,43.87,42.59,43.61,87467
2024-08-07,TLG,43.78,44.21,43.1,43.53,31413
2024-08-08,TLG,43.87,44.29,43.27,43.78,63599
2024-08-09,TLG,43.87,44.12,43.44,44.12,46056
2024-08-12,TLG,43.87,44.12,43.53,43.61,45913
2024-08-13,TLG,43.87,44.29,43.7,44.12,333995
2024-08-14,TLG,43.87,44.55,43.87,44.04,107912
2024-08-15,TLG,43.78,44.21,43.78,44.21,261876
2024-08-16,TLG,45.06,45.06,43.87,44.04,146851
2024-08-19,TLG,46.76,46.85,45.23,45.32,276137
2024-08-20,TLG,46.68,47.28,46.51,47.28,131926
2024-08-21,TLG,48.04,48.13,46.42,46.42,398595
2024-08-22,TLG,47.28,48.72,47.28,48.3,256494
2024-08-23,TLG,48.47,48.81,47.45,47.96,381148
2024-08-26,TLG,46.42,48.72,46.42,48.72,191739
2024-08-27,TLG,47.79,48.38,46.76,46.85,396005
2024-08-28,TLG,47.7,48.47,47.28,48.04,131754
2024-08-29,TLG,46.84,48.57,46.66,47.7,573576
2024-08-30,TLG,45.71,47.27,45.54,46.84,460969
2024-09-04,TLG,45.97,46.66,45.1,45.71,636024
2024-09-05,TLG,45.97,46.58,45.88,46.32,239624
2024-09-06,TLG,46.66,47.27,45.71,45.97,372491
2024-09-09,TLG,46.14,46.75,45.88,46.75,105136
2024-09-10,TLG,45.88,46.84,45.88,46.14,298971
2024-09-11,TLG,45.28,45.88,45.1,45.62,263726
2024-09-12,TLG,45.71,46.06,45.54,45.88,153452
2024-09-13,TLG,45.62,46.58,45.54,45.88,81643
2024-09-16,TLG,45.71,46.4,45.71,45.88,305741
2024-09-17,TLG,45.97,45.97,45.54,45.97,71800
2024-09-18,TLG,46.23,46.4,45.88,46.23,126336
2024-09-19,TLG,45.8,46.23,45.62,46.23,179859
2024-09-20,TLG,46.75,47.18,45.71,45.97,325705
2024-09-23,TLG,46.4,47.1,45.97,46.84,92450
2024-09-24,TLG,46.84,47.44,45.97,46.4,853943
2024-09-25,TLG,47.7,48.48,46.92,47.36,557992
2024-09-26,TLG,47.79,48.66,47.44,47.7,250134
2024-09-27,TLG,47.53,48.22,47.01,48.22,185645
2024-09-30,TLG,47.44,47.79,46.84,47.7,152680
2024-10-01,TLG,46.84,47.53,46.84,47.53,181381
2024-10-02,TLG,46.66,47.7,46.58,46.84,475024
2024-10-03,TLG,46.14,46.84,45.97,46.66,257720
2024-10-04,TLG,45.28,46.4,45.28,46.14,190530
2024-10-07,TLG,44.84,45.71,44.84,45.45,242996
2024-10-08,TLG,45.02,45.36,44.84,44.93,130553
2024-10-09,TLG,45.71,45.97,45.02,45.1,269113
2024-10-10,TLG,46.14,46.32,45.62,45.8,402042
2024-10-11,TLG,45.8,46.32,45.8,45.88,65554
2024-10-14,TLG,45.19,45.97,44.93,45.97,291223
2024-10-15,TLG,46.23,46.49,45.19,45.19,330331
2024-10-16,TLG,45.88,46.32,45.54,46.23,54543
2024-10-17,TLG,46.23,47.18,45.54,45.88,119571
2024-10-18,TLG,45.97,46.23,45.62,46.06,79376
2024-10-21,TLG,46.49,47.18,45.62,45.97,162605
2024-10-22,TLG,46.4,46.49,45.71,46.23,51268
2024-10-23,TLG,46.32,46.4,45.54,46.4,85231
2024-10-24,TLG,45.71,46.66,45.71,46.23,116663
2024-10-25,TLG,45.62,46.32,45.62,46.32,64502
2024-10-28,TLG,46.14,46.49,45.54,45.62,150250
2024-10-29,TLG,47.36,47.53,45.97,46.14,215739
2024-10-30,TLG,47.79,48.57,47.27,47.7,294102
2024-10-31,TLG,48.22,48.48,47.53,47.88,194226
2024-11-01,TLG,48.05,48.48,47.62,47.88,143613
2024-11-04,TLG,47.88,48.4,47.36,48.22,201908
2024-11-05,TLG,51.0,51.17,47.7,47.7,724203
2024-11-06,TLG,53.78,53.78,50.91,51.0,514994
2024-11-07,TLG,54.64,55.94,53.43,53.95,635266
2024-11-08,TLG,55.51,55.86,53.95,54.64,480913
2024-11-11,TLG,55.51,55.68,54.3,55.51,643057
2024-11-12,TLG,56.2,57.16,55.16,55.51,546454
2024-11-13,TLG,55.94,56.81,54.64,56.2,525371
2024-11-14,TLG,54.75,56.98,54.56,56.01,294259
2024-11-15,TLG,55.63,56.01,53.79,54.27,528048
2024-11-18,TLG,58.34,59.5,55.53,55.53,720711
2024-11-19,TLG,55.92,59.02,55.92,58.34,246622
2024-11-20,TLG,55.63,56.69,52.53,55.34,434134
2024-11-21,TLG,56.98,57.18,55.24,55.34,227516
2024-11-22,TLG,59.79,60.86,56.79,57.56,519768
2024-11-25,TLG,60.08,60.08,58.82,59.79,182195
2024-11-26,TLG,60.96,61.44,59.41,59.6,615072
2024-11-27,TLG,62.31,62.31,59.89,60.47,450617
2024-11-28,TLG,61.83,62.7,61.05,62.31,219084
2024-11-29,TLG,61.73,62.02,60.08,61.83,513165
2024-12-02,TLG,61.54,61.54,58.53,61.34,843090
2024-12-03,TLG,64.54,65.12,60.57,60.57,897911
2024-12-04,TLG,63.77,64.83,62.99,64.83,220793
2024-12-05,TLG,64.74,65.41,62.7,63.67,509439
2024-12-06,TLG,67.26,67.35,63.57,64.74,403445
2024-12-09,TLG,67.35,68.32,66.87,67.74,439662
2024-12-10,TLG,67.84,68.81,66.0,67.26,213020
2024-12-11,TLG,67.74,68.32,67.26,67.84,225014
2024-12-12,TLG,66.67,67.74,66.38,67.74,383766
2024-12-13,TLG,64.93,66.58,64.74,66.58,302616
2024-12-16,TLG,67.35,67.35,64.06,64.93,199156
2024-12-17,TLG,67.45,67.74,65.9,66.77,219397
2024-12-18,TLG,66.38,67.26,65.41,66.96,144286
2024-12-19,TLG,66.38,66.38,63.96,65.41,110612
2024-12-20,TLG,65.9,66.87,64.74,64.93,173646
2024-12-23,TLG,68.71,68.81,65.22,66.09,567705
2024-12-24,TLG,68.61,68.61,67.55,68.61,108923
2024-12-25,TLG,69.0,69.48,67.45,67.55,208604
2024-12-26,TLG,67.45,69.48,67.45,68.42,122117
2024-12-27,TLG,66.96,69.58,65.8,67.45,613120
2024-12-30,TLG,64.93,67.26,64.54,66.87,306404
2024-12-31,TLG,63.86,65.32,62.6,64.64,306712
2025-01-02,TLG,61.44,63.86,60.47,63.77,558355
2025-01-03,TLG,61.05,62.51,59.99,61.83,201198
2025-01-06,TLG,63.38,63.38,59.02,60.76,586966
2025-01-07,TLG,61.93,63.38,61.25,63.38,272982
2025-01-08,TLG,62.41,62.51,60.57,61.25,189141
2025-01-09,TLG,62.02,62.8,61.05,62.02,290465
2025-01-10,TLG,60.18,63.09,60.18,63.09,164752
2025-01-13,TLG,60.96,61.05,59.21,59.21,256045
2025-01-14,TLG,59.7,60.96,57.95,60.96,323555
2025-01-15,TLG,59.31,59.79,56.21,59.79,467205
2025-01-16,TLG,59.02,59.79,58.05,58.92,100383
2025-01-17,TLG,59.41,60.67,58.63,59.02,368409
2025-01-20,TLG,59.41,59.89,58.73,59.89,66000
2025-01-21,TLG,55.82,59.41,55.82,59.41,507913
2025-01-22,TLG,55.92,57.18,55.53,55.72,247967
2025-01-23,TLG,58.05,58.05,55.92,56.01,245126
2025-01-24,TLG,61.05,61.05,57.86,58.05,370358
2025-02-03,TLG,59.02,60.96,58.24,60.96,218813
2025-02-04,TLG,59.02,59.89,58.44,59.89,151016
2025-02-05,TLG,60.08,60.57,58.44,58.44,202140
2025-02-06,TLG,60.47,60.57,58.92,60.28,142379
2025-02-07,TLG,60.96,61.83,60.08,60.57,175461
2025-02-10,TLG,60.96,61.54,59.7,60.47,281042
2025-02-11,TLG,60.57,61.05,60.08,60.37,136979
2025-02-12,TLG,60.76,61.34,60.08,60.08,98112
2025-02-13,TLG,59.99,60.76,59.89,60.76,132810
2025-02-14,TLG,59.5,60.57,59.5,60.18,126225
2025-02-17,TLG,60.28,60.76,59.7,60.28,124241
2025-02-18,TLG,62.7,62.7,59.6,60.57,411940
2025-02-19,TLG,62.8,63.19,62.02,63.19,164382
2025-02-20,TLG,62.02,62.99,61.54,62.99,197568
2025-02-21,TLG,63.96,63.96,61.34,62.02,365352
2025-02-24,TLG,62.8,64.54,61.54,63.96,259812
2025-02-25,TLG,62.31,62.7,61.73,62.7,95193
2025-02-26,TLG,61.44,62.7,61.44,62.7,200548
2025-02-27,TLG,63.48,63.48,61.44,61.44,256265
2025-02-28,TLG,62.8,63.57,62.6,63.57,152175
2025-03-03,TLG,62.89,63.86,62.12,62.12,110668
2025-03-04,TLG,61.73,62.6,61.25,62.6,148117
2025-03-05,TLG,60.08,61.63,60.08,61.05,145199
2025-03-06,TLG,61.83,61.83,59.41,60.08,115988
2025-03-07,TLG,61.15,61.73,61.05,61.54,90535
2025-03-10,TLG,60.86,61.34,60.57,61.15,137604
2025-03-11,TLG,60.08,60.57,59.99,60.37,112885
2025-03-12,TLG,61.44,61.83,60.08,60.76,141170
2025-03-13,TLG,61.05,61.44,60.67,60.67,97303
2025-03-14,TLG,60.18,61.44,60.08,61.44,80099
2025-03-17,TLG,58.44,60.18,58.24,60.18,136818
2025-03-18,TLG,57.86,58.44,57.18,58.44,85228
2025-03-19,TLG,58.15,59.12,57.18,57.18,53905
2025-03-20,TLG,56.69,58.53,56.69,57.95,67403
2025-03-21,TLG,57.18,57.66,56.5,56.5,84334
2025-03-24,TLG,57.08,57.86,56.6,57.86,53163
2025-03-25,TLG,57.18,57.66,56.89,57.56,47556
2025-03-26,TLG,55.14,56.98,55.04,56.98,156397
2025-03-27,TLG,56.01,56.98,55.14,55.14,88187
2025-03-28,TLG,56.11,56.21,54.37,56.01,122422
2025-03-31,TLG,55.24,56.11,54.85,56.11,56005
