Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,TNG,18.92,19.34,18.75,19.26,2549503
2024-03-11,TNG,18.42,19.09,18.33,18.92,3037665
2024-03-12,TNG,19.01,19.09,18.25,18.42,2784065
2024-03-13,TNG,19.34,19.68,18.92,19.01,3109916
2024-03-14,TNG,19.18,19.77,19.09,19.43,2080024
2024-03-15,TNG,18.92,19.26,18.67,19.18,3451547
2024-03-18,TNG,18.33,19.01,17.74,18.92,4296802
2024-03-19,TNG,18.16,18.58,18.16,18.33,1026775
2024-03-20,TNG,18.42,18.42,18.08,18.16,1261350
2024-03-21,TNG,18.58,18.75,18.42,18.42,1764818
2024-03-22,TNG,18.58,18.92,18.5,18.67,2031798
2024-03-25,TNG,18.33,18.67,18.25,18.5,1895764
2024-03-26,TNG,18.5,18.5,18.16,18.16,1635980
2024-03-27,TNG,19.26,19.34,18.5,18.5,4366960
2024-03-28,TNG,19.01,19.34,18.92,19.26,1277111
2024-03-29,TNG,18.75,19.18,18.75,18.84,1766158
2024-04-01,TNG,18.84,18.92,18.58,18.67,1597137
2024-04-02,TNG,19.6,19.77,18.58,18.92,4274796
2024-04-03,TNG,19.18,19.68,19.09,19.6,1723247
2024-04-04,TNG,19.01,19.26,18.92,19.18,2050197
2024-04-05,TNG,18.5,19.09,18.5,18.84,2413436
2024-04-08,TNG,18.33,18.67,18.33,18.67,1247841
2024-04-09,TNG,18.75,18.75,18.08,18.25,1326592
2024-04-10,TNG,18.67,18.75,18.42,18.75,869958
2024-04-11,TNG,18.5,18.58,18.25,18.5,950038
2024-04-12,TNG,18.84,18.84,18.5,18.5,1290586
2024-04-15,TNG,16.98,18.84,16.98,18.84,3224136
2024-04-16,TNG,17.06,17.4,16.47,16.98,2882325
2024-04-17,TNG,16.89,17.32,16.73,17.06,1138990
2024-04-19,TNG,16.64,16.89,16.13,16.89,1977015
2024-04-22,TNG,17.06,17.15,16.64,16.64,878585
2024-04-23,TNG,16.89,17.06,16.64,17.06,940342
2024-04-24,TNG,17.4,17.4,16.81,16.98,1439343
2024-04-25,TNG,16.98,17.4,16.89,17.4,857604
2024-04-26,TNG,16.98,17.32,16.89,16.98,1131029
2024-05-02,TNG,17.06,17.06,16.81,16.98,494791
2024-05-03,TNG,17.06,17.32,17.06,17.06,735131
2024-05-06,TNG,17.32,17.4,17.06,17.15,1373444
2024-05-07,TNG,18.42,18.42,17.32,17.32,2979573
2024-05-08,TNG,19.01,19.18,17.91,18.42,4054994
2024-05-09,TNG,18.5,19.18,18.33,19.01,2134514
2024-05-10,TNG,18.92,18.92,18.33,18.5,3054375
2024-05-13,TNG,19.01,19.68,18.67,19.01,3543391
2024-05-14,TNG,18.84,19.09,18.67,19.01,1728785
2024-05-15,TNG,20.7,20.7,18.92,18.92,8615679
2024-05-16,TNG,21.29,21.88,21.03,21.12,5525451
2024-05-17,TNG,21.46,21.88,21.03,21.29,4340247
2024-05-20,TNG,22.22,22.64,21.12,21.12,4061466
2024-05-21,TNG,22.13,22.81,21.79,22.22,4916182
2024-05-22,TNG,21.63,22.3,21.37,22.13,4052195
2024-05-23,TNG,21.88,22.3,21.54,21.63,2403177
2024-05-24,TNG,21.37,22.72,20.27,21.96,7162163
2024-05-27,TNG,21.46,21.54,21.12,21.37,1860464
2024-05-28,TNG,21.71,22.39,21.54,21.54,3494161
2024-05-29,TNG,21.46,22.3,21.46,22.05,3798477
2024-05-30,TNG,21.71,21.71,20.36,21.46,6498976
2024-05-31,TNG,22.47,23.23,21.46,21.79,7224653
2024-06-03,TNG,22.3,22.89,22.22,22.64,2835391
2024-06-04,TNG,22.13,22.72,22.13,22.72,3482518
2024-06-05,TNG,21.88,22.72,21.88,22.05,4128443
2024-06-06,TNG,21.96,22.39,21.54,21.88,2166232
2024-06-07,TNG,22.3,22.39,21.88,22.13,2484989
2024-06-10,TNG,22.98,23.65,21.96,22.3,6523599
2024-06-11,TNG,22.81,23.15,22.47,22.98,2736874
2024-06-12,TNG,22.81,22.89,22.39,22.47,1840386
2024-06-13,TNG,22.81,23.23,22.55,22.81,2893391
2024-06-14,TNG,21.54,22.89,21.54,22.81,4340486
2024-06-17,TNG,21.54,21.71,19.43,19.43,3250431
2024-06-18,TNG,21.63,21.88,21.54,21.54,1796092
2024-06-19,TNG,21.54,22.13,21.54,21.63,2441848
2024-06-20,TNG,21.71,21.79,20.95,21.63,2696839
2024-06-21,TNG,22.13,22.64,21.79,21.79,3290321
2024-06-24,TNG,20.95,22.13,20.95,22.13,2817682
2024-06-25,TNG,21.46,21.46,20.53,21.03,1698627
2024-06-26,TNG,21.71,21.71,20.95,21.46,1656634
2024-06-27,TNG,22.3,22.39,21.54,21.71,3923381
2024-06-28,TNG,21.96,22.39,21.37,22.3,2793800
2024-07-01,TNG,23.23,23.4,21.71,21.96,5611768
2024-07-02,TNG,23.06,23.4,22.89,23.23,1842578
2024-07-03,TNG,22.81,23.57,20.78,20.78,4448692
2024-07-04,TNG,23.15,23.23,22.64,22.81,2133604
2024-07-05,TNG,23.31,24.24,23.15,23.15,4964149
2024-07-08,TNG,23.74,23.82,22.72,23.23,4774387
2024-07-09,TNG,23.4,24.16,23.31,23.74,3256946
2024-07-10,TNG,23.23,23.82,23.06,23.4,3203544
2024-07-11,TNG,22.89,23.48,22.81,23.23,3570444
2024-07-12,TNG,23.36,24.09,23.08,23.72,2897060
2024-07-15,TNG,23.54,23.81,23.26,23.36,1334877
2024-07-16,TNG,23.26,23.99,23.26,23.54,1898448
2024-07-17,TNG,22.44,23.54,21.44,23.26,3666318
2024-07-18,TNG,22.99,22.99,22.26,22.35,1719260
2024-07-19,TNG,23.36,23.54,22.63,22.99,3044935
2024-07-22,TNG,22.54,23.36,22.44,23.36,2169001
2024-07-23,TNG,21.44,22.9,21.44,22.81,2714815
2024-07-24,TNG,22.17,22.44,20.98,21.44,2474767
2024-07-25,TNG,22.35,22.35,21.81,22.35,1172144
2024-07-26,TNG,22.54,22.54,22.17,22.35,1135540
2024-07-29,TNG,23.81,23.99,22.54,22.54,4583311
2024-07-30,TNG,23.63,23.99,23.17,23.72,2310285
2024-07-31,TNG,23.54,23.72,22.99,23.63,2549116
2024-08-01,TNG,22.54,23.63,21.62,23.54,5610118
2024-08-02,TNG,22.9,22.99,21.71,22.44,2116032
2024-08-05,TNG,21.9,22.9,21.08,22.81,3137874
2024-08-06,TNG,22.63,22.81,21.53,21.9,3137668
2024-08-07,TNG,22.81,23.26,22.26,23.26,1317388
2024-08-08,TNG,23.72,24.54,22.81,22.81,8661029
2024-08-09,TNG,24.18,24.36,23.54,23.72,2595023
2024-08-12,TNG,25.09,25.45,24.36,24.36,4526805
2024-08-13,TNG,25.18,25.18,24.45,25.09,3767890
2024-08-14,TNG,24.72,25.73,24.72,25.18,2540547
2024-08-15,TNG,24.72,25.0,24.36,24.72,1985340
2024-08-16,TNG,26.02,26.11,24.73,24.91,5114860
2024-08-19,TNG,25.84,26.3,25.74,26.21,1999692
2024-08-20,TNG,25.93,26.02,25.56,26.02,3003705
2024-08-21,TNG,26.11,26.39,25.65,25.93,2902772
2024-08-22,TNG,26.02,26.21,25.84,26.21,1150765
2024-08-23,TNG,26.21,26.21,25.74,26.02,1945259
2024-08-26,TNG,25.56,26.58,25.56,26.21,2491893
2024-08-27,TNG,25.93,26.21,25.28,25.56,2542484
2024-08-28,TNG,25.93,26.86,25.47,26.86,1452433
2024-08-29,TNG,25.65,25.93,25.37,25.93,1574495
2024-08-30,TNG,25.19,25.56,24.36,25.56,6581251
2024-09-04,TNG,24.54,25.47,24.36,25.47,2128970
2024-09-05,TNG,23.98,24.82,23.8,24.54,3656662
2024-09-06,TNG,24.63,24.63,23.89,24.08,2661337
2024-09-09,TNG,24.54,24.63,24.17,24.63,1109830
2024-09-10,TNG,24.54,24.63,24.08,24.54,1959268
2024-09-11,TNG,24.45,24.63,24.08,24.54,1555925
2024-09-12,TNG,24.26,24.63,24.26,24.54,1048829
2024-09-13,TNG,24.08,24.36,23.98,24.36,1173983
2024-09-16,TNG,23.34,24.17,23.34,24.08,3368289
2024-09-17,TNG,23.8,23.8,22.87,23.34,2564774
2024-09-18,TNG,23.71,23.89,23.61,23.8,1206118
2024-09-19,TNG,24.26,24.26,23.43,23.71,2427653
2024-09-20,TNG,24.17,24.63,24.08,24.36,1667689
2024-09-23,TNG,24.08,24.26,23.89,24.26,1112394
2024-09-24,TNG,24.08,24.26,23.89,24.08,1253419
2024-09-25,TNG,24.45,24.63,23.98,24.08,2489706
2024-09-26,TNG,24.45,24.73,24.26,24.45,2325501
2024-09-27,TNG,23.98,24.54,23.98,24.45,2358030
2024-09-30,TNG,24.45,24.45,23.61,23.89,2152810
2024-10-01,TNG,24.26,24.73,24.17,24.45,2205834
2024-10-02,TNG,24.08,24.26,23.89,24.26,1681830
2024-10-03,TNG,23.52,24.08,23.24,24.08,3292892
2024-10-04,TNG,22.87,23.52,22.87,23.52,2344982
2024-10-07,TNG,22.87,23.24,22.5,22.87,2212625
2024-10-08,TNG,22.32,22.97,22.23,22.97,2672631
2024-10-09,TNG,22.78,22.78,22.32,22.5,1091733
2024-10-10,TNG,22.69,22.97,22.5,22.78,940336
2024-10-11,TNG,22.6,22.78,22.32,22.6,1458347
2024-10-14,TNG,22.69,22.78,21.21,22.23,892328
2024-10-15,TNG,22.32,22.78,22.32,22.69,893815
2024-10-16,TNG,22.32,22.5,22.13,22.32,995688
2024-10-17,TNG,23.15,23.24,22.41,22.5,4708079
2024-10-18,TNG,23.06,23.43,22.97,23.15,1045652
2024-10-21,TNG,22.6,23.15,22.6,23.06,1536683
2024-10-22,TNG,22.6,22.69,22.32,22.6,1732832
2024-10-23,TNG,22.69,22.69,22.41,22.41,749011
2024-10-24,TNG,22.41,22.87,22.41,22.69,794853
2024-10-25,TNG,22.41,22.6,22.32,22.41,598704
2024-10-28,TNG,22.78,22.78,22.41,22.5,1035606
2024-10-29,TNG,23.24,23.34,22.78,22.78,1815136
2024-10-30,TNG,23.15,23.34,20.93,20.93,1363588
2024-10-31,TNG,23.52,23.71,22.87,23.15,1747802
2024-11-01,TNG,22.97,23.52,22.97,23.52,1387232
2024-11-04,TNG,23.06,23.24,22.6,22.97,1070651
2024-11-05,TNG,23.15,23.34,22.87,23.06,987313
2024-11-06,TNG,23.71,23.98,23.15,23.15,3576250
2024-11-07,TNG,23.61,23.98,23.43,23.89,1630307
2024-11-08,TNG,23.9,24.18,23.61,23.71,3155473
2024-11-11,TNG,24.37,24.74,23.9,23.9,3784655
2024-11-12,TNG,24.09,24.56,23.9,24.37,1743570
2024-11-13,TNG,23.8,24.09,23.43,24.09,3154550
2024-11-14,TNG,23.99,24.27,23.71,23.8,2954966
2024-11-15,TNG,23.52,23.9,23.24,23.9,2194412
2024-11-18,TNG,23.33,23.52,22.86,23.52,1802996
2024-11-19,TNG,22.58,23.43,22.58,23.24,1664218
2024-11-20,TNG,22.77,23.14,22.02,22.58,1960734
2024-11-21,TNG,23.05,23.05,22.67,22.77,851058
2024-11-22,TNG,22.86,23.52,22.77,23.24,1327273
2024-11-25,TNG,23.43,23.52,22.96,22.96,1849839
2024-11-26,TNG,23.43,23.61,22.86,22.86,1691689
2024-11-27,TNG,23.33,23.43,23.14,23.43,989535
2024-11-28,TNG,23.33,23.71,23.24,23.33,1178294
2024-11-29,TNG,23.52,23.99,23.24,23.24,3334413
2024-12-02,TNG,23.71,23.8,23.43,23.61,932859
2024-12-03,TNG,23.52,23.8,23.43,23.71,1401594
2024-12-04,TNG,23.14,23.52,23.05,23.52,1825420
2024-12-05,TNG,23.8,23.8,22.86,23.14,2453205
2024-12-06,TNG,24.09,24.46,23.71,23.9,3799661
2024-12-09,TNG,24.09,24.27,23.71,23.71,1658398
2024-12-10,TNG,23.8,24.18,23.71,23.71,1904509
2024-12-11,TNG,23.71,23.99,23.52,23.8,1738173
2024-12-12,TNG,24.18,24.56,23.61,23.71,4097518
2024-12-13,TNG,23.8,24.27,23.71,24.18,1548179
2024-12-16,TNG,23.61,23.99,23.61,23.8,865843
2024-12-17,TNG,24.09,24.09,23.61,23.8,1562130
2024-12-18,TNG,24.09,24.37,23.61,23.8,1305070
2024-12-19,TNG,24.46,24.84,23.61,23.9,5131646
2024-12-20,TNG,24.74,25.31,24.37,24.46,3585919
2024-12-23,TNG,24.74,25.03,24.56,24.74,2072666
2024-12-24,TNG,24.93,24.93,24.46,24.74,2805252
2024-12-25,TNG,24.74,25.12,24.46,24.84,2452626
2024-12-26,TNG,24.46,24.74,24.46,24.74,1398665
2024-12-27,TNG,24.09,24.74,24.09,24.46,2536348
2024-12-30,TNG,23.71,24.18,23.71,24.09,1863260
2024-12-31,TNG,23.71,23.9,23.61,23.71,1318381
2025-01-02,TNG,23.9,24.09,23.71,23.71,685430
2025-01-03,TNG,23.9,24.56,23.9,23.99,2234318
2025-01-06,TNG,22.77,24.09,22.49,23.9,3976583
2025-01-07,TNG,22.77,23.05,22.49,22.67,2079413
2025-01-08,TNG,22.86,22.96,22.58,22.77,969087
2025-01-09,TNG,22.77,23.05,22.77,22.86,658953
2025-01-10,TNG,22.3,22.86,22.3,22.77,1617981
2025-01-13,TNG,22.2,22.68,21.44,22.68,1665166
2025-01-14,TNG,22.11,22.3,22.01,22.11,585621
2025-01-15,TNG,22.3,22.39,21.92,22.2,896018
2025-01-16,TNG,22.2,22.59,20.1,20.1,680988
2025-01-17,TNG,22.59,22.59,22.2,22.3,604965
2025-01-20,TNG,22.39,22.68,22.3,22.59,728371
2025-01-21,TNG,22.3,22.68,22.3,22.39,736501
2025-01-22,TNG,22.59,22.78,22.3,22.49,1098399
2025-01-23,TNG,22.78,22.87,22.59,22.59,722922
2025-01-24,TNG,22.97,23.06,22.68,22.78,752596
2025-02-03,TNG,23.16,23.16,22.59,22.97,668449
2025-02-04,TNG,23.26,23.35,23.06,23.16,733269
2025-02-05,TNG,23.06,23.35,23.06,23.26,945325
2025-02-06,TNG,22.97,23.26,22.87,23.16,961369
2025-02-07,TNG,22.87,23.16,22.78,23.06,717406
2025-02-10,TNG,22.2,22.87,22.2,22.87,1686328
2025-02-11,TNG,22.01,22.39,20.0,20.0,2263816
2025-02-12,TNG,21.72,22.2,21.63,22.2,913399
2025-02-13,TNG,22.11,22.2,21.63,21.72,1350080
2025-02-14,TNG,22.3,22.87,22.11,22.11,1665971
2025-02-17,TNG,22.3,22.59,22.2,22.3,1000410
2025-02-18,TNG,22.2,22.49,22.11,22.11,957805
2025-02-19,TNG,22.3,22.39,20.0,20.0,1126766
2025-02-20,TNG,22.3,22.68,22.3,22.39,1030305
2025-02-21,TNG,22.39,22.49,22.2,22.49,738234
2025-02-24,TNG,22.01,22.39,21.82,22.39,1595179
2025-02-25,TNG,22.2,22.2,21.92,22.11,1110985
2025-02-26,TNG,22.3,22.49,22.01,22.2,1071188
2025-02-27,TNG,22.3,22.39,22.11,22.3,912292
2025-02-28,TNG,22.49,22.78,22.2,22.3,1451969
2025-03-03,TNG,22.39,22.78,22.3,22.49,1467558
2025-03-04,TNG,22.2,22.49,22.11,22.39,1320583
2025-03-05,TNG,21.92,22.3,20.0,20.0,1043189
2025-03-06,TNG,22.01,22.11,21.82,21.92,1001036
2025-03-07,TNG,22.01,22.3,22.01,22.2,715738
2025-03-10,TNG,21.72,22.11,21.72,22.01,1022888
2025-03-11,TNG,21.63,21.82,21.44,21.82,1225228
2025-03-12,TNG,21.92,22.01,21.63,21.72,1075520
2025-03-13,TNG,21.72,22.3,21.72,22.01,945048
2025-03-14,TNG,21.53,21.82,21.44,21.72,868890
2025-03-17,TNG,21.34,21.63,21.25,21.53,1001384
2025-03-18,TNG,21.34,21.53,21.25,21.34,859684
2025-03-19,TNG,20.77,21.44,20.1,20.1,1078728
2025-03-20,TNG,20.58,20.96,18.76,20.1,973159
2025-03-21,TNG,20.58,20.67,19.33,20.19,430129
2025-03-24,TNG,20.29,20.58,20.19,20.19,700911
2025-03-25,TNG,20.77,20.86,18.28,18.28,1480005
2025-03-26,TNG,20.96,20.96,20.58,20.96,815773
2025-03-27,TNG,21.05,21.34,20.67,20.67,1815768
2025-03-28,TNG,20.96,21.15,20.67,21.05,477509
2025-03-31,TNG,20.96,21.25,20.77,20.86,937238
2025-04-01,TNG,21.05,21.15,20.77,20.96,881733
2025-04-02,TNG,21.15,21.25,20.96,21.05,595645
2025-04-03,TNG,19.04,20.58,19.04,20.1,2165095
2025-04-04,TNG,17.23,19.04,17.23,17.32,728899
2025-04-08,TNG,15.5,15.5,15.5,15.5,969634
2025-04-09,TNG,13.97,13.97,13.97,13.97,798957
2025-04-10,TNG,15.31,15.31,12.63,14.36,1051655
2025-04-11,TNG,15.5,16.84,14.36,16.75,3893541
2025-04-14,TNG,15.98,16.27,14.83,14.83,1883706
2025-04-15,TNG,15.31,16.17,15.12,15.98,999604
2025-04-16,TNG,14.36,15.31,14.26,15.31,1509103
2025-04-17,TNG,14.55,14.83,13.97,13.97,1132294
2025-04-18,TNG,15.41,15.6,13.97,13.97,1266556
2025-04-21,TNG,15.5,15.89,15.41,15.41,1295072
2025-04-22,TNG,14.93,15.5,13.97,15.41,2265814
2025-04-23,TNG,15.5,15.5,13.49,13.49,836904
2025-04-24,TNG,15.79,16.46,15.6,15.6,1724399
2025-04-25,TNG,15.89,16.27,15.89,15.89,894337
2025-04-28,TNG,15.89,16.17,15.79,15.89,923033
2025-04-29,TNG,15.89,16.08,15.79,16.08,866333
