Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,TRC,36.07,36.17,36.07,36.17,600
2024-03-11,TRC,36.17,38.07,33.82,35.97,1702
2024-03-12,TRC,37.54,37.63,34.46,34.46,10100
2024-03-13,TRC,37.34,37.54,37.34,37.49,931
2024-03-14,TRC,37.88,38.12,37.34,37.73,11820
2024-03-15,TRC,37.49,38.07,37.49,38.02,2300
2024-03-18,TRC,38.07,38.12,35.53,38.12,14400
2024-03-19,TRC,38.02,38.42,38.02,38.02,59212
2024-03-20,TRC,37.98,37.98,36.17,36.85,4500
2024-03-21,TRC,37.93,37.93,36.66,37.24,13800
2024-03-22,TRC,37.93,37.93,36.9,36.9,701
2024-03-25,TRC,37.93,37.93,37.93,37.93,0
2024-03-26,TRC,37.98,37.98,36.46,37.88,10000
2024-03-27,TRC,38.02,38.27,37.58,38.12,28018
2024-03-28,TRC,38.02,38.17,38.02,38.12,9100
2024-03-29,TRC,37.93,37.93,37.93,37.93,2000
2024-04-01,TRC,37.58,38.07,37.54,38.07,12100
2024-04-02,TRC,38.12,38.17,37.44,37.44,25607
2024-04-03,TRC,37.54,37.83,37.54,37.83,3000
2024-04-04,TRC,37.58,37.63,37.24,37.63,7900
2024-04-05,TRC,37.39,37.73,37.39,37.63,3700
2024-04-08,TRC,38.12,38.17,38.12,38.12,18600
2024-04-09,TRC,40.66,40.76,38.12,38.12,37310
2024-04-10,TRC,41.4,41.74,41.4,41.74,3204
2024-04-11,TRC,41.06,41.06,39.1,40.76,20308
2024-04-12,TRC,41.06,41.06,40.57,40.57,1105
2024-04-15,TRC,39.98,39.98,38.61,39.74,25907
2024-04-16,TRC,38.61,39.98,38.12,39.88,5701
2024-04-17,TRC,39.2,39.59,39.1,39.59,2800
2024-04-19,TRC,40.52,40.66,39.1,40.66,13301
2024-04-22,TRC,40.57,40.57,40.57,40.57,109
2024-04-23,TRC,40.08,41.06,40.08,40.08,1301
2024-04-24,TRC,40.18,40.18,40.08,40.18,1007
2024-04-25,TRC,40.62,40.62,39.69,39.69,300
2024-04-26,TRC,40.91,40.91,40.91,40.91,600
2024-05-02,TRC,40.91,40.91,40.08,40.08,1400
2024-05-03,TRC,41.06,41.06,41.06,41.06,2300
2024-05-06,TRC,41.06,41.54,41.06,41.35,3725
2024-05-07,TRC,41.4,41.4,41.4,41.4,100
2024-05-08,TRC,41.06,41.06,41.06,41.06,1000
2024-05-09,TRC,41.06,41.06,41.06,41.06,500
2024-05-10,TRC,39.78,40.08,39.69,40.08,2400
2024-05-13,TRC,40.08,40.18,40.08,40.08,2200
2024-05-14,TRC,40.18,40.18,40.08,40.18,5100
2024-05-15,TRC,41.45,41.45,39.88,40.18,3300
2024-05-16,TRC,40.57,41.45,40.57,41.45,900
2024-05-17,TRC,40.57,41.06,40.57,40.57,4460
2024-05-20,TRC,42.52,42.52,40.37,40.37,41700
2024-05-21,TRC,41.1,42.52,40.57,42.52,13909
2024-05-22,TRC,40.96,41.1,40.57,41.1,16000
2024-05-23,TRC,41.4,41.54,40.57,40.57,46301
2024-05-24,TRC,40.37,40.66,40.37,40.66,1000
2024-05-27,TRC,41.54,41.54,40.57,40.57,36000
2024-05-28,TRC,42.13,42.13,41.54,41.54,13511
2024-05-29,TRC,42.52,42.57,42.03,42.13,8221
2024-05-30,TRC,42.03,42.03,41.06,42.03,6500
2024-05-31,TRC,42.03,42.03,42.03,42.03,0
2024-06-03,TRC,41.54,41.59,41.54,41.59,14601
2024-06-04,TRC,41.25,41.54,41.25,41.54,11100
2024-06-05,TRC,41.35,41.35,41.35,41.35,1000
2024-06-06,TRC,41.15,41.35,41.06,41.35,25942
2024-06-07,TRC,41.35,42.03,41.2,41.25,11000
2024-06-10,TRC,41.54,42.03,41.54,42.03,7000
2024-06-11,TRC,41.25,41.93,41.25,41.93,2002
2024-06-12,TRC,41.84,41.84,41.84,41.84,101
2024-06-13,TRC,42.03,42.03,41.49,41.59,43754
2024-06-14,TRC,42.03,42.03,42.03,42.03,100
2024-06-17,TRC,43.5,43.5,41.89,41.89,20600
2024-06-18,TRC,42.37,43.69,42.37,43.4,13800
2024-06-19,TRC,43.6,43.89,42.37,42.37,5400
2024-06-20,TRC,42.72,43.6,42.42,43.6,26200
2024-06-21,TRC,42.37,42.37,42.37,42.37,2500
2024-06-24,TRC,43.01,43.01,42.13,42.37,5000
2024-06-25,TRC,41.79,42.96,41.64,42.96,46300
2024-06-26,TRC,42.96,44.62,42.96,43.99,11000
2024-06-27,TRC,43.4,43.4,42.33,42.77,24100
2024-06-28,TRC,42.72,42.81,42.67,42.81,8300
2024-07-01,TRC,42.72,42.72,42.72,42.72,0
2024-07-02,TRC,42.72,43.94,42.72,43.94,901
2024-07-03,TRC,42.72,43.4,42.72,42.91,5308
2024-07-04,TRC,40.96,42.28,40.86,42.28,49700
2024-07-05,TRC,40.86,41.49,40.86,41.45,10614
2024-07-08,TRC,41.4,41.54,41.06,41.35,18101
2024-07-09,TRC,41.06,41.93,41.06,41.35,51308
2024-07-10,TRC,41.06,41.06,40.96,40.96,18201
2024-07-11,TRC,40.96,41.06,40.86,41.06,24208
2024-07-12,TRC,41.01,41.06,40.71,40.71,11600
2024-07-15,TRC,41.01,41.06,41.01,41.01,8600
2024-07-16,TRC,41.01,41.06,41.01,41.06,10600
2024-07-17,TRC,40.13,41.01,40.13,41.01,18600
2024-07-18,TRC,40.03,40.13,39.69,40.13,7400
2024-07-19,TRC,40.32,40.32,39.69,39.88,900
2024-07-22,TRC,39.1,40.08,39.1,40.08,58200
2024-07-23,TRC,38.71,40.81,38.71,40.81,1400
2024-07-24,TRC,39.1,39.1,39.1,39.1,200
2024-07-25,TRC,39.49,39.49,39.1,39.1,500
2024-07-26,TRC,39.1,39.83,38.42,39.83,2200
2024-07-29,TRC,39.1,39.1,39.1,39.1,120
2024-07-30,TRC,39.1,39.1,39.1,39.1,0
2024-07-31,TRC,39.1,39.1,39.1,39.1,0
2024-08-01,TRC,39.0,39.98,38.12,38.76,1300
2024-08-02,TRC,39.1,39.1,37.15,37.15,600
2024-08-05,TRC,36.36,38.61,36.36,38.32,29300
2024-08-06,TRC,38.02,38.02,38.02,38.02,100
2024-08-07,TRC,38.02,38.02,38.02,38.02,10
2024-08-08,TRC,36.17,37.34,36.17,36.17,2400
2024-08-09,TRC,36.27,37.63,36.27,37.63,5100
2024-08-12,TRC,36.27,36.36,36.27,36.27,1800
2024-08-13,TRC,36.41,37.73,36.41,37.73,1501
2024-08-14,TRC,37.63,37.83,36.75,37.83,610
2024-08-15,TRC,37.24,37.24,35.87,35.87,2700
