Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,TVS,21.86,22.64,21.77,22.27,271096
2024-03-11,TVS,22.09,22.59,21.82,22.41,153336
2024-03-12,TVS,22.0,22.41,21.91,22.09,118919
2024-03-13,TVS,22.73,23.09,21.73,22.0,311180
2024-03-14,TVS,22.64,23.14,22.5,23.14,168022
2024-03-15,TVS,22.91,23.09,21.91,22.5,174397
2024-03-18,TVS,22.0,22.91,21.55,22.91,240776
2024-03-19,TVS,22.14,22.45,21.77,22.45,93639
2024-03-20,TVS,22.36,22.55,21.95,22.14,128406
2024-03-21,TVS,22.55,22.82,22.36,22.82,126354
2024-03-22,TVS,22.45,22.64,22.36,22.64,46720
2024-03-25,TVS,22.59,23.64,22.32,22.45,100763
2024-03-26,TVS,22.55,22.55,21.91,22.45,19800
2024-03-27,TVS,22.55,23.09,22.41,22.68,47990
2024-03-28,TVS,22.73,23.14,22.45,22.59,69621
2024-03-29,TVS,22.68,22.73,22.45,22.73,24420
2024-04-01,TVS,22.55,22.64,22.23,22.64,43850
2024-04-02,TVS,22.41,22.64,22.27,22.64,81797
2024-04-03,TVS,22.27,22.64,22.27,22.64,72380
2024-04-04,TVS,22.0,22.32,21.82,22.32,88909
2024-04-05,TVS,22.0,22.18,21.82,21.82,47524
2024-04-08,TVS,21.64,22.0,21.59,22.0,30305
2024-04-09,TVS,22.09,22.09,21.45,21.55,50686
2024-04-10,TVS,21.77,22.27,21.73,22.09,34400
2024-04-11,TVS,21.68,21.86,21.64,21.77,21716
2024-04-12,TVS,21.73,21.95,21.68,21.82,24231
2024-04-15,TVS,20.36,22.27,20.36,22.27,89885
2024-04-16,TVS,20.09,20.73,19.64,20.41,174869
2024-04-17,TVS,19.91,20.36,19.86,20.09,53122
2024-04-19,TVS,19.5,20.0,18.59,19.82,75824
2024-04-22,TVS,20.73,20.86,19.68,20.86,138834
2024-04-23,TVS,21.09,21.36,20.73,20.73,74411
2024-04-24,TVS,21.45,21.73,21.18,21.73,94384
2024-04-25,TVS,21.36,21.5,21.0,21.0,122348
2024-04-26,TVS,21.36,21.73,20.91,21.36,46159
2024-05-02,TVS,21.82,22.0,21.36,21.82,51967
2024-05-03,TVS,21.68,22.0,21.68,22.0,68960
2024-05-06,TVS,22.27,22.27,21.68,21.77,113770
2024-05-07,TVS,22.05,22.55,22.05,22.55,71015
2024-05-08,TVS,21.68,22.05,21.68,22.0,103805
2024-05-09,TVS,21.64,22.0,21.64,21.77,33970
2024-05-10,TVS,21.82,22.05,21.64,21.64,108295
2024-05-13,TVS,21.59,22.27,21.59,21.73,62890
2024-05-14,TVS,21.73,21.77,21.27,21.59,116561
2024-05-15,TVS,22.09,22.23,21.5,21.64,114918
2024-05-16,TVS,21.95,22.36,21.95,22.27,131999
2024-05-17,TVS,21.73,22.0,21.73,21.95,96824
2024-05-20,TVS,21.73,21.86,21.68,21.82,144987
2024-05-21,TVS,21.59,21.91,21.32,21.64,61609
2024-05-22,TVS,21.68,22.09,21.68,21.68,66558
2024-05-23,TVS,21.68,21.73,21.45,21.68,113514
2024-05-24,TVS,20.91,21.82,20.91,21.82,228762
2024-05-27,TVS,21.0,21.27,20.0,20.91,210542
2024-05-28,TVS,20.86,21.18,20.77,21.18,138395
2024-05-29,TVS,20.77,20.91,20.77,20.91,67945
2024-05-30,TVS,20.5,20.73,20.14,20.5,122626
2024-05-31,TVS,20.45,21.09,20.18,20.18,129714
2024-06-03,TVS,21.5,21.8,20.95,21.0,214357
2024-06-04,TVS,21.7,22.0,21.2,21.5,885639
2024-06-05,TVS,23.2,23.2,21.8,21.8,1178037
2024-06-06,TVS,24.8,24.8,23.2,23.6,1936882
2024-06-07,TVS,25.3,26.0,24.3,25.0,1299864
2024-06-10,TVS,25.3,25.5,24.5,25.0,1348382
2024-06-11,TVS,26.0,26.9,25.65,26.3,1669513
2024-06-12,TVS,25.55,26.4,25.5,26.0,1016426
2024-06-13,TVS,27.2,27.3,25.55,25.7,2159003
2024-06-14,TVS,25.5,28.1,25.5,27.3,1413060
2024-06-17,TVS,26.5,27.0,25.5,25.7,1742367
2024-06-18,TVS,27.05,27.75,26.55,26.9,1805531
2024-06-19,TVS,27.1,27.75,26.3,27.6,1654678
2024-06-20,TVS,26.95,27.45,25.8,27.45,1160149
2024-06-21,TVS,25.9,27.0,25.9,26.8,1278913
2024-06-24,TVS,24.1,25.95,24.1,25.95,2683272
2024-06-25,TVS,23.95,24.3,23.65,23.65,631155
2024-06-26,TVS,24.3,24.6,23.45,24.25,1224690
2024-06-27,TVS,24.4,24.5,23.8,24.2,385680
2024-06-28,TVS,23.05,24.4,22.8,24.1,908584
2024-07-01,TVS,23.3,23.9,22.7,23.3,508732
2024-07-02,TVS,23.5,23.9,23.3,23.9,366361
2024-07-03,TVS,23.25,23.55,23.2,23.5,327002
2024-07-04,TVS,23.5,23.85,23.1,23.25,418562
2024-07-05,TVS,22.95,23.5,22.8,23.5,778605
2024-07-08,TVS,24.55,24.55,23.0,23.0,1348325
2024-07-09,TVS,25.0,25.35,24.5,24.8,744413
2024-07-10,TVS,24.4,25.15,24.4,25.1,557060
2024-07-11,TVS,24.7,24.85,24.25,24.5,446074
2024-07-12,TVS,24.0,24.8,23.85,24.35,631859
2024-07-15,TVS,23.9,24.35,23.8,24.0,276685
2024-07-16,TVS,24.75,25.4,23.9,23.9,1007656
2024-07-17,TVS,23.8,25.3,23.1,24.6,660882
2024-07-18,TVS,24.25,24.3,23.6,23.8,475302
2024-07-19,TVS,23.65,24.4,23.5,24.3,603508
2024-07-22,TVS,22.0,23.5,22.0,23.2,1944273
2024-07-23,TVS,20.7,22.0,20.7,21.6,1384083
2024-07-24,TVS,21.2,21.3,20.35,20.4,457354
2024-07-25,TVS,21.15,21.4,20.5,20.5,195395
2024-07-26,TVS,21.3,21.35,20.95,21.2,247100
2024-07-29,TVS,21.1,21.6,20.9,21.3,356100
2024-07-30,TVS,20.95,21.1,20.7,21.1,164900
2024-07-31,TVS,20.5,21.05,20.4,20.95,293100
2024-08-01,TVS,19.55,20.85,19.45,20.65,617900
2024-08-02,TVS,20.0,20.1,18.65,18.65,261100
2024-08-05,TVS,18.65,19.8,18.6,19.7,290000
2024-08-06,TVS,19.5,19.5,18.4,18.7,240300
2024-08-07,TVS,19.2,20.0,19.05,20.0,105700
2024-08-08,TVS,19.0,19.5,19.0,19.15,206200
2024-08-09,TVS,19.7,19.9,19.1,19.25,160100
2024-08-12,TVS,19.7,19.8,19.4,19.7,80600
2024-08-13,TVS,19.2,19.7,19.15,19.7,116000
2024-08-14,TVS,19.3,19.65,19.25,19.55,117800
2024-08-15,TVS,19.15,19.3,19.1,19.1,67800
2024-08-16,TVS,20.1,20.15,19.3,19.75,458100
2024-08-19,TVS,20.0,20.3,19.7,20.3,128600
2024-08-20,TVS,20.35,20.5,19.85,20.0,435400
2024-08-21,TVS,21.45,21.5,20.2,20.7,553200
2024-08-22,TVS,22.05,22.3,21.4,21.45,414200
2024-08-23,TVS,22.25,22.3,21.65,21.8,361300
2024-08-26,TVS,23.0,23.25,22.25,22.6,849100
2024-08-27,TVS,23.3,23.4,22.8,23.0,605600
