Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,VCI,36.22,37.62,36.22,37.62,10129721
2024-03-11,VCI,36.07,36.83,35.95,36.22,8026447
2024-03-12,VCI,36.56,36.75,36.03,36.33,7384958
2024-03-13,VCI,39.06,39.06,36.6,36.86,13480699
2024-03-14,VCI,39.51,40.72,38.91,39.44,10363706
2024-03-15,VCI,40.65,41.63,38.98,39.59,10210816
2024-03-18,VCI,39.13,40.95,37.81,40.42,21566784
2024-03-19,VCI,38.38,39.74,38.38,39.51,5307158
2024-03-20,VCI,40.27,40.42,38.3,38.6,9869492
2024-03-21,VCI,40.87,41.78,40.27,41.1,8242065
2024-03-22,VCI,40.65,41.63,40.42,40.87,9075746
2024-03-25,VCI,39.36,40.87,39.29,40.65,8207029
2024-03-26,VCI,40.27,40.27,38.98,39.36,4699741
2024-03-27,VCI,39.97,40.5,39.66,40.5,4597968
2024-03-28,VCI,40.65,41.63,40.12,40.5,9005154
2024-03-29,VCI,40.72,41.25,40.42,40.72,3794692
2024-04-01,VCI,40.57,41.18,39.82,40.42,8171396
2024-04-02,VCI,40.57,40.57,39.36,40.12,12120018
2024-04-03,VCI,39.44,41.18,39.44,40.57,8058975
2024-04-04,VCI,39.36,39.97,39.13,39.36,5632395
2024-04-05,VCI,37.62,39.06,37.62,38.98,7672788
2024-04-08,VCI,37.62,38.45,37.32,37.66,7057501
2024-04-09,VCI,39.06,39.06,37.81,37.85,4963622
2024-04-10,VCI,38.45,39.13,38.38,39.13,2763752
2024-04-11,VCI,38.6,38.91,37.62,37.62,4485019
2024-04-12,VCI,39.44,39.51,38.53,39.13,4886086
2024-04-15,VCI,36.71,39.66,36.71,39.13,9038656
2024-04-16,VCI,36.18,36.71,35.12,36.71,9117442
2024-04-17,VCI,34.14,36.64,34.14,36.64,6901826
2024-04-19,VCI,34.06,35.65,33.68,33.68,10388104
2024-04-22,VCI,35.77,36.33,34.82,35.2,5628684
2024-04-23,VCI,34.48,35.8,34.06,35.58,6491108
2024-04-24,VCI,35.95,36.3,34.97,35.08,8142793
2024-04-25,VCI,35.58,35.95,35.42,35.88,3724243
2024-04-26,VCI,35.58,35.88,34.86,35.2,4848284
2024-05-02,VCI,35.08,35.61,34.59,35.58,4283101
2024-05-03,VCI,35.35,36.03,35.27,35.58,4296361
2024-05-06,VCI,36.71,37.05,35.69,35.84,5343123
2024-05-07,VCI,36.33,36.86,36.14,36.86,4332674
2024-05-08,VCI,36.71,37.05,35.88,35.88,5318589
2024-05-09,VCI,36.33,36.94,35.95,36.75,5623446
2024-05-10,VCI,36.14,36.48,35.8,36.33,4185228
2024-05-13,VCI,36.26,36.75,35.99,36.37,3940825
2024-05-14,VCI,36.07,36.6,36.03,36.33,3255069
2024-05-15,VCI,36.75,37.24,36.11,36.11,7973122
2024-05-16,VCI,36.9,37.36,36.86,37.32,4262256
2024-05-17,VCI,37.24,37.7,36.83,36.98,5005674
2024-05-20,VCI,38.0,38.45,37.36,37.54,9168130
2024-05-21,VCI,38.45,38.45,37.54,38.0,5081647
2024-05-22,VCI,37.85,39.21,37.77,38.6,8230150
2024-05-23,VCI,37.85,37.92,36.41,37.7,6340779
2024-05-24,VCI,36.3,37.85,35.58,37.47,9858803
2024-05-27,VCI,35.99,36.67,35.88,36.3,4767344
2024-05-28,VCI,36.94,37.05,36.18,36.18,6300221
2024-05-29,VCI,36.79,37.24,36.11,36.94,3827198
2024-05-30,VCI,36.11,36.48,35.5,36.18,5532643
2024-05-31,VCI,35.95,36.52,35.95,36.18,2739686
2024-06-03,VCI,36.71,36.9,36.33,36.41,4023940
2024-06-04,VCI,37.17,37.39,36.71,36.79,3809449
2024-06-05,VCI,36.9,37.62,36.9,37.2,4280056
2024-06-06,VCI,36.56,37.2,36.33,37.05,3806880
2024-06-07,VCI,36.6,37.13,36.48,36.86,2581997
2024-06-10,VCI,36.79,37.24,36.71,36.79,3795866
2024-06-11,VCI,38.6,38.6,36.75,36.9,13005397
2024-06-12,VCI,38.76,38.98,38.23,38.6,4319757
2024-06-13,VCI,38.38,38.98,38.38,38.98,5383606
2024-06-14,VCI,37.09,39.06,37.09,38.6,9750767
2024-06-17,VCI,36.83,37.39,36.71,37.05,4002456
2024-06-18,VCI,36.79,37.39,36.79,37.09,3232447
2024-06-19,VCI,37.13,37.62,36.64,36.86,4871489
2024-06-20,VCI,36.86,37.39,36.56,37.13,3237713
2024-06-21,VCI,36.48,37.09,36.48,37.09,4413619
2024-06-24,VCI,34.44,36.48,34.44,36.11,11063613
2024-06-25,VCI,35.35,35.35,34.48,34.59,4328808
2024-06-26,VCI,35.05,35.35,34.44,35.27,2559491
2024-06-27,VCI,34.78,35.2,34.74,35.05,1806652
2024-06-28,VCI,34.9,35.65,34.74,34.78,3802088
2024-07-01,VCI,35.69,35.77,34.9,34.93,2759135
2024-07-02,VCI,35.69,36.07,35.58,35.69,1924969
2024-07-03,VCI,35.73,36.03,35.65,35.84,2181015
2024-07-04,VCI,35.8,36.26,35.54,35.77,1914724
2024-07-05,VCI,35.65,36.11,35.46,35.99,1934552
2024-07-08,VCI,35.73,36.18,35.61,35.8,1936946
2024-07-09,VCI,36.33,36.45,35.73,35.88,4240501
2024-07-10,VCI,35.73,36.33,35.73,36.33,2353652
2024-07-11,VCI,36.33,36.67,35.92,36.18,4747348
2024-07-12,VCI,36.26,36.64,36.03,36.48,2451537
2024-07-15,VCI,36.37,36.6,36.26,36.33,1791260
2024-07-16,VCI,36.26,36.71,36.22,36.37,3394903
2024-07-17,VCI,35.5,36.64,35.12,36.48,4294409
2024-07-18,VCI,36.07,36.07,35.2,35.54,2236636
2024-07-19,VCI,35.95,36.33,35.73,35.8,3059023
2024-07-22,VCI,35.84,36.6,35.69,36.26,4367812
2024-07-23,VCI,34.82,36.11,34.82,35.95,3377323
2024-07-24,VCI,33.91,34.86,33.23,34.67,6228530
2024-07-25,VCI,33.76,33.99,33.31,33.91,2235668
2024-07-26,VCI,34.1,34.1,33.76,33.8,1506602
2024-07-29,VCI,34.21,34.59,34.21,34.44,1268037
2024-07-30,VCI,33.68,34.4,33.68,34.18,1470814
2024-07-31,VCI,33.68,34.37,33.53,33.8,1530180
2024-08-01,VCI,31.87,33.95,31.79,33.95,5980112
2024-08-02,VCI,32.85,33.31,31.19,31.3,3361491
2024-08-05,VCI,30.88,32.59,30.88,32.02,5148984
2024-08-06,VCI,32.55,32.85,31.03,31.72,4594599
2024-08-07,VCI,33.0,33.15,32.17,32.7,1511549
2024-08-08,VCI,32.81,33.27,32.36,32.55,2314524
2024-08-09,VCI,34.29,34.37,32.81,33.04,5779083
2024-08-12,VCI,34.74,34.74,33.91,34.06,2460370
2024-08-13,VCI,34.67,34.78,33.76,34.78,3266241
2024-08-14,VCI,34.29,34.82,34.14,34.82,2362870
2024-08-15,VCI,33.87,34.56,33.68,34.36,1587610
2024-08-16,VCI,35.7,35.82,33.98,34.06,6643481
2024-08-19,VCI,35.32,35.89,35.24,35.89,2344701
2024-08-20,VCI,35.51,35.89,35.01,35.32,4658652
2024-08-21,VCI,35.97,36.08,35.28,35.28,3562212
2024-08-22,VCI,36.16,36.16,35.78,36.04,2953864
2024-08-23,VCI,36.27,36.66,35.7,36.16,3549123
2024-08-26,VCI,37.04,37.27,36.27,36.66,7161910
2024-08-27,VCI,36.69,37.19,36.5,36.66,3496473
2024-08-28,VCI,36.43,36.77,35.89,36.62,5982982
2024-08-29,VCI,35.36,36.69,35.28,36.5,9625431
2024-08-30,VCI,35.47,35.59,34.98,35.36,6324168
2024-09-04,VCI,35.05,35.4,34.9,35.05,3841070
2024-09-05,VCI,34.36,35.47,34.25,35.09,7443191
2024-09-06,VCI,34.75,34.75,33.98,34.29,3655435
2024-09-09,VCI,34.25,34.75,34.21,34.71,2501798
2024-09-10,VCI,33.75,34.52,33.75,34.48,4565552
2024-09-11,VCI,33.45,33.83,33.41,33.83,6399940
2024-09-12,VCI,33.16,34.75,33.16,34.2,6133538
2024-09-13,VCI,33.16,33.76,32.96,33.31,6401466
2024-09-16,VCI,32.27,33.46,32.27,33.46,5211457
2024-09-17,VCI,33.9,33.9,32.32,32.37,6257713
2024-09-18,VCI,34.25,34.7,33.85,33.95,9739414
2024-09-19,VCI,34.35,34.6,34.15,34.45,6423924
2024-09-20,VCI,34.25,34.8,34.1,34.75,7245718
2024-09-23,VCI,33.95,34.35,33.9,34.35,6686129
2024-09-24,VCI,34.25,34.25,33.76,34.0,5748881
2024-09-25,VCI,35.34,35.49,34.35,34.4,15818723
2024-09-26,VCI,35.89,36.04,35.24,35.44,12839409
2024-09-27,VCI,35.64,36.04,35.44,35.74,9824733
2024-09-30,VCI,36.44,36.88,35.44,35.59,11156143
2024-10-01,VCI,36.24,37.18,36.24,36.58,9566099
2024-10-02,VCI,36.14,36.58,35.99,36.04,8095217
2024-10-03,VCI,36.29,36.58,35.84,36.24,9082285
2024-10-04,VCI,35.99,36.49,35.94,36.29,5936459
2024-10-07,VCI,37.33,37.33,35.84,36.19,9270949
2024-10-08,VCI,37.03,38.12,36.98,37.63,13372186
2024-10-09,VCI,37.13,37.48,36.88,36.93,7246975
2024-10-10,VCI,36.14,37.63,36.14,37.63,11324849
2024-10-11,VCI,36.58,36.63,36.14,36.19,4114257
2024-10-14,VCI,36.44,37.08,36.44,36.73,4220111
2024-10-15,VCI,35.74,36.83,35.74,36.44,6790701
2024-10-16,VCI,35.49,35.84,35.39,35.54,4731528
2024-10-17,VCI,36.44,36.54,35.29,35.74,6921441
2024-10-18,VCI,35.84,36.54,35.84,36.34,8706334
2024-10-21,VCI,35.34,36.14,35.34,35.84,8352016
2024-10-22,VCI,35.19,35.69,34.75,35.34,8711215
2024-10-23,VCI,35.1,35.39,34.9,35.19,6169441
2024-10-24,VCI,34.25,35.49,34.25,35.29,9737046
2024-10-25,VCI,34.25,34.4,33.85,34.25,8169524
2024-10-28,VCI,34.4,34.85,34.35,34.5,4314720
2024-10-29,VCI,34.4,34.7,34.3,34.65,5385060
2024-10-30,VCI,34.1,34.55,34.0,34.4,4445853
2024-10-31,VCI,34.4,34.7,34.05,34.1,6898834
2024-11-01,VCI,33.66,34.45,33.56,34.3,8180793
2024-11-04,VCI,34.15,34.6,33.36,33.66,7333677
2024-11-05,VCI,33.85,34.4,33.85,34.35,3679974
2024-11-06,VCI,34.7,34.7,34.1,34.2,6929572
2024-11-07,VCI,34.4,34.9,34.4,34.9,5610296
2024-11-08,VCI,34.25,34.7,34.2,34.55,5821666
2024-11-11,VCI,34.4,34.45,33.85,34.2,6808874
2024-11-12,VCI,34.5,35.34,34.45,34.65,11472315
2024-11-13,VCI,34.35,34.8,33.9,34.4,6303024
2024-11-14,VCI,32.71,34.5,32.56,34.3,12279535
2024-11-15,VCI,32.07,33.16,31.82,32.56,10878268
2024-11-18,VCI,32.76,33.21,32.07,32.07,6119445
2024-11-19,VCI,32.02,32.91,31.97,32.86,3847439
2024-11-20,VCI,32.46,33.11,31.97,32.07,6172887
2024-11-21,VCI,32.96,32.96,32.41,32.46,2791739
2024-11-22,VCI,32.76,33.26,32.66,32.96,5120258
2024-11-25,VCI,33.26,33.26,32.51,32.76,4905341
2024-11-26,VCI,33.31,33.71,33.16,33.31,4560280
2024-11-27,VCI,33.11,33.41,32.96,33.26,2246377
2024-11-28,VCI,32.81,33.56,32.81,33.56,2519076
2024-11-29,VCI,32.86,33.11,32.61,32.81,3335241
2024-12-02,VCI,32.91,33.36,32.86,33.36,2531758
2024-12-03,VCI,32.76,33.01,32.71,32.81,3288263
2024-12-04,VCI,32.27,32.71,32.17,32.71,5063796
2024-12-05,VCI,34.5,34.5,31.87,32.27,15139799
2024-12-06,VCI,34.55,35.0,34.2,34.6,7672124
2024-12-09,VCI,34.6,34.7,34.3,34.55,5085996
2024-12-10,VCI,34.35,34.65,34.25,34.55,3818600
2024-12-11,VCI,34.25,34.65,33.95,34.3,3783559
2024-12-12,VCI,34.2,34.65,34.15,34.3,4057817
2024-12-13,VCI,33.95,34.2,33.71,33.85,3448363
2024-12-16,VCI,34.35,34.35,33.76,33.95,2597093
2024-12-17,VCI,34.15,34.5,34.15,34.4,2478949
2024-12-18,VCI,34.2,34.25,33.9,34.15,2203003
2024-12-19,VCI,34.15,34.15,33.36,33.76,7245369
2024-12-20,VCI,33.9,33.95,33.66,33.85,3728365
2024-12-23,VCI,34.05,34.1,33.85,34.1,1794869
2024-12-24,VCI,33.46,34.05,33.31,34.05,3831116
2024-12-25,VCI,33.85,34.45,33.51,33.51,5103297
2024-12-26,VCI,33.56,33.95,33.56,33.85,2560382
2024-12-27,VCI,33.51,33.76,33.46,33.66,4347867
2024-12-30,VCI,33.36,33.95,33.36,33.66,2519133
2024-12-31,VCI,32.96,33.51,32.96,33.41,2868971
2025-01-02,VCI,33.36,33.46,32.96,33.01,3358136
2025-01-03,VCI,32.56,33.36,32.56,33.31,4667371
2025-01-06,VCI,32.07,32.81,31.87,32.61,4543715
2025-01-07,VCI,31.57,32.32,31.52,32.27,5079540
2025-01-08,VCI,31.92,32.37,31.32,31.32,3418529
2025-01-09,VCI,31.57,32.17,31.57,31.92,1957685
2025-01-10,VCI,31.27,32.02,31.27,31.67,4451367
2025-01-13,VCI,31.92,31.92,30.73,30.98,4426891
2025-01-14,VCI,31.62,31.97,31.62,31.77,2136638
2025-01-15,VCI,31.82,32.12,31.67,31.67,3140474
2025-01-16,VCI,32.17,33.01,31.97,31.97,4630969
2025-01-17,VCI,32.22,32.46,32.07,32.07,2041567
2025-01-20,VCI,32.02,32.56,31.97,32.27,2217140
2025-01-21,VCI,32.51,32.91,32.02,32.02,5348983
2025-01-22,VCI,32.46,32.81,32.46,32.81,3052844
2025-01-23,VCI,34.25,34.65,32.56,32.71,12534499
2025-01-24,VCI,34.15,34.25,33.8,34.2,4071193
2025-02-03,VCI,34.45,34.8,33.56,34.05,10738350
2025-02-04,VCI,34.55,34.95,34.35,34.8,7286274
2025-02-05,VCI,34.45,34.75,34.2,34.75,6850555
2025-02-06,VCI,34.3,35.15,34.3,34.6,8266831
2025-02-07,VCI,34.4,34.5,34.05,34.3,4655289
2025-02-10,VCI,34.6,35.1,34.0,34.1,14438626
2025-02-11,VCI,34.6,35.0,34.5,34.75,6774455
2025-02-12,VCI,34.6,35.15,34.6,34.7,6597223
2025-02-13,VCI,34.9,34.9,34.3,34.6,4316232
2025-02-14,VCI,35.35,35.85,35.25,35.5,12893355
2025-02-17,VCI,35.55,35.9,35.2,35.45,10067465
2025-02-18,VCI,35.9,36.15,35.4,35.6,11041206
2025-02-19,VCI,36.3,36.35,35.8,36.0,7299400
2025-02-20,VCI,36.3,36.6,36.05,36.5,8626100
2025-02-21,VCI,36.25,36.3,35.85,36.15,7671600
2025-02-24,VCI,36.75,36.8,36.0,36.25,8573000
2025-02-25,VCI,36.8,37.4,36.65,36.95,13209100
2025-02-26,VCI,36.6,37.2,36.6,36.95,12293200
2025-02-27,VCI,36.8,36.85,36.2,36.75,7282100
2025-02-28,VCI,36.45,37.1,36.45,36.65,6514800
2025-03-03,VCI,37.3,37.8,36.25,36.5,12212700
2025-03-04,VCI,37.45,37.5,36.6,37.2,8147400
2025-03-05,VCI,37.1,37.85,37.0,37.4,8992400
2025-03-06,VCI,38.5,38.5,37.15,37.15,13621300
2025-03-07,VCI,38.95,39.2,38.3,38.7,10518000
2025-03-10,VCI,39.25,39.9,38.9,39.2,13958600
2025-03-11,VCI,39.45,39.5,38.7,38.95,10530100
2025-03-12,VCI,39.25,39.9,38.95,39.8,9691800
2025-03-13,VCI,38.85,39.5,38.6,39.2,10374700
2025-03-14,VCI,38.9,39.2,38.5,38.7,6108000
2025-03-17,VCI,39.45,39.45,38.9,39.1,6424600
2025-03-18,VCI,39.1,39.7,39.1,39.7,8146800
2025-03-19,VCI,38.75,39.1,38.6,39.1,8197500
2025-03-20,VCI,39.2,39.6,38.8,38.95,8059900
2025-03-21,VCI,39.1,39.55,39.0,39.0,12817200
2025-03-24,VCI,39.45,39.45,38.35,39.15,9763500
2025-03-25,VCI,39.05,39.75,38.85,39.55,6651000
2025-03-26,VCI,38.4,39.1,38.3,38.95,7675700
2025-03-27,VCI,38.3,38.75,38.05,38.05,7127800
2025-03-28,VCI,38.1,38.65,37.55,38.45,9316800
2025-03-31,VCI,38.3,38.45,37.8,37.8,7304800
2025-04-01,VCI,39.0,39.0,38.25,38.5,6249400
2025-04-02,VCI,39.0,39.55,38.65,39.0,9667700
2025-04-03,VCI,36.3,38.2,36.3,38.05,20816600
2025-04-04,VCI,37.0,37.0,33.8,34.0,17504100
2025-04-08,VCI,34.45,36.0,34.45,35.7,6872100
2025-04-09,VCI,32.05,34.7,32.05,32.05,20599600
2025-04-10,VCI,34.25,34.25,34.25,34.25,344800
2025-04-11,VCI,36.3,36.35,34.2,34.25,15848500
2025-04-14,VCI,37.3,37.3,36.1,36.55,11510600
2025-04-15,VCI,36.5,37.2,36.05,36.7,8572200
2025-04-16,VCI,36.8,37.4,36.6,36.6,11600900
2025-04-17,VCI,37.6,37.6,36.3,36.3,9724600
2025-04-18,VCI,37.05,38.65,37.05,37.85,12113100
2025-04-21,VCI,35.7,37.45,35.5,37.2,16991100
2025-04-22,VCI,35.8,36.25,33.25,35.1,15018300
2025-04-23,VCI,36.3,36.9,36.1,36.9,4626300
2025-04-24,VCI,36.75,36.95,35.9,36.45,6724600
2025-04-25,VCI,36.35,36.85,36.25,36.85,6206800
2025-04-28,VCI,36.75,36.8,36.2,36.45,5789300
2025-04-29,VCI,37.0,37.0,36.55,36.75,5562300
2025-05-05,VCI,37.0,37.6,36.9,37.5,5868000
2025-05-06,VCI,37.0,37.65,36.9,37.2,7511000
2025-05-07,VCI,36.4,36.95,36.3,36.8,8550700
2025-05-08,VCI,36.85,37.15,36.4,36.45,5882000
2025-05-09,VCI,36.35,37.05,36.35,36.9,5254000
2025-05-12,VCI,36.45,36.6,35.95,36.4,7581800
2025-05-13,VCI,36.85,37.55,36.7,37.15,7999800
2025-05-14,VCI,37.7,37.9,36.65,36.85,16062200
2025-05-15,VCI,37.9,38.15,37.7,38.1,8566700
2025-05-16,VCI,37.55,38.5,37.45,38.0,10657800
2025-05-19,VCI,36.7,37.3,36.6,37.3,8209800
2025-05-20,VCI,36.95,37.55,36.5,36.7,6869500
2025-05-21,VCI,37.0,37.45,36.7,37.2,6829100
2025-05-22,VCI,36.5,37.65,36.5,36.7,10249600
2025-05-23,VCI,36.25,36.8,36.15,36.4,5002400
2025-05-26,VCI,37.0,37.0,35.4,36.4,7758200
2025-05-27,VCI,37.0,37.4,36.85,37.2,7678900
2025-05-28,VCI,36.55,37.55,36.5,37.2,10927500
2025-05-29,VCI,36.15,36.8,36.15,36.8,7379300
2025-05-30,VCI,36.0,37.2,36.0,36.2,7413000
2025-06-02,VCI,36.3,36.45,35.85,35.9,4953300
2025-06-03,VCI,37.2,37.8,36.8,36.95,18065200
2025-06-04,VCI,36.65,37.45,36.6,37.45,6730500
2025-06-05,VCI,36.85,37.05,36.55,36.6,5470700
2025-06-06,VCI,35.9,36.8,35.9,36.7,11235300
2025-06-09,VCI,35.2,36.15,35.2,35.9,6810800
2025-06-10,VCI,35.45,35.75,35.15,35.15,4648300
2025-06-11,VCI,35.45,35.65,35.4,35.55,2549000
2025-06-12,VCI,36.15,36.2,35.65,35.65,5392400
2025-06-13,VCI,35.35,35.9,35.2,35.65,7465500
2025-06-16,VCI,35.9,35.95,35.25,35.3,4736100
2025-06-17,VCI,36.05,36.15,35.8,36.15,4801200
2025-06-18,VCI,35.75,36.45,35.7,35.95,6285500
2025-06-19,VCI,35.6,35.85,35.55,35.65,2913000
2025-06-20,VCI,35.8,36.1,35.5,35.85,3951700
2025-06-23,VCI,35.2,35.5,35.1,35.25,7011400
2025-06-24,VCI,35.8,36.3,35.55,35.55,7975500
2025-06-25,VCI,35.85,36.35,35.6,35.95,6468800
2025-06-26,VCI,35.5,36.0,35.4,36.0,4491100
2025-06-27,VCI,35.45,35.85,35.35,35.55,4808700
2025-06-30,VCI,35.75,36.15,35.75,35.8,4947400
2025-07-01,VCI,35.4,35.85,35.3,35.75,4491000
2025-07-02,VCI,36.5,36.95,35.4,35.4,11563400
2025-07-03,VCI,36.8,37.3,36.25,36.5,16706500
2025-07-04,VCI,36.7,37.2,36.5,37.0,5153400
2025-07-07,VCI,37.1,37.4,36.95,37.0,10014400
2025-07-08,VCI,37.55,37.65,37.1,37.2,10687700
2025-07-09,VCI,38.25,38.9,37.6,37.6,18911200
2025-07-10,VCI,38.4,38.75,37.9,38.65,14171900
2025-07-11,VCI,41.05,41.05,38.2,38.45,29775700
2025-07-14,VCI,41.65,42.45,41.25,42.2,13532100
2025-07-15,VCI,40.9,43.6,40.85,41.7,25103200
2025-07-16,VCI,41.7,42.15,40.7,41.0,16252200
2025-07-17,VCI,41.3,42.15,41.05,42.0,18552600
2025-07-18,VCI,41.7,42.6,41.4,41.5,14718000
2025-07-21,VCI,40.95,41.75,40.85,41.7,10263100
