Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,VDS,16.96,17.61,16.96,17.57,1656077
2024-03-11,VDS,16.43,16.96,16.23,16.96,1440109
2024-03-12,VDS,16.55,16.72,16.14,16.43,1272467
2024-03-13,VDS,17.69,17.69,16.67,16.72,4146743
2024-03-14,VDS,17.94,18.39,17.82,17.94,2625328
2024-03-15,VDS,18.75,18.92,17.78,18.1,2355505
2024-03-18,VDS,17.94,18.75,17.45,18.75,3626832
2024-03-19,VDS,17.78,18.26,17.53,18.26,1168459
2024-03-20,VDS,18.06,18.18,17.41,17.78,1402805
2024-03-21,VDS,18.18,18.59,17.98,18.59,1687908
2024-03-22,VDS,18.18,18.67,17.86,18.31,2519358
2024-03-25,VDS,17.61,18.35,17.57,17.98,1596686
2024-03-26,VDS,18.02,18.02,17.12,17.16,1329138
2024-03-27,VDS,17.86,18.1,17.61,18.1,890940
2024-03-28,VDS,18.47,18.51,17.65,18.14,2116176
2024-03-29,VDS,18.47,18.59,18.31,18.47,1522532
2024-04-01,VDS,18.35,18.43,17.86,18.43,1379283
2024-04-02,VDS,18.92,19.08,18.06,18.1,3807550
2024-04-03,VDS,18.51,19.28,17.69,19.0,2203171
2024-04-04,VDS,18.18,18.47,18.1,18.35,1434422
2024-04-05,VDS,17.04,18.1,17.04,17.78,2394079
2024-04-08,VDS,16.76,17.29,16.76,17.08,2057384
2024-04-09,VDS,17.78,17.78,16.84,17.08,1510493
2024-04-10,VDS,17.37,17.9,17.37,17.61,1219713
2024-04-11,VDS,17.61,17.69,17.08,17.08,1292855
2024-04-12,VDS,17.9,17.98,17.53,17.86,1908351
2024-04-15,VDS,16.67,17.98,16.67,17.78,2054431
2024-04-16,VDS,16.06,16.63,15.61,16.63,2859194
2024-04-17,VDS,15.9,16.39,15.74,16.14,1932187
2024-04-19,VDS,14.8,15.49,14.8,15.33,3130502
2024-04-22,VDS,15.45,15.7,15.0,15.17,1345344
2024-04-23,VDS,15.04,15.57,14.96,15.49,825516
2024-04-24,VDS,15.61,15.74,15.25,15.33,1459158
2024-04-25,VDS,15.25,15.61,15.08,15.53,911983
2024-04-26,VDS,14.96,15.21,14.88,14.92,907120
2024-05-02,VDS,14.8,15.04,14.35,14.96,1179160
2024-05-03,VDS,14.88,15.29,14.84,15.08,1443783
2024-05-06,VDS,15.82,15.82,15.04,15.25,1730940
2024-05-07,VDS,15.78,15.98,15.66,15.9,821205
2024-05-08,VDS,16.06,16.19,15.45,15.57,1410898
2024-05-09,VDS,15.86,16.23,15.61,16.23,927996
2024-05-10,VDS,15.94,15.98,15.45,15.94,979102
2024-05-13,VDS,16.14,16.47,15.98,15.98,1594159
2024-05-14,VDS,16.14,16.43,15.94,16.43,643993
2024-05-15,VDS,16.63,16.84,16.14,16.14,1714758
2024-05-16,VDS,16.67,16.88,16.59,16.8,978389
2024-05-17,VDS,17.2,17.53,16.63,16.67,1435323
2024-05-20,VDS,17.41,17.69,17.37,17.57,1628791
2024-05-21,VDS,17.94,17.94,17.29,17.37,2941609
2024-05-22,VDS,18.26,18.75,17.98,18.35,2622106
2024-05-23,VDS,18.84,18.92,17.94,18.14,2845783
2024-05-24,VDS,17.94,18.84,17.57,18.47,3266693
2024-05-27,VDS,18.63,18.67,17.94,18.02,1720459
2024-05-28,VDS,19.9,19.9,18.35,18.63,4017815
2024-05-29,VDS,20.47,20.79,19.94,20.38,2372414
2024-05-30,VDS,20.38,20.63,19.65,20.26,3155459
2024-05-31,VDS,19.94,20.67,19.9,20.59,1562432
2024-06-03,VDS,20.26,20.63,20.1,20.38,1577958
2024-06-04,VDS,20.22,20.91,20.22,20.43,1514451
2024-06-05,VDS,20.3,20.75,20.14,20.59,1768631
2024-06-06,VDS,20.38,20.67,20.26,20.34,1168749
2024-06-07,VDS,20.38,20.67,20.18,20.51,1410038
2024-06-10,VDS,21.81,21.81,20.43,20.43,3214900
2024-06-11,VDS,21.77,22.1,21.36,22.02,1534782
2024-06-12,VDS,22.02,22.02,21.44,21.77,1348707
2024-06-13,VDS,21.65,22.14,21.61,22.02,1332090
2024-06-14,VDS,20.3,22.42,20.3,21.93,2069188
2024-06-17,VDS,20.63,21.08,20.34,20.34,1831157
2024-06-18,VDS,20.59,21.36,20.38,20.87,1457904
2024-06-19,VDS,21.16,21.2,20.43,20.63,1837392
2024-06-20,VDS,20.67,21.2,20.47,21.2,2145534
2024-06-21,VDS,20.45,21.14,20.32,20.95,1135353
2024-06-24,VDS,19.05,20.36,19.05,20.36,5030051
2024-06-25,VDS,18.73,19.27,18.5,19.27,1638744
2024-06-26,VDS,19.05,19.55,18.59,18.73,2052629
2024-06-27,VDS,18.59,19.05,18.59,18.95,1054564
2024-06-28,VDS,18.73,19.23,18.09,18.64,2355937
2024-07-01,VDS,19.86,19.86,18.82,18.91,2324750
2024-07-02,VDS,19.95,20.27,19.68,19.91,1616951
2024-07-03,VDS,19.73,20.05,19.64,20.0,1565777
2024-07-04,VDS,20.18,20.36,19.73,19.91,1647430
2024-07-05,VDS,20.18,20.27,19.82,20.18,1258196
2024-07-08,VDS,20.59,20.68,20.09,20.45,1570070
2024-07-09,VDS,21.23,21.59,20.59,20.73,2416531
2024-07-10,VDS,20.82,21.5,20.68,21.23,1755042
2024-07-11,VDS,21.59,21.73,20.73,20.91,2386322
2024-07-12,VDS,21.55,21.64,21.27,21.55,1130648
2024-07-15,VDS,21.45,21.77,21.14,21.64,989020
2024-07-16,VDS,20.64,21.73,20.18,21.73,2902472
2024-07-17,VDS,20.45,21.41,19.59,20.73,3336035
2024-07-18,VDS,21.09,21.09,20.45,20.86,1419215
2024-07-19,VDS,20.73,21.41,20.45,20.91,1599091
2024-07-22,VDS,19.32,20.45,19.32,20.36,4954387
2024-07-23,VDS,18.82,19.32,18.23,19.27,2240180
2024-07-24,VDS,19.27,19.27,18.0,18.82,2159829
2024-07-25,VDS,19.36,19.45,18.73,19.09,799544
2024-07-26,VDS,19.36,19.5,18.82,19.5,1070916
2024-07-29,VDS,19.41,19.41,19.0,19.36,928344
2024-07-30,VDS,19.0,19.36,18.73,19.36,878048
2024-07-31,VDS,19.0,19.05,18.68,18.91,1120166
2024-08-01,VDS,17.68,19.0,17.68,19.0,1945260
2024-08-02,VDS,18.5,18.59,16.55,17.09,1862365
2024-08-05,VDS,17.23,18.36,17.23,18.0,1260861
2024-08-06,VDS,18.14,18.27,17.0,17.73,1553364
2024-08-07,VDS,18.09,18.18,17.55,18.14,1088573
2024-08-08,VDS,17.82,18.05,17.55,17.73,1382131
2024-08-09,VDS,18.36,18.5,17.68,18.09,2174176
2024-08-12,VDS,18.5,18.5,18.0,18.36,1131756
2024-08-13,VDS,18.36,18.36,17.82,18.32,1651358
2024-08-14,VDS,18.0,18.5,17.91,18.36,1086675
2024-08-15,VDS,17.55,18.09,17.55,17.95,1040837
2024-08-16,VDS,18.77,18.77,17.64,17.64,3049390
2024-08-19,VDS,19.36,19.36,18.91,19.09,2116497
2024-08-20,VDS,19.68,19.95,19.0,19.36,2511082
2024-08-21,VDS,19.55,19.68,19.27,19.55,1751629
2024-08-22,VDS,20.05,20.05,19.41,19.55,1964618
2024-08-23,VDS,20.14,20.36,19.68,19.86,1515615
2024-08-26,VDS,19.73,20.32,19.68,20.27,1799238
2024-08-27,VDS,19.68,19.77,19.18,19.64,1456651
2024-08-28,VDS,19.59,20.0,19.32,20.0,1112501
