Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,VGS,21.91,22.77,21.82,22.17,1883024
2024-03-11,VGS,21.21,22.17,21.04,22.17,1176244
2024-03-12,VGS,21.13,21.65,21.13,21.21,1096695
2024-03-13,VGS,23.2,23.2,21.13,21.3,2272128
2024-03-14,VGS,22.86,23.9,20.95,20.95,1372558
2024-03-15,VGS,23.38,23.72,22.77,22.86,1298509
2024-03-18,VGS,21.99,23.38,21.21,23.38,2329596
2024-03-19,VGS,22.86,23.81,21.91,21.91,1655164
2024-03-20,VGS,22.68,22.94,22.34,22.68,567031
2024-03-21,VGS,22.94,23.46,22.68,22.86,818433
2024-03-22,VGS,23.55,23.81,22.77,22.94,1531282
2024-03-25,VGS,23.2,24.07,22.94,23.64,719831
2024-03-26,VGS,23.55,23.72,22.94,23.2,754753
2024-03-27,VGS,23.81,24.59,23.64,23.64,1034422
2024-03-28,VGS,23.55,24.07,23.38,23.9,665805
2024-03-29,VGS,23.12,23.64,23.03,23.55,589975
2024-04-01,VGS,23.38,23.38,22.86,23.12,903453
2024-04-02,VGS,23.9,24.24,23.03,23.2,1034453
2024-04-03,VGS,23.12,23.98,22.94,23.9,689519
2024-04-04,VGS,22.68,23.12,22.42,23.12,1190992
2024-04-05,VGS,22.17,22.94,22.08,22.68,941879
2024-04-08,VGS,22.08,22.6,21.73,22.08,755611
2024-04-09,VGS,22.6,22.77,22.08,22.08,554151
2024-04-10,VGS,22.42,22.94,22.42,22.68,473530
2024-04-11,VGS,23.64,23.81,22.08,22.17,2140232
2024-04-12,VGS,23.98,24.5,23.81,23.81,1559521
2024-04-15,VGS,23.03,25.89,23.03,23.98,3006562
2024-04-16,VGS,24.59,24.59,22.94,23.03,2147571
2024-04-17,VGS,23.38,25.02,23.38,24.59,1745813
2024-04-19,VGS,21.04,23.2,21.04,23.2,3135750
2024-04-22,VGS,21.47,21.82,21.04,21.04,959416
2024-04-23,VGS,20.0,21.65,19.91,21.56,1300634
2024-04-24,VGS,21.73,21.91,20.35,20.35,1232743
2024-04-25,VGS,21.47,21.91,21.21,21.73,836894
2024-04-26,VGS,21.82,21.99,21.04,21.21,1139878
2024-05-02,VGS,21.47,21.99,20.87,21.65,1074337
2024-05-03,VGS,22.34,23.12,21.04,21.56,1827300
2024-05-06,VGS,23.46,23.72,22.51,22.51,1506863
2024-05-07,VGS,24.24,25.02,23.55,23.55,1673953
2024-05-08,VGS,25.72,26.15,23.72,24.24,2104112
2024-05-09,VGS,25.46,26.23,25.37,25.72,1104946
2024-05-10,VGS,26.06,26.41,25.37,25.46,1276057
2024-05-13,VGS,26.06,26.75,25.28,26.15,1188962
2024-05-14,VGS,26.06,26.23,25.54,26.06,718933
2024-05-15,VGS,27.19,27.53,25.97,26.06,1315899
2024-05-16,VGS,27.45,27.97,27.01,27.36,840008
2024-05-17,VGS,29.44,29.44,27.1,27.45,1222727
2024-05-20,VGS,30.04,30.91,29.35,29.44,1202944
2024-05-21,VGS,31.17,31.26,29.35,30.56,1303395
2024-05-22,VGS,31.6,31.95,30.3,31.34,778493
2024-05-23,VGS,31.08,31.52,28.49,28.49,773597
2024-05-24,VGS,29.26,31.08,28.14,31.08,2148776
2024-05-27,VGS,30.22,30.22,28.66,29.26,759955
2024-05-28,VGS,30.65,31.17,30.22,30.22,554828
2024-05-29,VGS,30.56,31.52,29.87,30.65,1045430
2024-05-30,VGS,30.65,30.65,29.26,29.96,1224136
2024-05-31,VGS,31.78,32.47,30.39,30.74,1349417
2024-06-03,VGS,31.6,32.38,31.17,31.78,741820
2024-06-04,VGS,32.12,33.68,31.69,31.86,1220606
2024-06-05,VGS,32.21,32.81,31.52,32.3,981104
2024-06-06,VGS,32.12,32.9,31.52,32.21,856994
2024-06-07,VGS,31.78,32.3,31.43,32.12,723248
2024-06-10,VGS,32.56,32.56,31.43,31.78,711278
2024-06-11,VGS,33.42,34.2,32.47,32.9,1131044
2024-06-12,VGS,33.42,33.42,32.73,33.42,471763
2024-06-13,VGS,33.07,33.77,32.9,33.42,371833
2024-06-14,VGS,32.04,33.68,32.04,32.99,1041972
2024-06-17,VGS,32.9,33.59,31.17,32.04,1664946
2024-06-18,VGS,32.99,33.42,32.81,32.99,455217
2024-06-19,VGS,32.64,33.33,32.56,32.99,659795
2024-06-20,VGS,32.56,32.9,31.86,32.64,823287
2024-06-21,VGS,33.59,33.59,32.3,32.56,1148125
2024-06-24,VGS,32.3,34.63,30.3,30.3,1529793
2024-06-25,VGS,33.07,35.5,32.3,35.5,743410
2024-06-26,VGS,32.9,33.07,32.04,32.9,604310
2024-06-27,VGS,31.86,32.9,31.78,32.9,943318
2024-06-28,VGS,30.74,32.12,29.35,31.86,1510157
2024-07-01,VGS,30.48,30.65,29.52,30.56,854198
2024-07-02,VGS,31.52,31.52,30.39,30.56,706387
2024-07-03,VGS,31.26,31.78,31.0,31.6,611436
2024-07-04,VGS,31.26,32.3,30.74,31.6,645689
2024-07-05,VGS,31.6,31.6,30.82,31.26,692517
2024-07-08,VGS,33.68,34.37,31.69,31.69,2034346
2024-07-09,VGS,33.94,34.37,33.59,33.85,1091526
2024-07-10,VGS,37.06,37.32,34.2,34.37,2812306
2024-07-11,VGS,36.19,39.4,36.02,38.1,797418
