Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,VHM,42.55,43.6,42.55,43.5,9529599
2024-03-11,VHM,42.55,43.0,42.5,42.6,6058761
2024-03-12,VHM,42.7,42.9,42.35,42.55,4758561
2024-03-13,VHM,42.95,43.0,42.5,42.8,7335627
2024-03-14,VHM,42.9,43.8,42.8,43.4,12610933
2024-03-15,VHM,42.4,43.15,42.4,42.9,9887754
2024-03-18,VHM,42.1,43.15,41.3,42.65,14791576
2024-03-19,VHM,42.9,43.05,41.85,42.35,9466892
2024-03-20,VHM,42.5,43.0,42.2,43.0,5440051
2024-03-21,VHM,42.9,43.05,42.55,42.85,10981568
2024-03-22,VHM,42.8,43.5,42.6,43.2,10001805
2024-03-25,VHM,42.55,43.35,42.4,43.0,10313493
2024-03-26,VHM,42.75,42.9,42.45,42.7,4265404
2024-03-27,VHM,42.5,42.9,42.5,42.9,7553922
2024-03-28,VHM,43.3,44.05,42.6,42.8,18569535
2024-03-29,VHM,42.85,43.7,42.85,43.4,7689710
2024-04-01,VHM,42.9,43.15,42.65,42.9,7521190
2024-04-02,VHM,43.15,43.15,42.2,42.7,13761932
2024-04-03,VHM,43.1,43.75,42.9,43.15,11841562
2024-04-04,VHM,43.0,43.2,42.75,42.8,9669113
2024-04-05,VHM,42.95,43.1,42.4,42.7,13466948
2024-04-08,VHM,43.0,43.1,42.4,43.05,16740300
2024-04-09,VHM,43.2,43.2,42.9,43.1,10946287
2024-04-10,VHM,44.2,44.65,43.45,43.55,24328093
2024-04-11,VHM,44.15,44.25,43.75,44.25,14568487
2024-04-12,VHM,44.5,44.8,44.3,44.5,16826097
2024-04-15,VHM,42.4,44.5,42.2,44.5,20421318
2024-04-16,VHM,42.7,42.8,40.75,42.4,16853483
2024-04-17,VHM,41.8,43.05,41.55,43.0,10864569
2024-04-19,VHM,41.5,41.5,40.3,40.95,12530053
2024-04-22,VHM,41.45,41.8,40.65,41.5,9176368
2024-04-23,VHM,40.2,41.4,40.2,41.0,8625501
2024-04-24,VHM,40.6,40.9,40.25,40.35,5043450
2024-04-25,VHM,40.7,40.85,40.4,40.85,2990723
2024-04-26,VHM,40.8,41.05,40.3,40.4,4706725
2024-05-02,VHM,41.15,41.25,40.35,40.8,4572111
2024-05-03,VHM,41.1,41.4,40.85,41.3,4394307
2024-05-06,VHM,41.15,41.2,40.85,41.15,4947191
2024-05-07,VHM,41.05,41.25,40.9,41.25,4278931
2024-05-08,VHM,40.9,41.0,40.5,41.0,6627436
2024-05-09,VHM,40.95,41.75,40.85,41.0,7302057
2024-05-10,VHM,40.35,41.1,40.35,41.0,7279272
2024-05-13,VHM,40.1,40.55,39.7,40.45,9099062
2024-05-14,VHM,40.15,41.25,40.15,41.1,6868337
2024-05-15,VHM,40.25,40.4,40.05,40.2,6596952
2024-05-16,VHM,40.25,40.4,40.15,40.3,8263436
2024-05-17,VHM,40.85,41.2,40.2,40.35,13311095
2024-05-20,VHM,40.45,41.25,40.45,41.05,9540756
2024-05-21,VHM,40.2,40.75,40.05,40.5,9643856
2024-05-22,VHM,40.35,41.65,40.2,40.2,11930773
2024-05-23,VHM,40.55,40.55,40.1,40.45,6389474
2024-05-24,VHM,39.8,40.55,39.75,40.4,12916069
2024-05-27,VHM,39.8,40.05,39.75,39.85,4623039
2024-05-28,VHM,39.95,40.05,39.75,39.85,5557706
2024-05-29,VHM,39.45,40.1,39.45,40.0,8034994
2024-05-30,VHM,39.0,39.5,39.0,39.45,6427623
2024-05-31,VHM,38.85,39.65,38.85,39.2,5855530
2024-06-03,VHM,39.3,39.4,39.1,39.2,5244069
2024-06-04,VHM,39.4,40.2,39.4,39.4,7959547
2024-06-05,VHM,39.3,39.9,39.3,39.55,6219859
2024-06-06,VHM,39.05,39.6,39.0,39.4,5113068
2024-06-07,VHM,39.0,39.3,39.0,39.3,4521596
2024-06-10,VHM,38.9,39.2,38.85,39.15,6325346
2024-06-11,VHM,38.15,38.95,38.15,38.9,14405445
2024-06-12,VHM,38.5,38.85,37.7,38.15,12380303
2024-06-13,VHM,38.25,38.7,38.1,38.55,5995167
2024-06-14,VHM,38.2,38.85,38.05,38.4,8595447
2024-06-17,VHM,38.3,38.5,37.9,38.25,8597395
2024-06-18,VHM,38.3,38.5,38.2,38.5,6590685
2024-06-19,VHM,38.0,38.35,37.75,38.3,8002303
2024-06-20,VHM,38.0,38.0,37.55,37.9,7591374
2024-06-21,VHM,37.75,37.8,37.45,37.75,13034114
2024-06-24,VHM,37.45,38.2,37.1,37.75,7677122
2024-06-25,VHM,37.8,38.05,37.2,37.3,6352729
2024-06-26,VHM,37.5,38.15,37.5,37.8,4539450
2024-06-27,VHM,37.6,37.85,37.35,37.5,3455564
2024-06-28,VHM,37.65,37.75,37.3,37.6,5967553
2024-07-01,VHM,37.7,37.7,37.1,37.65,4519066
2024-07-02,VHM,38.15,38.35,37.55,37.75,5425725
2024-07-03,VHM,38.1,38.2,37.7,38.05,5234921
2024-07-04,VHM,38.45,38.5,37.8,38.1,7467001
2024-07-05,VHM,38.45,38.5,37.95,38.3,6575103
2024-07-08,VHM,38.0,38.4,37.8,38.15,7924228
2024-07-09,VHM,38.3,38.3,37.8,38.0,8197017
2024-07-10,VHM,38.25,38.4,37.95,38.35,5452937
2024-07-11,VHM,38.45,38.7,38.1,38.25,8805038
2024-07-12,VHM,38.5,38.85,38.3,38.5,5138832
2024-07-15,VHM,38.0,38.5,37.8,38.5,4889944
2024-07-16,VHM,37.9,38.05,37.65,37.8,4768516
2024-07-17,VHM,37.3,37.9,36.8,37.9,7037089
2024-07-18,VHM,37.45,37.45,36.7,37.25,6289033
2024-07-19,VHM,37.85,38.2,37.55,37.7,6183999
2024-07-22,VHM,37.9,38.0,37.3,38.0,5137913
2024-07-23,VHM,37.85,37.95,37.35,37.65,4861895
2024-07-24,VHM,37.85,37.85,37.4,37.6,4431667
2024-07-25,VHM,37.8,38.3,37.55,37.6,6226674
2024-07-26,VHM,37.75,37.9,37.5,37.8,3908300
2024-07-29,VHM,37.1,37.9,37.1,37.75,4356000
2024-07-30,VHM,36.7,37.2,36.7,37.1,4684400
2024-07-31,VHM,36.7,37.05,36.65,36.85,3718200
2024-08-01,VHM,36.45,37.0,36.0,36.75,6190900
2024-08-02,VHM,36.0,36.3,34.6,36.05,8614000
2024-08-05,VHM,34.5,35.7,34.0,35.2,9956500
2024-08-06,VHM,34.8,34.8,34.0,34.8,5853400
2024-08-07,VHM,37.2,37.2,36.6,36.95,36732700
2024-08-08,VHM,37.6,38.1,36.95,37.5,8833300
2024-08-09,VHM,37.2,37.8,36.8,37.8,8691600
2024-08-12,VHM,36.5,37.15,36.35,37.15,8353000
2024-08-13,VHM,36.35,36.65,35.85,36.35,7145900
2024-08-14,VHM,37.2,37.4,36.0,36.35,10119200
2024-08-15,VHM,37.85,38.3,37.15,37.5,17778700
2024-08-16,VHM,38.4,38.7,38.0,38.2,14796100
2024-08-19,VHM,38.6,38.8,38.2,38.6,10779700
2024-08-20,VHM,39.4,39.8,38.5,38.6,17552300
2024-08-21,VHM,39.75,39.75,38.9,39.25,13661500
2024-08-22,VHM,39.8,40.15,39.5,39.75,9224500
2024-08-23,VHM,39.75,40.0,39.35,39.6,9340600
2024-08-26,VHM,40.5,40.75,39.85,39.85,15625100
2024-08-27,VHM,41.4,42.3,40.35,40.5,18219300
2024-08-28,VHM,40.9,41.8,40.6,41.7,11199200
2024-08-29,VHM,41.5,41.5,40.7,40.85,9304200
2024-08-30,VHM,41.5,41.65,41.1,41.5,11320600
2024-09-04,VHM,42.5,42.5,41.0,41.0,13810200
2024-09-05,VHM,43.75,44.45,42.7,42.7,22146100
2024-09-06,VHM,43.9,44.0,43.25,44.0,10230400
2024-09-09,VHM,43.0,43.65,43.0,43.65,10300900
2024-09-10,VHM,42.8,43.55,42.15,43.15,12930600
2024-09-11,VHM,43.0,43.15,41.75,42.55,13399000
2024-09-12,VHM,43.1,43.5,43.1,43.4,5663400
2024-09-13,VHM,43.0,43.4,42.7,43.05,5405000
2024-09-16,VHM,41.75,42.9,41.75,42.85,8361100
2024-09-17,VHM,44.0,44.0,41.7,41.75,15786300
2024-09-18,VHM,43.9,45.15,43.9,44.1,12485300
2024-09-19,VHM,44.15,44.4,43.75,43.9,9903100
2024-09-20,VHM,43.75,44.9,43.7,44.2,25318400
2024-09-23,VHM,43.65,44.1,43.15,43.8,7376000
2024-09-24,VHM,44.25,44.25,43.45,43.65,6958300
2024-09-25,VHM,44.15,44.4,43.8,44.4,10672900
2024-09-26,VHM,44.4,44.6,44.1,44.2,12259400
2024-09-27,VHM,43.4,44.6,43.0,44.5,16363400
2024-09-30,VHM,42.8,43.5,42.55,43.5,9129100
2024-10-01,VHM,43.45,44.1,42.9,42.9,11220500
2024-10-02,VHM,43.4,43.45,42.85,43.05,7970100
2024-10-03,VHM,41.6,43.25,41.6,43.0,26887200
2024-10-04,VHM,41.5,41.95,41.15,41.55,6764300
2024-10-07,VHM,41.2,41.8,40.9,41.65,7224100
2024-10-08,VHM,41.6,41.6,40.7,41.45,8581400
2024-10-09,VHM,42.5,42.55,41.6,41.65,6742900
2024-10-10,VHM,42.15,42.9,42.15,42.7,5446300
2024-10-11,VHM,43.6,43.8,42.3,42.45,15621000
2024-10-14,VHM,45.35,46.4,45.1,45.5,20737100
2024-10-15,VHM,44.65,45.5,44.6,45.5,9219500
2024-10-16,VHM,45.0,45.2,44.45,44.5,6821300
2024-10-17,VHM,45.1,45.5,44.8,45.1,6677100
2024-10-18,VHM,45.25,46.0,45.15,45.7,8960800
2024-10-21,VHM,47.8,47.8,45.5,45.5,21162900
2024-10-22,VHM,48.25,48.55,47.4,48.15,12671300
2024-10-23,VHM,47.0,48.35,46.5,48.25,33349400
2024-10-24,VHM,43.85,46.75,43.85,46.6,33609900
2024-10-25,VHM,43.85,44.65,43.5,44.55,24552700
2024-10-28,VHM,42.7,44.25,42.5,43.7,19543500
2024-10-29,VHM,42.75,43.05,42.55,42.95,17360800
2024-10-30,VHM,41.15,43.0,40.85,43.0,31820300
2024-10-31,VHM,41.5,41.55,40.45,41.15,23739900
2024-11-01,VHM,41.5,42.2,41.3,41.5,16952200
2024-11-04,VHM,41.5,41.5,40.55,41.5,19838000
2024-11-05,VHM,41.5,41.8,41.25,41.5,14140300
2024-11-06,VHM,41.55,41.7,41.3,41.5,15064600
2024-11-07,VHM,41.4,41.7,41.3,41.7,15995700
2024-11-08,VHM,40.0,41.35,40.0,41.3,22517000
2024-11-11,VHM,40.6,40.85,39.25,40.0,15312100
2024-11-12,VHM,40.3,41.35,40.3,40.6,16217500
2024-11-13,VHM,40.3,40.7,40.15,40.3,14066600
2024-11-14,VHM,40.35,41.1,40.3,40.35,16947200
2024-11-15,VHM,40.25,40.6,40.0,40.35,17024300
2024-11-18,VHM,40.8,40.8,39.6,40.3,23032900
2024-11-19,VHM,42.2,42.25,40.9,40.9,26469700
2024-11-20,VHM,43.3,43.4,41.75,42.2,28417400
2024-11-21,VHM,43.3,43.7,42.85,43.25,34404900
2024-11-22,VHM,41.6,42.75,41.6,42.65,9091600
2024-11-25,VHM,42.7,42.95,41.45,41.5,4401200
2024-11-26,VHM,42.4,43.3,42.4,42.7,4289500
2024-11-27,VHM,41.9,42.85,41.9,42.2,3650400
2024-11-28,VHM,41.1,42.35,41.1,42.25,6514200
2024-11-29,VHM,40.8,41.3,40.75,41.3,5524400
2024-12-02,VHM,40.75,41.15,40.75,41.1,3781200
2024-12-03,VHM,40.9,41.3,40.5,40.8,5187200
2024-12-04,VHM,40.1,40.85,40.1,40.7,5167400
2024-12-05,VHM,41.4,41.8,40.2,40.5,4852800
2024-12-06,VHM,41.5,42.0,41.2,41.6,4870000
2024-12-09,VHM,41.45,41.9,41.4,41.5,3619100
2024-12-10,VHM,40.95,41.65,40.95,41.45,4579300
2024-12-11,VHM,40.85,41.35,40.8,40.95,4020600
2024-12-12,VHM,40.75,41.15,40.75,40.9,2984800
2024-12-13,VHM,40.65,40.8,40.5,40.7,3126900
2024-12-16,VHM,40.95,41.15,40.55,40.65,2668000
2024-12-17,VHM,41.3,41.4,40.8,41.0,3708600
2024-12-18,VHM,40.9,41.6,40.9,41.3,2431900
2024-12-19,VHM,40.2,40.75,40.2,40.6,5724800
2024-12-20,VHM,40.35,40.45,40.2,40.4,3475300
2024-12-23,VHM,40.6,40.85,40.4,40.8,1992400
2024-12-24,VHM,40.35,40.6,40.1,40.5,3214900
2024-12-25,VHM,40.6,40.75,40.35,40.5,3559700
2024-12-26,VHM,40.65,41.3,40.65,40.75,3690900
2024-12-27,VHM,40.35,41.05,40.35,40.8,2847200
2024-12-30,VHM,40.3,40.6,40.3,40.45,2516300
2024-12-31,VHM,40.0,40.5,40.0,40.5,4191900
2025-01-02,VHM,40.0,40.2,39.95,40.1,3009900
2025-01-03,VHM,40.0,40.05,39.75,40.05,4269100
