Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,VIC,44.8,46.0,44.8,46.0,3902115
2024-03-11,VIC,44.35,45.25,44.35,44.9,3457455
2024-03-12,VIC,44.15,44.6,44.05,44.35,2840004
2024-03-13,VIC,45.0,45.0,44.1,44.25,2241005
2024-03-14,VIC,45.95,46.85,45.0,45.2,6026937
2024-03-15,VIC,44.4,46.0,44.4,45.9,4816578
2024-03-18,VIC,46.1,46.2,43.9,44.85,7739070
2024-03-19,VIC,47.0,47.3,45.6,46.2,7834465
2024-03-20,VIC,46.5,47.0,45.8,46.8,4699233
2024-03-21,VIC,46.5,46.85,45.9,46.5,3529613
2024-03-22,VIC,46.6,46.7,46.05,46.5,5202615
2024-03-25,VIC,46.85,47.4,46.15,46.6,4742980
2024-03-26,VIC,47.05,47.2,46.6,47.0,3482260
2024-03-27,VIC,47.05,47.3,46.7,47.05,4206598
2024-03-28,VIC,47.6,47.95,46.9,47.05,4643059
2024-03-29,VIC,47.65,47.9,47.3,47.85,3527781
2024-04-01,VIC,47.85,48.1,47.35,47.65,4455197
2024-04-02,VIC,47.8,47.9,46.5,47.0,4821769
2024-04-03,VIC,47.75,47.85,47.2,47.5,4263220
2024-04-04,VIC,47.85,47.95,47.25,47.25,4125125
2024-04-05,VIC,47.8,47.95,47.3,47.45,3385682
2024-04-08,VIC,47.7,48.0,47.35,48.0,2951317
2024-04-09,VIC,47.7,47.7,47.0,47.6,3504936
2024-04-10,VIC,48.5,48.65,47.65,47.7,5167251
2024-04-11,VIC,48.3,48.55,47.75,48.25,3401529
2024-04-12,VIC,48.45,48.7,48.15,48.35,3011703
2024-04-15,VIC,47.0,48.2,46.0,48.0,5603162
2024-04-16,VIC,46.4,47.0,44.65,47.0,4798093
2024-04-17,VIC,45.0,46.5,44.5,46.5,3014738
2024-04-19,VIC,42.6,44.0,42.6,43.6,3678561
2024-04-22,VIC,42.0,43.0,41.7,42.65,3224414
2024-04-23,VIC,41.0,42.45,41.0,42.45,2701228
2024-04-24,VIC,41.6,41.95,41.1,41.1,1585787
2024-04-25,VIC,42.0,42.35,41.3,41.7,1519881
2024-04-26,VIC,44.45,44.45,41.9,41.95,2701183
2024-05-02,VIC,44.4,44.4,43.6,44.0,1598981
2024-05-03,VIC,44.45,44.9,44.0,44.6,1317425
2024-05-06,VIC,44.75,44.75,43.85,44.45,1527085
2024-05-07,VIC,45.0,45.35,44.5,45.35,1055748
2024-05-08,VIC,45.4,45.4,44.3,45.1,1715664
2024-05-09,VIC,45.4,46.0,45.05,45.4,1417786
2024-05-10,VIC,45.0,45.7,44.5,45.4,1170076
2024-05-13,VIC,45.0,45.35,44.35,45.3,1714839
2024-05-14,VIC,46.05,48.1,46.05,48.1,5270017
2024-05-15,VIC,46.35,46.75,46.0,46.2,1360467
2024-05-16,VIC,46.75,47.15,46.2,46.6,2786528
2024-05-17,VIC,46.85,46.9,46.25,46.75,2170875
2024-05-20,VIC,46.7,47.55,46.35,47.0,3230491
2024-05-21,VIC,46.45,47.7,46.45,47.0,3339305
2024-05-22,VIC,45.5,46.9,45.5,46.35,3154087
2024-05-23,VIC,45.55,45.9,44.75,45.25,2653781
2024-05-24,VIC,44.95,45.6,44.15,45.15,3719560
2024-05-27,VIC,45.05,45.25,44.45,44.95,1715599
2024-05-28,VIC,45.05,45.3,44.45,45.0,2256983
2024-05-29,VIC,44.4,45.2,44.25,45.05,2585924
2024-05-30,VIC,43.15,44.5,43.15,44.4,2390475
2024-05-31,VIC,43.55,44.6,43.3,43.5,1667310
2024-06-03,VIC,43.95,44.6,43.8,43.8,1539213
2024-06-04,VIC,44.1,44.55,44.0,44.3,1466478
2024-06-05,VIC,44.2,44.75,44.1,44.1,1614098
2024-06-06,VIC,43.7,44.35,43.7,44.3,1827520
2024-06-07,VIC,43.5,44.0,43.2,43.9,1685408
2024-06-10,VIC,43.45,43.9,43.4,43.5,1584674
2024-06-11,VIC,43.2,43.45,42.55,43.3,4839697
2024-06-12,VIC,43.3,43.5,42.5,42.8,2295361
2024-06-13,VIC,43.2,43.5,42.9,43.3,2146182
2024-06-14,VIC,42.0,43.25,42.0,43.2,2722732
