Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,VOS,11.85,12.2,11.8,12.2,1945387
2024-03-11,VOS,11.7,12.05,11.65,11.85,1692865
2024-03-12,VOS,11.85,12.05,11.6,11.65,1933632
2024-03-13,VOS,11.9,12.0,11.8,11.95,1325064
2024-03-14,VOS,12.2,12.45,11.85,11.85,4481376
2024-03-15,VOS,12.0,12.3,12.0,12.3,1377544
2024-03-18,VOS,11.6,12.1,11.45,12.05,3110061
2024-03-19,VOS,11.6,11.75,11.55,11.75,1243697
2024-03-20,VOS,11.7,11.7,11.55,11.7,1108188
2024-03-21,VOS,11.9,12.0,11.75,11.75,1365300
2024-03-22,VOS,11.85,12.0,11.8,12.0,1505705
2024-03-25,VOS,11.75,12.0,11.7,11.8,1414923
2024-03-26,VOS,11.9,11.95,11.65,11.75,913162
2024-03-27,VOS,12.35,12.4,11.85,11.9,3634952
2024-03-28,VOS,12.2,12.45,12.1,12.4,1565197
2024-03-29,VOS,11.9,12.25,11.9,12.1,1376657
2024-04-01,VOS,11.85,12.05,11.8,11.8,1316226
2024-04-02,VOS,12.0,12.0,11.75,11.85,1060391
2024-04-03,VOS,12.0,12.4,11.95,12.0,3574734
2024-04-04,VOS,11.9,12.05,11.8,12.0,1393890
2024-04-05,VOS,11.65,11.9,11.65,11.75,1425838
2024-04-08,VOS,11.45,11.8,11.45,11.65,1793138
2024-04-09,VOS,11.6,11.6,11.3,11.6,990823
2024-04-10,VOS,11.4,11.7,11.4,11.55,780696
2024-04-11,VOS,11.3,11.4,11.15,11.3,1471895
2024-04-12,VOS,11.55,11.55,11.3,11.3,701898
2024-04-15,VOS,10.75,11.6,10.75,11.6,1501653
2024-04-16,VOS,10.4,10.8,10.05,10.7,1769791
2024-04-17,VOS,10.2,10.65,10.2,10.5,536012
2024-04-19,VOS,9.9,10.2,9.81,10.15,1682416
2024-04-22,VOS,10.05,10.15,9.96,10.0,795385
2024-04-23,VOS,9.95,10.1,9.9,10.05,672680
2024-04-24,VOS,10.35,10.4,9.95,9.95,665440
