Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,VRE,25.4,26.35,25.4,26.35,10158937
2024-03-11,VRE,24.5,25.55,24.5,25.4,11764400
2024-03-12,VRE,25.2,25.25,24.45,24.5,10113486
2024-03-13,VRE,25.9,25.9,24.95,25.2,8046132
2024-03-14,VRE,25.9,26.4,25.55,26.05,12350745
2024-03-15,VRE,25.75,25.8,25.1,25.7,11255700
2024-03-18,VRE,27.55,27.55,25.0,25.85,34592367
2024-03-19,VRE,26.75,28.75,26.7,28.5,16115395
2024-03-20,VRE,26.35,26.9,26.1,26.9,11626225
2024-03-21,VRE,26.95,27.15,26.35,26.7,12502063
2024-03-22,VRE,26.7,27.2,26.45,27.15,10061969
2024-03-25,VRE,26.05,26.95,25.95,26.5,8946927
2024-03-26,VRE,26.4,26.45,25.0,26.05,7343329
2024-03-27,VRE,25.95,26.4,25.9,26.35,5850353
2024-03-28,VRE,25.65,26.4,25.65,26.0,14615632
2024-03-29,VRE,25.85,25.95,25.5,25.95,5021203
2024-04-01,VRE,25.7,26.1,25.65,25.9,5888548
2024-04-02,VRE,25.55,25.75,25.35,25.7,7714446
2024-04-03,VRE,25.5,26.05,25.5,25.55,6535736
2024-04-04,VRE,25.3,25.8,25.25,25.8,5581960
2024-04-05,VRE,24.7,25.1,24.7,25.1,8278760
2024-04-08,VRE,23.6,24.85,23.6,24.8,14773033
2024-04-09,VRE,24.2,24.3,23.65,23.65,6489572
2024-04-10,VRE,24.25,24.7,24.2,24.25,4860764
2024-04-11,VRE,23.9,24.1,23.8,23.95,3361301
2024-04-12,VRE,24.15,24.4,23.95,23.95,3557041
2024-04-15,VRE,22.5,24.05,22.5,23.85,13830228
2024-04-16,VRE,22.2,22.65,21.9,22.4,12880925
2024-04-17,VRE,22.0,22.75,21.85,22.4,7307620
2024-04-19,VRE,21.3,21.95,21.05,21.65,8595065
2024-04-22,VRE,22.4,22.6,21.5,21.6,7080713
2024-04-23,VRE,21.9,22.5,21.6,22.2,4863051
2024-04-24,VRE,22.55,22.65,22.05,22.2,5632123
2024-04-25,VRE,22.55,22.6,22.1,22.35,4173486
2024-04-26,VRE,22.45,22.6,22.0,22.2,7639128
2024-05-02,VRE,22.75,22.8,22.35,22.45,6046375
2024-05-03,VRE,23.4,23.65,22.75,22.85,13037712
2024-05-06,VRE,23.35,23.5,23.0,23.5,8150053
2024-05-07,VRE,23.35,23.6,22.85,23.35,6725100
2024-05-08,VRE,23.2,23.35,22.85,23.3,7713058
2024-05-09,VRE,22.85,23.4,22.85,23.15,5067082
2024-05-10,VRE,22.5,23.0,22.3,22.9,7427009
2024-05-13,VRE,22.25,22.6,22.1,22.5,4560419
2024-05-14,VRE,22.25,22.85,22.15,22.8,5076884
2024-05-15,VRE,22.35,22.4,22.15,22.3,5428903
2024-05-16,VRE,22.65,22.8,22.45,22.5,6051048
2024-05-17,VRE,23.1,23.25,22.5,22.7,10953970
2024-05-20,VRE,22.85,23.55,22.85,23.25,6023072
2024-05-21,VRE,23.15,23.25,22.7,22.9,9304088
2024-05-22,VRE,23.15,23.7,23.1,23.1,13074438
2024-05-23,VRE,23.0,23.2,22.75,23.0,5811100
2024-05-24,VRE,22.3,22.9,22.05,22.9,14281551
