Date,Symbol,Adj Close,High,Low,Open,Volume
2024-03-08,VSC,15.56,15.95,15.52,15.95,4695995
2024-03-11,VSC,15.3,15.7,15.16,15.52,3400288
2024-03-12,VSC,15.63,15.77,15.23,15.3,4277433
2024-03-13,VSC,15.92,15.95,15.56,15.7,4129874
2024-03-14,VSC,16.39,16.53,15.85,15.95,8170960
2024-03-15,VSC,16.03,16.5,15.95,16.46,4734736
2024-03-18,VSC,15.41,16.17,15.16,16.03,7213865
2024-03-19,VSC,15.74,15.99,15.48,15.52,3076328
2024-03-20,VSC,15.81,15.99,15.74,15.95,2004698
2024-03-21,VSC,16.03,16.21,15.85,16.03,4059274
2024-03-22,VSC,15.95,16.24,15.95,16.17,4854093
2024-03-25,VSC,15.77,16.21,15.59,16.03,4905030
2024-03-26,VSC,15.92,15.99,15.67,15.85,2788299
2024-03-27,VSC,17.0,17.0,15.92,15.99,13378950
2024-03-28,VSC,16.89,17.18,16.82,17.18,7352653
2024-03-29,VSC,16.71,17.15,16.64,16.89,6012069
2024-04-01,VSC,16.6,16.86,16.35,16.75,5221970
2024-04-02,VSC,16.71,16.78,16.32,16.5,4940887
2024-04-03,VSC,16.53,17.15,16.46,16.78,6600124
2024-04-04,VSC,16.53,16.6,16.17,16.6,5008861
2024-04-05,VSC,16.39,16.78,16.17,16.32,4860984
2024-04-08,VSC,15.92,16.39,15.92,16.24,3291480
2024-04-09,VSC,15.92,16.13,15.67,15.95,3687986
2024-04-10,VSC,15.56,16.1,15.56,15.99,3561484
2024-04-11,VSC,15.56,15.63,15.3,15.34,2663566
2024-04-12,VSC,15.95,15.95,15.59,15.59,2306200
2024-04-15,VSC,14.87,15.95,14.87,15.95,5156667
2024-04-16,VSC,14.58,14.94,14.19,14.87,4374254
2024-04-17,VSC,14.44,14.8,14.44,14.76,1996142
2024-04-19,VSC,14.01,14.55,13.93,14.37,3463255
2024-04-22,VSC,14.37,14.4,14.19,14.22,1323202
2024-04-23,VSC,14.26,14.4,14.15,14.37,1351640
2024-04-24,VSC,14.69,14.76,14.44,14.51,1804198
2024-04-25,VSC,14.51,14.69,14.44,14.65,1259330
2024-04-26,VSC,14.76,15.05,14.33,14.4,2674175
2024-05-02,VSC,14.55,14.8,14.47,14.8,1528159
2024-05-03,VSC,14.44,14.73,14.44,14.65,1727977
2024-05-06,VSC,14.94,14.98,14.47,14.58,2284301
2024-05-07,VSC,15.3,15.41,14.84,15.02,3062396
2024-05-08,VSC,15.38,15.67,15.02,15.09,3346965
2024-05-09,VSC,15.16,15.48,15.09,15.38,2697236
2024-05-10,VSC,15.05,15.38,14.87,15.3,2391932
2024-05-13,VSC,15.05,15.34,14.98,15.12,1852222
2024-05-14,VSC,15.12,15.23,15.05,15.16,1137599
